date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,37.0,37.22,36.561,36.89,5354665,ABT,-0.008333333333333415,59.35200147819767,0.015048799069113383,36.274366012833035,35.083200000000005,0.5896150240230954
2013-04-23,37.11,37.34,36.86,37.21,5291519,ABT,0.008674437516942302,61.913148901080746,0.0099788601153592,36.36347401161084,35.1392,0.5817853794500174
2013-04-24,37.27,37.35,36.39,36.52,5434101,ABT,-0.018543402311206658,54.01074258750214,-0.04334867457303171,36.378381248600284,35.184400000000004,0.6088007094893019
2013-04-25,36.62,36.82,36.45,36.49,5324260,ABT,-0.0008214676889376493,53.689875107051755,-0.0819091593574226,36.38901160587645,35.2282,0.5917435159543515
2013-04-26,36.36,36.7,36.25,36.46,6131987,ABT,-0.0008221430528911888,53.34856200753289,-0.10900585147401198,36.395772405316784,35.2682,0.5816189791004694
2013-04-29,36.49,36.79,36.4,36.73,3111731,ABT,0.007405375754251153,56.056169262009334,-0.1081030615306553,36.42760360481042,35.3088,0.5679319091647217
2013-04-30,36.7,36.98,36.48,36.92,6426661,ABT,0.005172883201742584,57.90756477308246,-0.09455708877403546,36.47449849959038,35.3456,0.5630796299386701
2013-05-01,36.77,37.2,36.62,36.89,5458445,ABT,-0.0008125677139761978,57.49566765644486,-0.08762108755242104,36.514070071057965,35.387,0.564288227800194
2013-05-02,36.95,37.15,36.83,37.06,4202763,ABT,0.004608294930875667,59.2639230934021,-0.07222844613175444,36.56606339762387,35.4378,0.5468390686716088
2013-05-03,37.25,37.25,36.61,36.8,5364335,ABT,-0.007015650296816167,55.46353081729152,-0.07961922636763596,36.58834307404065,35.4886,0.553493420909351
2013-05-06,36.75,36.78,35.8,35.85,8603284,ABT,-0.025815217391304213,44.288187427982315,-0.14475549670894106,36.518024686036775,35.5146,0.5853867479872547
2013-05-07,35.74,36.08,35.58,36.06,8347699,ABT,0.0058577405857740406,46.8381500892956,-0.16831255352188534,36.474403287366606,35.5504,0.5792876945595936
2013-05-08,36.01,36.29,35.88,36.29,6767387,ABT,0.006378258458125341,49.561133977079905,-0.16291369334219247,36.45684106952217,35.595,0.5671957163767652
2013-05-09,36.19,36.357,36.0,36.18,4861441,ABT,-0.003031138054560456,48.28725824003114,-0.16097553496949385,36.4304752533772,35.6334,0.5521817366355677
2013-05-10,36.25,36.41,35.96,36.17,6667104,ABT,-0.0002763957987838017,48.166053697991295,-0.15455941672106996,36.4056680863889,35.681,0.5448830411615982
2013-05-13,36.05,36.57,36.04,36.35,6217550,ABT,0.00497649986176385,50.571105494865435,-0.13319531519552966,36.40036636387567,35.736000000000004,0.5438199667929128
2013-05-14,36.42,37.1,36.22,37.05,6309423,ABT,0.019257221458046647,58.61340239995296,-0.07009328459577718,36.46223623398274,35.7908,0.5678328263077049
2013-05-15,37.13,37.7,37.09,37.66,7853143,ABT,0.016464237516869096,64.09569496557805,0.010277525664856235,36.57630897360343,35.8506,0.5737019101428693
2013-05-16,37.45,37.47,36.82,36.83,6137601,ABT,-0.02203929899097179,53.67679233286014,0.005338041327390131,36.600470023736435,35.9018,0.5927232022755212
2013-05-17,36.82,36.94,36.29,36.59,7050621,ABT,-0.006516426825956989,51.09065024916918,-0.015173091821567203,36.59947287861868,35.945,0.5968144021129839
2013-05-20,36.95,37.925,36.87,37.81,8885574,ABT,0.0333424432905165,61.298362883382595,0.0488393664393576,36.71476117589309,36.0076,0.6495419448191989
2013-05-21,37.85,38.0,37.57,37.72,6987371,ABT,-0.002380322665961443,60.29856800643792,0.0787614810678672,36.81049820676041,36.063399999999994,0.6338603773321133
