date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,36.16,36.41,35.6202,36.24,1681552,ADSK,0.0033222591362127574,35.54724772681797,-0.34061740802810003,38.05678845175957,38.89994,0.9959509620806192
2013-04-23,36.49,37.26,36.39,37.26,2617282,ADSK,0.028145695364238277,43.46248955509389,-0.23347579842568233,37.98090383730628,38.86734,0.9976687505034318
2013-04-24,37.11,37.72,36.82,37.56,2132370,ADSK,0.008051529790660261,45.57934992396002,-0.1296389050700405,37.940817757562826,38.840740000000004,0.9906924111817581
2013-04-25,37.5,38.145,37.31,37.87,2025063,ADSK,0.008253461128860273,47.75613692978194,-0.03238299544082279,37.93407320922351,38.819939999999995,0.9795715246687754
2013-04-26,37.93,38.11,37.3,37.31,1862567,ADSK,-0.014787430683918523,44.30828822944535,0.0002022054686253716,37.87463766548794,38.79294,0.9674592729067202
2013-04-29,37.36,38.24,37.25,38.21,1669508,ADSK,0.02412221924417035,50.49433343249212,0.0837182172628107,37.906576935441464,38.783739999999995,0.9690693248419545
2013-04-30,38.24,39.38,38.14,39.38,5426160,ADSK,0.030620256477361885,57.156765701576376,0.2118185857630217,38.0469029415899,38.79134,0.9884215159246722
2013-05-01,39.23,39.69,38.045,38.19,2902358,ADSK,-0.030218384966988476,49.813772729286995,0.21005586829831663,38.06053123286705,38.77554,1.0353199790729097
2013-05-02,38.17,38.765,37.9201,38.53,1323927,ADSK,0.00890285415030112,51.722174482011035,0.2241521548063511,38.105242544022566,38.77154,1.0217185519962735
2013-05-03,39.0,39.53,38.78,39.52,2016189,ADSK,0.025694264209706663,56.86557380960743,0.28842020051212397,38.239981349353755,38.80254,1.0201672268536826
2013-05-06,39.39,39.68,39.19,39.6,1909516,ADSK,0.002024291497975561,57.261813620213324,0.3220344536883,38.369506935129586,38.83634,0.9822981392212767
2013-05-07,39.66,40.02,39.16,39.54,1471904,ADSK,-0.0015151515151515804,56.84008338756544,0.32500493427784555,38.48098246511725,38.89474,0.9735625578483288
2013-05-08,39.34,40.03,39.28,39.98,1722613,ADSK,0.011127971674253834,59.21245806210691,0.33978085429950755,38.62374603986799,38.95854,0.9575938037163053
2013-05-09,39.95,40.22,39.56,39.75,2664393,ADSK,-0.005752876438218979,57.43523901966492,0.3176493528488797,38.731008321785325,39.02954,0.9363371034508547
2013-05-10,39.81,39.94,39.41,39.75,2608847,ADSK,0.0,57.43523901966492,0.2874992400606725,38.82805514828196,39.09014,0.9073130246329366
2013-05-13,39.64,39.64,38.68,38.9,2894894,ADSK,-0.021383647798742134,50.88872777968253,0.1990034525972109,38.83490703892177,39.12094,0.9189335228734412
2013-05-14,39.03,39.63,38.85,39.42,2169204,ADSK,0.013367609254498758,54.31905585544877,0.16555345230951862,38.89063017807208,39.13634,0.9090096998110526
2013-05-15,39.32,39.78,39.185,39.43,2463076,ADSK,0.0002536783358699779,54.385040534138426,0.13543425094523073,38.94199873254141,39.13814,0.8865804355388345
2013-05-16,39.39,40.265,39.35,39.78,4486152,ADSK,0.008876489982247104,56.74032832859024,0.1303709517675371,39.02180837706128,39.13494,0.8886104044289177
2013-05-17,36.75,37.33,34.4,37.11,16959440,ADSK,-0.06711915535444957,39.84030666619113,-0.05174885332322801,38.83973138876973,39.07694,1.2094239469697095
2013-05-20,37.14,37.87,36.74,36.99,3450165,ADSK,-0.003233629749393674,39.274123970951045,-0.17244423620474197,38.663566494601184,39.01334,1.2037508079004442
2013-05-21,37.05,37.63,36.871,37.48,3278892,ADSK,0.013246823465801416,42.84587374554432,-0.20899111959901862,38.55084587606774,38.95574,1.1719828930504126
2013-05-22,37.41,37.94,36.46,36.57,3428660,ADSK,-0.024279615795090637,38.336189117121826,-0.27974790203225464,38.36219388787081,38.88114,1.193984114975383
2013-05-23,36.36,36.96,36.215,36.46,3391830,ADSK,-0.0030079299972655127,37.818019522100144,-0.3165458658619961,38.18103256521645,38.801140000000004,1.1619138210485696
2013-05-24,36.34,36.474,35.74,36.08,2767960,ADSK,-0.01042238069116852,36.007387509322704,-0.34663938718482484,37.98093422567202,38.70894,1.1313485481165284
2013-05-28,36.51,37.08,36.33,37.07,3167779,ADSK,0.027439024390244038,43.58545984941271,-0.28273288100449073,37.89417858513183,38.647540000000006,1.1219665089653479
2013-05-29,36.85,37.31,36.66,37.1,1745649,ADSK,0.0008092797410306218,43.80263772536294,-0.22387961516096677,37.81854252940499,38.58894,1.0882546154678234
2013-05-30,37.14,37.99,37.08,37.9,2327601,ADSK,0.02156334231805923,49.39704202014895,-0.12162893984021184,37.82630038374737,38.553540000000005,1.0755221429344077
2013-05-31,37.53,38.36,37.4,37.73,3034466,ADSK,-0.004485488126649173,48.29677110815219,-0.05916367531443539,37.817128918628576,38.484939999999995,1.0672705612962357
2013-06-03,37.95,38.07,36.915,37.38,2239163,ADSK,-0.009276437847866248,46.02384462235957,-0.036262001392411536,37.7754975930449,38.41194,1.073536949775076
2013-06-04,37.32,37.71,36.57,36.7,2060573,ADSK,-0.018191546281433935,41.89823118416907,-0.06033574380052986,37.67306925085015,38.3181,1.0782843105054278
2013-06-05,36.68,37.0,36.07,36.12,1650027,ADSK,-0.01580381471389658,38.71079503805743,-0.10607149799576016,37.52515789362632,38.2329,1.0676925740407543
2013-06-06,36.03,36.13,35.6,35.97,3224128,ADSK,-0.004152823920265725,37.9076017641768,-0.1353036838650069,37.37704761804286,38.140299999999996,1.029285961609272
