date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,35.78,35.78,35.37,35.64,1434306,AEE,-0.005025125628140725,61.21555613368692,0.015511875733059344,34.968094854084626,34.2256,0.47680565335046493
2013-04-23,35.73,35.91,35.51,35.91,1688216,AEE,0.007575757575757569,63.83762057558339,0.04048462528894403,35.05780010607656,34.2916,0.47131953525400305
2013-04-24,35.96,36.32,35.77,36.13,1273397,AEE,0.006126427179058869,65.86277263223838,0.06506683932235874,35.15991438168832,34.3574,0.47693956845014546
2013-04-25,36.25,36.35,35.96,36.1,1049619,AEE,-0.0008303349017437789,65.32553445419715,0.07201291653350073,35.24944634533705,34.4164,0.47072959927513514
2013-04-26,36.1,36.29,35.99,36.0,933890,AEE,-0.0027700831024931594,63.467134535357445,0.06290951153721813,35.32092764578114,34.4708,0.4585346278983396
2013-04-29,36.11,36.36,36.02,36.15,766786,AEE,0.004166666666666652,65.07223756039852,0.06003485000835329,35.399886917611504,34.531,0.45149644019131535
2013-04-30,36.16,36.25,36.015,36.25,1414557,AEE,0.0027662517289073207,66.14029776691328,0.05788722396369783,35.48085006831516,34.593399999999995,0.4360324087490785
2013-05-01,36.24,36.25,35.72,35.91,1281470,AEE,-0.00937931034482764,59.48047049413867,0.028096163009008635,35.521721490380386,34.6468,0.44274437955271584
2013-05-02,35.67,36.09,35.47,35.97,2088571,AEE,0.001670843776107045,60.24129770606263,0.008003457925978785,35.56441468177273,34.697,0.45540549529895075
2013-05-03,36.2,36.735,36.02,36.55,1867677,AEE,0.016124548234639935,66.7422369184354,0.028209730902630015,35.65827995017533,34.7644,0.47751938849188286
2013-05-06,36.5,36.55,35.96,36.05,1171029,AEE,-0.013679890560875485,57.94605024947327,0.0036280037813857247,35.695586621587196,34.8138,0.48555371788531954
2013-05-07,36.12,36.28,35.86,36.1,2492404,AEE,0.0013869625520113171,58.534574667866764,-0.012645913213163718,35.734102181436036,34.873400000000004,0.48087130946493967
2013-05-08,36.04,36.21,35.71,35.77,1737223,AEE,-0.009141274238227082,53.238965534049335,-0.04708143980559565,35.73752102129927,34.921800000000005,0.48223764450315826
2013-05-09,35.77,35.9,35.3,35.42,2016036,AEE,-0.009784735812133127,48.252820077312926,-0.092264189390591,35.70728092403268,34.9608,0.49064924132436133
2013-05-10,35.39,35.52,35.03,35.52,964056,AEE,0.0028232636928289256,49.7022607359043,-0.11288629827611818,35.68944464555337,34.9954,0.4906028669440499
2013-05-13,35.51,35.78,35.3,35.64,1756634,AEE,0.0033783783783782884,51.459316595421456,-0.1154995843810313,35.68473563169115,35.0304,0.4898455193051895
2013-05-14,35.73,36.09,35.6,35.87,1989227,AEE,0.006453423120089674,54.72396744084819,-0.09940510654413753,35.70237985724437,35.066,0.4898565536405332
2013-05-15,35.85,36.55,35.75,36.21,1568466,AEE,0.009478672985782088,59.102816893382766,-0.06518215645587416,35.7507246327449,35.1044,0.5120096569519235
2013-05-16,36.08,36.15,35.91,35.92,1165602,AEE,-0.008008837337751928,54.28066817858321,-0.061447219647264795,35.766846096293,35.1416,0.4968661100267863
2013-05-17,35.95,36.36,35.93,36.28,1549242,AEE,0.010022271714922093,58.777026570090605,-0.03539583834600657,35.81571789664605,35.1862,0.49280424502487286
2013-05-20,36.28,36.33,36.11,36.19,898254,AEE,-0.0024807056229327884,57.26087126624595,-0.02535987287633462,35.85136381125119,35.232200000000006,0.47331822752309616
2013-05-21,36.15,36.4,35.88,36.15,1325096,AEE,-0.0011052777010223114,56.56253101091191,-0.022639478202363228,35.879805353036794,35.2766,0.4766526398428747
2013-05-22,36.08,36.48,35.245,35.39,1281221,AEE,-0.021023513139695638,45.266532262813406,-0.0705440671594249,35.83315722417615,35.308,0.5308203084255265
2013-05-23,35.13,35.18,34.5101,34.91,1995364,AEE,-0.01356315343317327,39.85312709077021,-0.1296384473081903,35.745237488540326,35.3262,0.5557545721094174
2013-05-24,34.75,34.89,34.45,34.53,857862,AEE,-0.010885133199656116,36.16574789547837,-0.1859713081110626,35.629500584869824,35.3324,0.5489149598158871
2013-05-28,34.67,34.93,34.13,34.38,1702560,AEE,-0.004344048653344923,34.797102850391184,-0.22251831153115398,35.51050052916794,35.3322,0.5668496055433235
2013-05-29,34.16,34.2,33.41,33.73,1899223,AEE,-0.018906340895869844,29.57418755439555,-0.27614973621514893,35.34092905019957,35.3238,0.5956460622902294
2013-05-30,33.84,34.57,33.84,34.23,3121260,AEE,0.01482359916987841,37.36253631389189,-0.2636581827649617,35.2351262835139,35.322399999999995,0.6130999149837848
2013-05-31,34.12,34.53,34.03,34.04,2322472,AEE,-0.0055506865322815235,35.74484653364566,-0.25381011321151015,35.12130473270305,35.312799999999996,0.6050213496278002
2013-06-03,34.11,34.135,33.5265,33.88,1911977,AEE,-0.004700352526439411,34.394339260164,-0.2436421657278424,35.00308523435038,35.3062,0.6052698246543857
2013-06-04,33.86,34.0775,33.68,34.02,2672022,AEE,0.004132231404958775,36.6497445643459,-0.21410613663868,34.90945806917415,35.3012,0.5904291228933582
2013-06-05,33.89,34.1575,33.8,34.05,4272186,AEE,0.0008818342151672987,37.148373761871234,-0.18051084849742832,34.82760491972899,35.297399999999996,0.5737913284009757
2013-06-06,34.01,34.295,33.755,34.2,4886394,AEE,0.004405286343612591,39.70385992524376,-0.13806287554576324,34.767833022611946,35.2894,0.5713776620866202
2013-06-07,34.3,34.985,34.26,34.91,3485004,AEE,0.020760233918128534,50.05524914492573,-0.05623883918549921,34.78137273474414,35.2954,0.5866364005090042
2013-06-10,34.54,34.62,34.11,34.26,2533214,AEE,-0.01861930678888568,42.80941895247307,-0.04068784341722764,34.73171818857803,35.2802,0.6018766576155038
2013-06-11,34.0,34.18,33.81,33.83,1386773,AEE,-0.012551079976649171,38.80728544638607,-0.05335809259950386,34.645840265856314,35.2582,0.5910283249286817
2013-06-12,33.96,34.12,33.18,33.18,1480259,AEE,-0.019213715637008577,33.68136863334907,-0.09697094813529467,34.50623643101285,35.2186,0.6159548731480614
2013-06-13,33.15,33.91,33.13,33.89,1284208,AEE,0.021398432790837862,42.60002920325227,-0.0706787327235312,34.44754724710687,35.2002,0.6276723822089137
2013-06-14,33.67,34.28,33.67,34.1,1296501,AEE,0.006196518146946106,44.957820354691506,-0.03369739528594273,34.414447509287164,35.1856,0.6264100691939912
2013-06-17,34.28,34.52,34.03,34.19,1517362,AEE,0.0026392961876831045,45.98191650121655,0.0004637374595048982,34.393071556021724,35.17359999999999,0.6166664928229919
2013-06-18,34.26,34.63,34.12,34.56,1700679,AEE,0.010821877742029917,50.092949041704486,0.04893432643071949,34.408969503067276,35.1632,0.60904745762135
2013-06-19,34.54,34.63,33.73,33.73,1204860,AEE,-0.02401620370370383,42.313456062904564,0.027140169166763206,34.34430574087039,35.1392,0.6298297820769684
2013-06-20,33.45,33.52,32.58,32.68,2032642,AEE,-0.031129558256744683,34.924251491904116,-0.05165382802144919,34.18580043221606,35.0898,0.6669847976428992
2013-06-21,32.88,33.33,32.34,33.17,2146152,AEE,0.01499388004895974,40.17469040935636,-0.06364677726851264,34.08905753390977,35.0464,0.6900573120969774
2013-06-24,32.87,33.11,32.46,32.79,1609603,AEE,-0.011456135061802875,37.63850498135467,-0.08851773724203127,33.9653377687755,34.992399999999996,0.6914817898043362
2013-06-25,33.04,33.58,32.78,33.41,1498999,AEE,0.0189082037206465,43.86514612387678,-0.056137194385112,33.91244845746355,34.9694,0.6992330905325976
2013-06-26,33.63,33.9,33.39,33.84,1173328,AEE,0.012870398084406043,47.760924566411866,-0.0015673683668210314,33.90554860437178,34.9448,0.6857164412088405
2013-06-27,33.95,34.43,33.95,34.38,2294007,AEE,0.015957446808510634,52.24327849920187,0.07107314537641413,33.95073445157447,34.9376,0.6788795525510658
