date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,49.48,49.84,48.95,49.72,1912694,AFL,0.006681514476614581,46.4196901322765,-0.15546675560541634,50.13489001196644,50.3614,0.9404459845035357
2013-04-23,49.92,50.8205,49.78,50.67,3600267,AFL,0.019106999195494856,52.40717817693854,-0.047488931725552574,50.185852867969636,50.36780000000001,0.9518784141818548
2013-04-24,50.76,51.59,50.74,51.56,3391441,AFL,0.017564633905664095,57.22928706091642,0.08186605649458487,50.3167240234011,50.3938,0.9496013845974368
2013-04-25,51.23,53.0,51.225,52.57,6327779,AFL,0.019588828549262916,61.94187044823988,0.2253103653028021,50.53132173545814,50.4552,1.0085584285547626
2013-04-26,52.89,53.31,52.69,53.2,4385311,AFL,0.011984021304926706,64.56460139038823,0.34530175945308095,50.785481570176415,50.5462,0.989375683657994
2013-04-29,53.34,54.4,53.2,54.04,3766831,AFL,0.015789473684210353,67.75531522506509,0.45691787074103585,51.095435706350095,50.6504,1.0044202776824227
2013-04-30,54.0,54.71,53.96,54.44,3018971,AFL,0.007401924500370027,69.1785263226194,0.5283122356643207,51.41396563907866,50.75240000000001,0.9862474007051069
2013-05-01,54.29,54.97,54.28,54.38,2195714,AFL,-0.0011021307861864837,68.68877804334306,0.5401935228002892,51.696445102023546,50.849399999999996,0.9650868720833133
2013-05-02,54.64,55.1,54.38,54.94,2616892,AFL,0.010297903641044437,70.76880803743484,0.552486070293084,52.00535509230701,50.95179999999999,0.9475806669345052
2013-05-03,55.48,55.9,55.31,55.36,2397650,AFL,0.007644703312704726,72.25735776908168,0.5541982917129522,52.32484508351587,51.0674,0.9484677621534692
2013-05-06,55.36,55.93,55.34,55.61,1743199,AFL,0.004515895953757232,73.1343379383288,0.5370770793905324,52.63771698032388,51.178200000000004,0.9228629219996497
2013-05-07,55.58,55.78,55.0,55.38,2786860,AFL,-0.004135946772163224,70.91336852222234,0.47719237196816744,52.89888679172161,51.3082,0.9126584275711034
2013-05-08,55.28,56.04,55.2,55.91,2089584,AFL,0.009570241964607984,72.95178346976547,0.44105739616121187,53.185659478224316,51.4502,0.9074685398874528
2013-05-09,55.94,56.03,54.75,54.85,3825797,AFL,-0.01895904131640125,63.3843416552587,0.3192272026713727,53.34416809934581,51.54859999999999,0.9340779298954919
2013-05-10,54.73,54.8,53.57,53.95,4585953,AFL,-0.016408386508659945,56.59734964421126,0.1595546898306579,53.40186637559859,51.6286,0.9587866491886711
2013-05-13,53.95,54.0,53.51,53.84,2872653,AFL,-0.0020389249304911816,55.8107601333996,0.034585938321033405,53.44359338744634,51.7016,0.9253018885323375
2013-05-14,53.95,54.63,53.9,54.56,3205392,AFL,0.013372956909361022,59.75355411861655,-0.009190266835432226,53.549917826737165,51.788599999999995,0.9156374679228848
2013-05-15,54.47,54.92,54.37,54.81,2585469,AFL,0.004582111436950198,61.05298715455383,-0.02975509140488275,53.669925652762196,51.8646,0.8895205059283934
2013-05-16,54.5,54.88,54.09,54.32,2893192,AFL,-0.008939974457215838,57.15767993008872,-0.081850683568788,53.731837495356274,51.928999999999995,0.8824118983620794
2013-05-17,54.43,55.3,54.34,55.24,3543025,AFL,0.016936671575846773,62.053075720769556,-0.060808752735851845,53.87547201960806,52.002399999999994,0.8893824770505022
2013-05-20,54.77,55.89,54.77,55.58,3617243,AFL,0.0061549601737871384,63.703717190498814,-0.031904341748599796,54.03780801774063,52.11120000000001,0.9058551572611805
2013-05-21,55.55,56.34,55.12,55.84,3840848,AFL,0.004677941705649502,64.95897264186524,-0.004619794165381386,54.20944534938438,52.207,0.9282940745996681
2013-05-22,56.02,56.77,55.108,55.33,3950215,AFL,-0.009133237822349649,60.53646554695992,-0.028909918345939256,54.3161648399192,52.29859999999999,0.9807016406996922
2013-05-23,54.67,55.24,54.48,55.06,2643754,AFL,-0.004879812036869602,58.27449883550043,-0.06887058830551562,54.387006283736426,52.38700000000001,0.9713658092211429
2013-05-24,54.84,54.98,54.02,54.95,2092417,AFL,-0.0019978205593897957,57.334560760117824,-0.10619065220662438,54.44062473290439,52.4728,0.9762682514196327
2013-05-28,55.64,56.112,55.09,55.11,2161495,AFL,0.0029117379435850133,58.385971564963846,-0.12242645676184616,54.50437475834207,52.5534,0.9895348048896588
2013-05-29,54.65,55.985,54.53,55.69,2486923,AFL,0.010524405733986608,62.03802948396974,-0.09751349486316141,54.61729144802378,52.662800000000004,1.0227823188261116
2013-05-30,55.84,56.959,55.75,56.52,2253986,AFL,0.014903932483390392,66.56065327996211,-0.03193859303053459,54.79850178630723,52.797000000000004,1.0403692960528184
2013-05-31,56.45,56.9,55.69,55.69,2594588,AFL,-0.014685067232838023,58.99198596133067,-0.05017964713474288,54.883406378087486,52.89639999999999,1.0524857749061884
2013-06-03,55.84,56.45,55.1,56.4,3030183,AFL,0.012749147064104793,62.880380268144265,-0.02160512059187658,55.02784386588868,53.0032,1.0737367909843178
2013-06-04,56.5,56.725,55.42,55.81,2510181,AFL,-0.010460992907801336,57.96198782354444,-0.04809913948935618,55.10233492628023,53.0824,1.0902555916282952
2013-06-05,55.62,55.77,54.95,55.19,2408634,AFL,-0.011109120229349623,53.248526229932054,-0.10952509781011244,55.11068398092021,53.1558,1.0738087636548455
2013-06-06,55.17,56.75,54.77,56.57,3576740,AFL,0.02500452980612433,60.87499046667345,-0.061740711292605166,55.249666458927805,53.2374,1.1385367091080705
2013-06-07,56.87,57.245,56.35,57.03,3709014,AFL,0.00813151847268867,63.03935732373667,-0.0065818640300034925,55.41922203426801,53.3398,1.1211412298860652
2013-06-10,57.2,57.4699,56.69,56.8,2929367,AFL,-0.0040329651060846405,61.215901053266634,0.006288447806713449,55.55072469767106,53.4354,1.0967668563227753
2013-06-11,56.31,56.81,56.134,56.41,3731347,AFL,-0.006866197183098555,58.144653544433716,-0.01824671696551028,55.632560440750005,53.520599999999995,1.0667120808711485
2013-06-12,56.81,56.96,56.01,56.08,2391326,AFL,-0.005850026591029955,55.602628026800744,-0.061070088143955426,55.67517373210715,53.5842,1.0583755036660667
