date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,38.88,38.94,38.19,38.61,9079607,AIG,-0.006944444444444531,48.324136197491924,-0.0852004371265423,38.90586010590506,38.6156,0.9649402981160465
2013-04-23,39.29,40.74,39.21,40.62,26588667,AIG,0.052059052059052036,59.46866392152288,0.033409147468889816,39.069111524390294,38.6522,1.0481588482506148
2013-04-24,40.66,41.88,40.66,41.6,23650042,AIG,0.024126046282619606,63.59146030046751,0.1669002657308358,39.31014852206741,38.6952,1.063290359089857
2013-04-25,41.74,42.66,41.53,42.28,27502994,AIG,0.016346153846153788,66.16336929738519,0.28319531737748577,39.59299151996575,38.7682,1.0680553334405813
2013-04-26,41.59,41.96,40.64,40.87,25540753,AIG,-0.03334910122989598,57.14863228069422,0.24859145204531113,39.714611375207106,38.8082,1.1089085239091114
2013-04-29,41.29,41.49,40.37,41.31,14002270,AIG,0.010765842916564905,59.02481288237506,0.23871714860810045,39.86655314899691,38.8502,1.1097007722013181
2013-04-30,41.34,42.38,41.08,41.42,17197378,AIG,0.002662793512466788,59.5021949820561,0.22325656904910507,40.01450046814006,38.9116,1.1232935741869385
2013-05-01,42.0,42.21,41.12,41.19,17471890,AIG,-0.005552873008208725,57.98111660102394,0.1828982363899735,40.126452804507664,38.9634,1.1209154617450146
2013-05-02,41.64,42.47,41.4399,42.13,21798118,AIG,0.022821073075989462,62.23066382527063,0.2032999295137069,40.31726682312598,39.0546,1.1322786430489422
2013-05-03,43.63,44.9,43.53,44.52,40420172,AIG,0.05672917161167823,70.42151166158594,0.3527875900879981,40.717527125685415,39.1994,1.2492587399740174
2013-05-06,44.65,45.85,44.04,45.48,21719469,AIG,0.02156334231805923,72.95828547188921,0.48328411052690323,41.17109597085823,39.34,1.2893116871187307
2013-05-07,44.57,44.95,44.04,44.6,21882547,AIG,-0.019349164467897917,67.26345180837251,0.4765105053410883,41.49765825934792,39.4908,1.3000751380388211
2013-05-08,44.24,44.64,44.06,44.35,14655664,AIG,-0.005605381165919243,65.69461342805423,0.423172792729928,41.76930985369574,39.624,1.2486411996074767
2013-05-09,44.37,44.5,43.91,44.07,12837839,AIG,-0.006313416009019246,63.897056661168314,0.34056662440448715,41.988423200962814,39.75,1.2015953996355144
2013-05-10,44.11,44.36,43.66,44.18,12153091,AIG,0.0024960290447015865,64.31021462304389,0.26805857556771495,42.197144800871115,39.873400000000004,1.1657671568044066
2013-05-13,44.81,44.95,44.15,44.64,13206437,AIG,0.010411951109099205,66.05942690370452,0.22740604674703535,42.42979767697862,40.0092,1.1396409313183777
2013-05-14,44.83,46.1899,44.83,46.08,16798529,AIG,0.032258064516129004,70.87220211419199,0.2708740196256261,42.77743599345685,40.1694,1.1689451505099222
2013-05-15,46.37,46.45,45.1857,45.58,19061998,AIG,-0.01085069444444442,67.30353157743639,0.2403647858294926,43.04434685122286,40.316,1.1757562111877853
2013-05-16,45.4,45.9,44.6775,44.91,14297448,AIG,-0.014699429574374756,62.74427419762758,0.1536905736993055,43.222028103487354,40.44520000000001,1.1790950532458004
2013-05-17,44.87,45.47,44.85,45.23,9880557,AIG,0.00712536183478063,63.99867019156076,0.09918604194161107,43.41326352220285,40.569599999999994,1.1391596922996716
2013-05-20,45.17,45.4,44.75,44.89,11032639,AIG,-0.007517134645146917,61.62451677880513,0.02535633705780649,43.55390509151686,40.6758,1.1042197142782664
2013-05-21,45.04,45.4,44.52,44.96,10859234,AIG,0.0015593673423925924,61.93758427751512,-0.030608286878783586,43.68781889232478,40.7856,1.0882040204012469
2013-05-22,44.78,45.74,43.98,44.31,17681708,AIG,-0.014457295373665469,57.26583304277293,-0.11832062158938661,43.74707423591289,40.8896,1.136189447515444
2013-05-23,43.33,44.78,43.25,44.53,17464861,AIG,0.004965019183028607,58.409279665419646,-0.16554273668271247,43.82163859439738,41.002399999999994,1.1643187726929123
2013-05-24,44.15,44.72,43.92,44.69,11933455,AIG,0.003593083314619383,59.262992406178824,-0.18836265968809252,43.90433968064524,41.1158,1.138296003214847
2013-05-28,45.6,45.85,44.975,45.17,14721318,AIG,0.010740657865294434,61.7965120402775,-0.17384053434477975,44.02487875867904,41.239799999999995,1.139846288699501
2013-05-29,44.51,45.66,44.46,45.52,14797205,AIG,0.007748505645339909,63.57537202349114,-0.14457448889355895,44.16727125785246,41.3782,1.1441429823638223
2013-05-30,45.49,46.46,45.33,46.21,13253696,AIG,0.01515817223198579,66.85223808532534,-0.08557389421569472,44.361816852342706,41.5348,1.1431327693378353
2013-05-31,44.77,46.0,44.45,44.46,34720788,AIG,-0.03787059078121624,53.665621708293294,-0.1665492283037533,44.37116762831006,41.658,1.1871947143851327
2013-06-03,44.68,45.08,43.23,44.75,18624177,AIG,0.0065227170490327335,55.24120174974116,-0.20044626837085588,44.40724690180434,41.797,1.2345379490719088
2013-06-04,44.96,45.47,43.69,44.1,15156806,AIG,-0.014525139664804398,51.050942109563294,-0.26259035334807823,44.3779852921087,41.923199999999994,1.273499524138201
2013-06-05,45.43,45.5,43.31,43.9,24353496,AIG,-0.0045351473922903285,49.799237556449455,-0.3098649979662448,44.33246288333643,42.047200000000004,1.338963843842615
2013-06-06,43.71,44.87,43.31,44.86,18796155,AIG,0.02186788154897501,55.44612895178984,-0.2706068154096448,44.382704513494865,42.1756,1.3547521407109993
2013-06-07,45.06,45.44,44.42,45.28,13346033,AIG,0.009362460989746024,57.68856279913309,-0.21301428279113166,44.468161226495354,42.31620000000001,1.330841273517356
2013-06-10,45.43,46.02,44.9,45.95,13078983,AIG,0.01479681978798597,61.05589611520457,-0.130509311882943,44.60928872873389,42.458800000000004,1.3157811825518309
