date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,27.03,27.28,26.79,27.15,6208808,BK,0.005928121526491248,43.26138598933204,-0.11016006864237302,27.64981879770145,27.8792,0.5590598612880703
2013-04-23,27.37,27.585,27.16,27.54,7342947,BK,0.01436464088397793,48.0076126450864,-0.07118445361552461,27.639359864587025,27.872,0.5501984426246368
2013-04-24,27.61,27.92,27.55,27.85,5652523,BK,0.01125635439360928,51.48182214596927,-0.021989323098681457,27.65942082986445,27.8704,0.5380414110085915
2013-04-25,27.83,28.0733,27.69,27.78,5174027,BK,-0.0025134649910233398,50.65864959130522,0.006831717574196872,27.67090456035355,27.868,0.5269884530794063
2013-04-26,27.74,27.95,27.63,27.89,4628507,BK,0.003959683225341903,51.95861506994551,0.03284343548891924,27.69177079270083,27.862399999999997,0.5122035635737345
2013-04-29,27.79,28.145,27.79,28.08,4006739,BK,0.0068124775905340496,54.20302991930639,0.0607613033614299,27.728745002919798,27.862,0.5009747376041821
2013-04-30,28.12,28.3,27.892,28.22,4424526,BK,0.004985754985755042,55.840127416076214,0.08508103784126203,27.775531193117914,27.8666,0.49433368491816915
2013-05-01,28.13,28.22,27.62,27.7,5966154,BK,-0.01842664776754077,48.8545430056293,0.06355707633507755,27.768337746154305,27.8558,0.5018812788525855
2013-05-02,27.81,28.16,27.73,27.94,4498388,BK,0.008664259927797957,51.84858559879716,0.0627840610218338,27.784686532234847,27.857400000000002,0.49888975893454374
2013-05-03,28.28,28.5,28.23,28.38,4614904,BK,0.015748031496062964,56.83726901668421,0.08767829469831859,27.841383052974383,27.878599999999995,0.5032547761535048
2013-05-06,28.37,28.575,28.145,28.2,5561021,BK,-0.006342494714587699,54.35624561755535,0.087588477783158,27.875537047929203,27.89,0.4980222921425401
2013-05-07,28.31,28.47,28.08,28.41,3209023,BK,0.007446808510638281,56.72937957233503,0.0965331073604523,27.926438281459756,27.921800000000005,0.4903064141323587
2013-05-08,28.38,28.42,28.1,28.39,5381501,BK,-0.0007039774727208847,56.42847099974098,0.0957733795537836,27.970587016558827,27.948199999999996,0.47814167026576165
2013-05-09,28.39,28.47,28.17,28.18,4233140,BK,-0.007396970764353639,53.235452331762744,0.07662733170018626,27.99053111021989,27.963800000000003,0.46541726524677846
2013-05-10,28.2,28.31,28.1,28.29,4998298,BK,0.003903477643719011,54.68199752843016,0.06720776534180754,28.019051956865617,27.9868,0.44717317487200836
