date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,109.9,109.98,108.72,108.86,1160400,BXP,-0.00856102003642989,60.04500420241473,0.2798669058910197,107.2396365271073,105.2684,1.5544463035671505
2013-04-23,109.35,109.424,107.57,108.42,1433748,BXP,-0.004041888664339521,57.732941578831294,0.13864921796676422,107.35205209595422,105.334,1.575842996169498
2013-04-24,108.7,109.164,107.99,108.38,1256715,BXP,-0.00036893562073425645,57.51611910953454,0.028206355508761938,107.44995189633953,105.3958,1.5471399250145343
2013-04-25,108.41,108.68,107.76,108.05,1063196,BXP,-0.0030448422218121163,55.65893845526945,-0.07572925570309175,107.50709933478338,105.41619999999999,1.502344216084925
2013-04-26,107.84,108.45,107.64,107.77,838103,BXP,-0.002591392873669607,54.06379452608708,-0.16677428593199894,107.53213749337544,105.428,1.4528910577931449
2013-04-29,107.77,109.22,107.68,109.15,730138,BXP,0.012805047786953683,60.12878550698537,-0.1386495845335438,107.6862196368635,105.464,1.459113125093634
2013-04-30,108.83,109.56,108.03,109.43,1527191,BXP,0.0025652771415483056,61.24679701289564,-0.10718936712395744,107.8522939571622,105.5084,1.4641764733012317
2013-05-01,108.88,109.335,108.02,108.71,915551,BXP,-0.006579548569862093,56.83362067247513,-0.13886106704821355,107.93398024695628,105.53559999999999,1.4603067252082873
2013-05-02,108.9,109.63,108.56,109.06,651152,BXP,0.003219575016097931,58.40272915032876,-0.13984095409839714,108.04122022343664,105.58640000000001,1.4324276734076948
2013-05-03,109.65,109.65,108.425,108.58,1185887,BXP,-0.0044012470199890075,55.42704424407284,-0.1741823752873366,108.09253258310935,105.64880000000001,1.4176114110214315
2013-05-06,108.86,109.36,108.65,109.21,1035210,BXP,0.00580217351261747,58.421427401104296,-0.15639932200454565,108.19895805138464,105.7076,1.372067738805615
2013-05-07,109.13,110.34,108.555,110.3,1233325,BXP,0.009980770991667498,63.046912622891256,-0.07716528393262911,108.3990572845861,105.83339999999998,1.4015629003194994
2013-05-08,109.93,110.81,109.18,110.81,1365531,BXP,0.004623753399818797,65.00837590908162,-0.00040690802530884973,108.62867087653028,105.9656,1.4178798360109632
