date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,43.15,43.61,42.79,43.38,2174919,CAH,0.007197585326213174,50.96335479868296,0.1755839978102257,43.108173797690405,44.3844,0.5936858653620816
2013-04-23,43.57,44.06,43.45,43.8,2480727,CAH,0.009681881051175623,55.819434412436706,0.210576825339641,43.17406200743417,44.3568,0.5998511606933613
2013-04-24,43.92,44.43,43.92,44.39,2942454,CAH,0.013470319634703243,61.57590280495289,0.26296574816953844,43.28986562577377,44.340199999999996,0.6020046492152643
2013-04-25,45.56,45.92,44.125,44.22,6995716,CAH,-0.003829691371930677,59.183114579770866,0.27441111597806034,43.37844985189055,44.3138,0.6872186028427455
2013-04-26,44.21,44.27,43.54,43.98,3721971,CAH,-0.005427408412483126,55.88162805572915,0.2545011967063535,43.43574034218669,44.2846,0.6902744169254068
2013-04-29,44.02,44.23,43.83,44.0,1989061,CAH,0.0004547521600728466,56.10139676204487,0.23199463469841514,43.48947935721653,44.2446,0.6695405300021634
2013-04-30,44.08,44.36,43.615,44.22,3740969,CAH,0.004999999999999893,58.54749834028414,0.22127514856288585,43.55905275176734,44.195,0.6749304921448659
2013-05-01,44.22,44.86,43.895,43.94,4496173,CAH,-0.006331976481230184,54.39328222960517,0.18609234367515126,43.595333442075216,44.1446,0.6956497427059467
2013-05-02,44.5,46.24,44.5,46.16,5095970,CAH,0.050523441055985385,71.59952319003776,0.29654076274612917,43.839587399972814,44.14639999999999,0.8102461896555223
2013-05-03,46.39,46.82,46.23,46.39,2760723,CAH,0.004982668977469684,72.7467138531064,0.3648050956342356,44.082483838070644,44.1646,0.7995143189658425
2013-05-06,46.05,46.34,45.9,45.96,2824711,CAH,-0.00926923906014232,67.2754007489753,0.3600996086879351,44.26129490111153,44.1726,0.7774061533254253
2013-05-07,45.97,46.465,45.93,46.45,2258159,CAH,0.010661444734551884,70.04058354674854,0.3677962325943067,44.469743005767576,44.1972,0.7600914280878952
2013-05-08,46.37,46.66,46.04,46.37,4289754,CAH,-0.0017222820236815206,69.01523139208669,0.34564843918341664,44.65071986236114,44.2108,0.7500848975101883
2013-05-09,46.42,46.46,45.94,46.03,2176486,CAH,-0.007332326935518552,64.68135972467525,0.288575371805606,44.782079875469606,44.206199999999995,0.7336502619737465
2013-05-10,46.03,46.44,46.03,46.36,1708999,CAH,0.007169237453834354,66.85679096430964,0.2547037969337277,44.93235798256774,44.2092,0.7105323861184786
2013-05-13,46.46,46.46,46.13,46.16,1259026,CAH,-0.004314063848145033,64.27292381059294,0.2027461887040336,45.04927626994224,44.202200000000005,0.68335150139573
