date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,75.02,75.17,74.4,74.54,968577,CCI,-0.006265831222503682,63.90254332223651,0.2808774780106793,72.61029016556046,70.7706,1.1012201290765018
2013-04-23,74.8,75.1,74.11,74.88,1559505,CCI,0.004561309364099708,65.30436114948364,0.26133706502367815,72.82645300693565,70.8524,1.0932758341424655
2013-04-24,74.85,74.85,73.24,73.9,1446301,CCI,-0.01308760683760668,58.279140704171105,0.16509567172109585,72.92869557770368,70.9298,1.1323275602751466
2013-04-25,75.26,79.0,75.26,78.36,5052120,CCI,0.06035182679296347,72.68224799501164,0.37261652750670904,73.44596266554143,71.1308,1.415732734541207
2013-04-26,78.35,78.6,77.37,77.38,1914851,CCI,-0.01250638080653399,67.19311648270786,0.4116337303890316,73.82063288787081,71.3176,1.4024661106454057
2013-04-29,77.54,78.12,77.13,77.35,1583095,CCI,-0.00038769707934871445,67.02623813447788,0.4026793459321343,74.15676308902597,71.5314,1.373004245599306
2013-04-30,77.49,77.91,76.65,77.0,2608739,CCI,-0.004524886877827927,64.99805556648428,0.3427872634200346,74.42754755673778,71.71340000000001,1.3649325137707835
2013-05-01,77.07,78.2,76.79,76.87,2552282,CCI,-0.0016883116883116278,64.22073976585452,0.26736666505422524,74.6601620751437,71.91,1.368151619930013
2013-05-02,77.29,78.21,77.15,77.48,1880923,CCI,0.007935475478079823,66.25973754854198,0.23278245469432424,74.92871806798716,72.117,1.3661407899350113
2013-05-03,78.02,78.62,77.81,78.23,1476965,CCI,0.009679917398038196,68.62705650436263,0.23401057729216235,75.24312587103601,72.3216,1.3499878763682247
2013-05-06,78.11,78.26,77.32,77.94,1031041,CCI,-0.003707017768119769,66.67892475189929,0.19071706836027302,75.49997102617544,72.48100000000001,1.3207030280562095
2013-05-07,77.94,78.61,77.8,78.4,729620,CCI,0.005901975878881194,68.21999160000969,0.16921634567658095,75.77616426177778,72.6576,1.2842242403379092
2013-05-08,78.24,79.27,78.155,79.26,1428467,CCI,0.010969387755102034,70.92715976997096,0.18764340987449346,76.10795814160848,72.84779999999999,1.2721367945994866
2013-05-09,79.07,79.31,78.71,79.02,1120517,CCI,-0.003028009084027339,69.15667257293259,0.15950335271860205,76.38529546145529,73.0206,1.2241270235566668
2013-05-10,78.95,79.61,78.4701,78.71,914328,CCI,-0.0039230574538091645,66.83593835003607,0.0988202974762431,76.60669589369765,73.1988,1.2181108075883331
2013-05-13,78.49,79.3,78.47,78.69,916371,CCI,-0.00025409731927328316,66.6804696552196,0.039202918585628854,76.80510580858358,73.3698,1.1903886070463092
2013-05-14,79.15,81.16,78.81,79.77,1323442,CCI,0.013724742661075151,70.65064676661044,0.05348880531923772,77.08747668395657,73.5458,1.2817894208287157
2013-05-15,79.46,79.95,79.01,79.43,772500,CCI,-0.004262253980192865,67.9073812894442,0.022603942984964043,77.31057414262737,73.7024,1.2573758907695216
2013-05-16,79.17,79.31,77.76,77.77,2090846,CCI,-0.020898904695958787,56.394097681890585,-0.11926486944153747,77.35432898618667,73.81519999999999,1.2868490414288416
2013-05-17,77.55,78.62,77.22,77.87,2695570,CCI,0.0012858428700013302,56.868507103661,-0.21066835701358344,77.40344051131176,73.931,1.2949312527553531
2013-05-20,78.02,78.54,76.66,76.73,3060540,CCI,-0.014639784255811028,50.16777299220728,-0.34430338212149136,77.33930331975826,74.02980000000001,1.3367218775585428
2013-05-21,76.97,77.07,76.48,76.88,1707862,CCI,0.001954906816108215,50.98612599249985,-0.4142934245804182,77.29556014644795,74.1362,1.2833846005900746
2013-05-22,76.78,76.9,73.86,74.05,2159695,CCI,-0.03681061394380847,38.23009381012281,-0.6299554109034806,76.98645918011958,74.2046,1.4088571291193557
2013-05-23,73.37,73.66,72.75,73.38,2965792,CCI,-0.009047940580688696,35.937711442988416,-0.7863344421639935,76.64298687725106,74.253,1.4010816198965443
2013-05-24,73.18,73.78,72.77,73.72,1729461,CCI,0.00463341509948223,37.97039379820108,-0.8311103627615942,76.36460717465572,74.3052,1.373147218475363
2013-05-28,74.51,74.98,73.22,73.33,2273601,CCI,-0.005290287574606589,36.53825457697623,-0.8482810139145858,76.07559696754565,74.372,1.4007795600128374
2013-05-29,72.81,73.12,69.87,71.74,4659243,CCI,-0.02168280376380749,31.347194894307734,-0.92189689563695,75.66268297063655,74.4136,1.5478667342976344
2013-05-30,71.94,72.995,71.9,72.0,2519816,CCI,0.003624198494563746,33.02289201289469,-0.906868620621596,75.31385602105212,74.4538,1.5269476818478043
2013-05-31,71.67,72.63,71.25,71.25,3280147,CCI,-0.01041666666666663,30.695425243182328,-0.8994566159238515,74.92682211428526,74.4658,1.516451418858675
2013-06-03,71.25,71.45,70.52,70.87,2798825,CCI,-0.005333333333333301,29.558686826378505,-0.8715443122619364,74.54045810340095,74.4802,1.4745620317973418
2013-06-04,70.88,71.71,69.75,69.85,3315116,CCI,-0.01439254973895876,26.700399395847228,-0.871102906507307,74.09374780783895,74.4624,1.5092361723832455
2013-06-05,69.75,70.06,69.24,69.76,3506645,CCI,-0.0012884753042231578,26.457294771364786,-0.8265670194998989,73.6810099213781,74.44940000000001,1.4600050172130141
2013-06-06,69.76,70.76,69.72,70.64,3515992,CCI,0.01261467889908241,32.89126924602061,-0.6929411633464222,73.3913899288659,74.4526,1.4300046588406565
2013-06-07,70.09,70.825,70.09,70.28,4203487,CCI,-0.005096262740656887,31.67059314551328,-0.5880348787325858,73.09506707849772,74.445,1.3803614689234667
2013-06-10,70.35,70.57,68.96,69.21,2708829,CCI,-0.015224815025611904,28.307857207185393,-0.5505991168327795,72.72506069006936,74.43639999999999,1.396764221143219
2013-06-11,68.71,69.66,68.54,69.35,2118422,CCI,0.0020228290709434216,29.364644649220367,-0.4789407159659571,72.40362633863417,74.4276,1.376995348204417
2013-06-12,69.64,69.64,67.97,68.0,2261899,CCI,-0.019466474405191003,25.46636136008084,-0.4835853960975176,71.98423335400236,74.3756,1.3979242519041015
2013-06-13,68.28,69.78,67.7,69.74,5231938,CCI,0.025588235294117467,37.063512358481226,-0.33751311722151645,71.77049684409737,74.37819999999999,1.4466439481966655
2013-06-14,69.74,70.96,69.61,70.34,3132197,CCI,0.008603383997705993,40.50140555266527,-0.17661459463008455,71.63425904942143,74.3794,1.4397408090397603
2013-06-17,70.74,70.95,70.1,70.34,2731176,CCI,0.0,40.50140555266527,-0.052745894040302055,71.51099628280987,74.3696,1.3976164655369208
