date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,83.6,84.14,82.3612,83.82,2596991,DE,0.004313443565780117,39.21933914777862,-0.14275567274305945,85.3248493777535,87.91159999999999,1.5698811142719689
2013-04-23,84.27,85.21,84.1,84.78,2487567,DE,0.01145311381531866,44.56752160753242,-0.008335907256306063,85.27295896082458,87.75099999999999,1.5570324632525427
2013-04-24,85.0,85.82,84.71,85.12,2089633,DE,0.004010379806558273,46.367475597868264,0.10981037789172521,85.25839144074605,87.58879999999999,1.5251015730202184
2013-04-25,85.65,86.83,85.47,86.03,2041828,DE,0.01069078947368407,50.95751809773252,0.2476891256506908,85.3318779701988,87.43,1.5383086035187739
2013-04-26,85.93,86.2899,85.41,85.49,1685759,DE,-0.006276880158084475,48.31506038938539,0.2976078207461994,85.34693721113226,87.32620000000001,1.4912794175531476
2013-04-29,85.76,89.66,85.7,88.83,4463338,DE,0.03906889694701143,61.58429734249498,0.5367122656072001,85.6786574767387,87.2914,1.682616602013637
2013-04-30,89.26,90.0,88.87,89.3,3646220,DE,0.005291005291005346,63.02293188609129,0.6974804522074296,86.02354724085883,87.2824,1.6460011304412345
2013-05-01,88.81,89.1,87.6,87.77,2279554,DE,-0.017133258678611485,55.70908320929148,0.6714962290852329,86.18987607506276,87.23039999999999,1.649858192552575
2013-05-02,88.01,89.835,87.8701,89.54,2311252,DE,0.020166343853252888,61.303846127150074,0.738889164319867,86.50893549648535,87.25659999999999,1.6795111787988195
2013-05-03,90.56,91.5,90.29,90.54,2695270,DE,0.011168192986374725,64.06562279964561,0.8104525653628417,86.89284640158198,87.32619999999999,1.6995460945989034
2013-05-06,90.16,91.46,89.81,91.13,1834626,DE,0.006516456814667393,65.62448135235135,0.8528660343441439,87.29638483952655,87.40619999999998,1.6960070878418383
2013-05-07,91.46,91.74,90.99,91.73,1856378,DE,0.0065840008778668135,67.18357354490556,0.8734798289371253,87.71863390242878,87.5298,1.6284351529959926
2013-05-08,91.8,92.63,91.36,92.35,2122744,DE,0.0067589665322140835,68.76029364063615,0.8786349168375555,88.15971638791174,87.64679999999998,1.602832642067707
2013-05-09,92.05,92.76,91.75,92.19,1960204,DE,-0.0017325392528424466,67.8542412900384,0.8220501841590478,88.54355292239634,87.7342,1.5604874533485855
2013-05-10,92.35,92.77,91.15,92.3,2966283,DE,0.0011931879813429358,68.16482607850804,0.7450915438070252,88.90130978693001,87.8236,1.5647383495379716
2013-05-13,92.28,92.985,92.12,92.58,2764007,DE,0.0030335861321777458,68.98623796058727,0.6685480204329484,89.25166123579382,87.9174,1.5147570388566876
