date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,82.15,83.4,81.93,83.02,1214833,ECL,0.00960719931898324,63.73248840579781,0.05429492654852952,80.88749764542892,78.4434,1.2812418916969464
2013-04-23,83.27,84.12,83.0,83.79,1322073,ECL,0.00927487352445211,66.4168819062733,0.12462215835109336,81.16392644110236,78.63119999999999,1.2697246137185936
2013-04-24,84.17,84.21,83.29,83.29,731713,ECL,-0.005967299200381859,63.148338112768506,0.12067277476383453,81.36640963718786,78.8158,1.2447442841672647
2013-04-25,83.53,84.28,83.35,83.73,743661,ECL,0.00528274702845466,64.79045328948756,0.1300888471664181,81.59151348126521,79.0012,1.2265482638696026
2013-04-26,83.73,83.87,82.87,82.94,637174,ECL,-0.00943508897647205,59.65092982702714,0.06859629708416048,81.71994076876376,79.1666,1.2103662450217738
2013-04-29,82.85,83.29,82.35,83.25,1529483,ECL,0.0037376416686760727,60.95964424509457,0.035926222606409874,81.86566069554817,79.3352,1.1910543703773622
2013-04-30,83.05,84.7,82.89,84.62,1894786,ECL,0.016456456456456436,66.18029590072581,0.09059897726057509,82.12797872454358,79.5234,1.235264772493265
2013-05-01,84.75,85.16,83.99,84.25,1549021,ECL,-0.004372488773339733,63.70267717705087,0.085901260523217,82.33007598887276,79.6946,1.2306030030294604
2013-05-02,84.17,84.56,83.97,84.27,1277511,ECL,0.0002373887240356698,63.781608228273925,0.06893064712888997,82.51483065659917,79.88380000000001,1.1848456456702134
2013-05-03,85.06,85.65,84.76,85.58,1178669,ECL,0.015545271152248796,68.59833442938866,0.12732492690899644,82.80675154644686,80.1158,1.198785242408056
2013-05-06,85.73,85.74,85.02,85.35,570068,ECL,-0.0026875438186492184,66.9156913971633,0.13132593548937077,83.0489656848805,80.32879999999999,1.1645862965217664
2013-05-07,85.75,87.17,85.75,87.17,1360495,ECL,0.021323960164030487,72.6356380882721,0.23155144842811448,83.44144514346331,80.61619999999999,1.2114015610559263
2013-05-08,87.09,87.09,86.51,86.87,634938,ECL,-0.003441550992313802,70.47279040283252,0.2510134296347535,83.76797417741918,80.8368,1.1720157352662173
2013-05-09,86.78,87.18,86.56,86.78,741727,ECL,-0.0010360308506964788,69.80129108806028,0.23166376360783292,84.05483377956972,81.0262,1.1325860398900593
2013-05-10,86.72,87.34,86.51,86.8,571795,ECL,0.00023046784973490553,69.86999721182264,0.19549398491033587,84.31627818151546,81.2312,1.1109727513264835
2013-05-13,86.73,87.58,86.51,86.98,870509,ECL,0.0020737327188939947,70.52006813299411,0.16044302089255225,84.56996597375208,81.4354,1.1080461262317343
2013-05-14,87.19,87.99,86.97,87.97,1084207,ECL,0.011381926879742377,73.86052454336087,0.17925736328716768,84.89377873815664,81.6484,1.1017571172151814
2013-05-15,87.8,89.225,87.66,89.14,713490,ECL,0.013299988632488269,77.15512974613009,0.24192577297532436,85.29818076309411,81.8856,1.134845894556954
2013-05-16,88.8,88.948,88.08,88.16,835521,ECL,-0.010993942113529331,69.27867174741641,0.19103650587698207,85.57073497613277,82.09539999999998,1.1294997592314575
2013-05-17,88.22,89.09,87.8,89.09,1128305,ECL,0.010549001814882164,72.18101631982071,0.19309551347061116,85.90590307364394,82.3186,1.1409640621434967
2013-05-20,88.88,88.9,88.02,88.08,826600,ECL,-0.011336850376024277,64.99911349089034,0.10398716574153588,86.11295992377309,82.5174,1.1358952005618188
2013-05-21,88.22,89.47,88.096,89.05,1012582,ECL,0.01101271571298823,68.2649249304716,0.08853005930768032,86.39267802627089,82.72220000000002,1.1540455433788317
2013-05-22,89.0,89.22,87.02,87.43,1139149,ECL,-0.018192026951150964,58.45507725084,-0.04544311608374807,86.49147059519747,82.8818,1.2287565759946297
2013-05-23,86.74,87.62,86.69,87.19,1209118,ECL,-0.0027450531854055216,57.144920702130044,-0.15850482210367045,86.55799720517867,83.0266,1.2074168205664424
2013-05-24,86.75,87.33,86.05,87.14,856005,ECL,-0.0005734602592040172,56.85900130038928,-0.2400461221116681,86.61342604278069,83.17020000000001,1.2126013333831251
2013-05-28,87.93,88.0,86.85,87.06,1185130,ECL,-0.0009180628873077801,56.37299514700367,-0.29892392884201247,86.65595689584919,83.3186,1.208129809570045
2013-05-29,86.62,86.85,85.46,86.04,1094624,ECL,-0.011716057891109521,50.45174265335418,-0.3998175210196657,86.59729433433974,83.46379999999999,1.2361205374578996
2013-05-30,86.14,86.45,85.45,85.46,1301645,ECL,-0.006741050674105242,47.40273591455385,-0.49276574762900127,86.48898058821214,83.5892,1.2192547847823352
2013-05-31,85.01,85.59,84.43,84.47,2815721,ECL,-0.011584366955300629,42.66328146964922,-0.6009036027490371,86.29669672266813,83.691,1.2150223001550253
2013-06-03,84.72,84.74,83.255,83.75,2321509,ECL,-0.008523736237717516,39.56501832207086,-0.6942929076011142,86.05415417765212,83.78900000000002,1.2343064215725232
2013-06-04,83.74,85.92,83.71,84.52,2138666,ECL,0.009194029850746244,44.22958031888112,-0.6768717321275212,85.90804425597096,83.89,1.3039988200316295
2013-06-05,84.15,84.63,83.49,83.51,1295104,ECL,-0.011949834358731537,39.88139407484694,-0.7029626551478356,85.67965908873563,83.9656,1.292284618600799
2013-06-06,83.51,84.09,83.15,84.09,1358869,ECL,0.0069452760148485115,43.32697920505152,-0.6518861096808847,85.52826298504652,84.06980000000001,1.2671214315578845
2013-06-07,84.31,84.82,83.98,84.75,1388491,ECL,0.007848733499821625,47.046199023656165,-0.5485288134494088,85.45414270075638,84.19800000000001,1.2366127578751775
2013-06-10,85.0,85.45,84.47,84.61,1316114,ECL,-0.0016519174041298434,46.351324455532286,-0.46762503867576055,85.3737481578272,84.28659999999999,1.218283275169808
2013-06-11,83.91,84.86,83.52,83.7,841982,ECL,-0.010755229878264938,42.00809383018555,-0.4531095948013311,85.21434357136746,84.3706,1.2269773269433932
2013-06-12,84.34,84.878,83.85,84.25,1682791,ECL,0.00657108721624855,45.341689524134836,-0.3867594765373595,85.12250132647532,84.4516,1.2234789464474365
2013-06-13,84.04,84.88,83.4,84.76,1293137,ECL,0.0060534124629081365,48.30893316582828,-0.29306977488059477,85.08797739062052,84.5556,1.2418018788440475
2013-06-14,84.37,84.7,83.96,84.03,898544,ECL,-0.008612553091080777,44.578495565427176,-0.2656214588197389,84.98721763913285,84.6392,1.2102446017837594
2013-06-17,84.63,86.34,84.62,86.32,1481150,ECL,0.027252171843389128,56.04514406151283,-0.0877960962619127,85.11414929254877,84.7788,1.2887985587992052
2013-06-18,86.37,86.85,86.09,86.73,1001315,ECL,0.0047497683039852134,57.73134630205206,0.055183683490428195,85.26803983611556,84.9126,1.25102723317069
2013-06-19,86.72,86.82,85.6,85.68,851512,ECL,-0.01210653753026636,52.207681295867204,0.07552812674295094,85.30727413743789,85.0148,1.2488110022299264
2013-06-20,85.21,85.31,83.83,83.99,1205512,ECL,-0.019724556489262524,44.78104787886697,-0.023074821136164048,85.1818194576819,85.0484,1.291753073499218
2013-06-21,84.29,84.35,82.93,83.77,2315653,ECL,-0.0026193594475533155,43.90546586575017,-0.09719820192432374,85.04736046171219,85.0644,1.300913568249273
2013-06-24,83.0,84.76,82.58,83.93,1288890,ECL,0.0019099916437865794,44.75153294555844,-0.12762034758983037,84.94094517964437,85.09859999999999,1.363705456231468
2013-06-25,84.7,84.87,83.97,84.41,1416403,ECL,0.005719051590611146,47.31865796588866,-0.10834410155933177,84.8903789720592,85.1762,1.333440780786363
2013-06-26,85.0,86.0,84.8701,85.93,787639,ECL,0.018007345101291428,54.52459405045818,0.007688949392576611,84.98939049852976,85.2564,1.3517664393016229
2013-06-27,86.49,86.62,85.16,85.7,1076145,ECL,-0.002676597230303779,53.335760643956434,0.06658621056009484,85.05706759390787,85.3392,1.359497407922936
