date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,214.15,215.0,208.5,213.64,942198,EQIX,0.0166071853438019,50.226842369948926,-0.20437670917581915,213.24401597381024,214.20096,5.529363139698246
2013-04-23,214.11,219.94,214.11,219.41,845987,EQIX,0.027008050926792704,56.61058049909836,0.27024039938394195,213.83125254773307,214.19496000000004,5.584408629719801
2013-04-24,218.73,220.0,215.86,216.38,1492815,EQIX,-0.013809762545007098,52.78216908686464,0.36155588471915917,214.0739904003299,214.16196,5.481236584739814
2013-04-25,209.71,221.0,209.5,213.51,2498484,EQIX,-0.013263702745170525,49.3760392758969,0.21722519698493542,214.02027702886994,214.14156,5.911148257258398
2013-04-26,213.43,213.84,208.5,211.49,1040828,EQIX,-0.00946091517961678,47.07351232843201,-0.013487979577057673,213.77929826421567,214.11095999999998,5.870351953168513
2013-04-29,213.24,214.87,210.33,210.97,704961,EQIX,-0.00245874509433075,46.472721580282894,-0.19049242311827502,213.51174604857607,213.81036,5.775326813656476
2013-04-30,211.88,214.42,210.91,214.1,1002884,EQIX,0.014836232639711788,50.562752509643765,-0.09118576419729404,213.56777023442598,213.60175999999998,5.6135177555381555
2013-05-01,214.75,217.59,212.15,216.05,994428,EQIX,0.009107893507706688,52.97359146015389,0.10100450905101549,213.80417306924255,213.50112000000001,5.601123630142573
2013-05-02,216.05,217.17,214.691,214.89,546735,EQIX,-0.005369127516778649,51.368789988309736,0.14263435642182523,213.90758515788613,213.48651999999998,5.378114799418102
2013-05-03,217.1,217.673,214.08,214.5,615009,EQIX,-0.001814882032667775,50.811456878035045,0.1365280488929007,213.96400561903982,213.49632000000003,5.250606599459665
2013-05-06,214.3,216.16,213.36,215.06,353023,EQIX,0.0026107226107225934,51.623093630483204,0.16113735259325646,214.06838603627412,213.51332,5.075563270926831
2013-05-07,214.0,217.6,213.89,217.6,1095866,EQIX,0.011810657490932686,55.231386361508264,0.32970025572459355,214.40473022329564,213.66191999999998,4.9780230372892005
2013-05-08,217.8,226.53,217.35,224.92,1129927,EQIX,0.03363970588235299,63.64668823790387,0.8839511196896447,215.40618448774367,213.89852,5.278164248911401
2013-05-09,221.37,222.95,217.06,221.87,1399508,EQIX,-0.013560377022941439,58.69586939258392,0.9870851021466962,216.02178596510143,214.08252000000002,5.462581088274872
2013-05-10,222.0,224.23,221.41,223.73,459156,EQIX,0.008383287510704385,60.70336399859297,1.113156271809796,216.75590158747272,214.32612,5.273825296255238
2013-05-13,223.4,226.26,222.514,225.95,492984,EQIX,0.009922674652482977,63.013957160200114,1.2674324176725549,217.63153000771342,214.58631999999997,5.16469491795129
