date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,92.67,92.85,90.95,92.5,1584259,FDX,0.0011906050438359461,30.722536483245293,-0.1258599758712271,96.18640834454605,101.6744,1.8259712731726176
2013-04-23,92.94,93.19,92.03,93.17,2538077,FDX,0.007243243243243214,34.219664012489375,-0.04391228160740557,95.89913135935119,101.40960000000001,1.7784018965174304
2013-04-24,94.7,96.15,94.4,94.46,3056442,FDX,0.013845658473757627,40.452459943906014,0.11430277740425865,95.76207122988917,101.1786,1.8642303324804712
2013-04-25,94.61,94.94,93.23,94.3,2326775,FDX,-0.0016938386618674528,39.94688597353137,0.21923071657768967,95.62282635085211,100.9422,1.8532138801604372
2013-04-26,94.57,94.775,93.99,94.18,1652339,FDX,-0.0012725344644749503,39.547671175919085,0.287311860826724,95.48541431743762,100.7026,1.7769128887204069
2013-04-29,94.45,94.58,93.5,93.75,1878886,FDX,-0.004565725207050453,38.079141450269276,0.3082909041463764,95.32013676339594,100.4464,1.727133396668949
2013-04-30,93.84,94.43,93.09,94.01,1981298,FDX,0.0027733333333332943,39.5410230412456,0.3419790377085987,95.1953618335487,100.1982,1.6994810111925958
2013-05-01,93.66,94.02,91.84,92.0,2396579,FDX,-0.021380704180406385,33.04573973218035,0.23622145892226287,94.89104165892502,99.8916,1.7338037961074098
2013-05-02,92.23,93.11,92.18,92.29,2405552,FDX,0.0031521739130435655,34.712102315083854,0.194848226477351,94.64332340569408,99.62360000000001,1.6892463820997377
2013-05-03,92.98,95.14,92.98,94.52,2317261,FDX,0.024162964568208878,45.868689825339025,0.3193608774823615,94.6315783194375,99.4164,1.7721573548068987
2013-05-06,94.92,96.8,94.74,96.23,3045656,FDX,0.01809140922556085,52.56281098968024,0.5074073543520581,94.78380895568154,99.22460000000001,1.8084318294635489
2013-05-07,96.63,99.6,96.51,99.52,4689474,FDX,0.034188922373480146,62.238443912176415,0.8250933202027941,95.23487476942616,99.15279999999998,1.9199724130732947
2013-05-08,99.07,102.09,98.8,101.95,4873213,FDX,0.024417202572347252,67.50964885310721,1.150617437472361,95.87441050567128,99.1286,2.0178315264252027
2013-05-09,101.57,102.1,100.2291,100.43,2754104,FDX,-0.014909269249632096,61.70712017559927,1.2092875821049218,96.30827617179783,99.0224,2.0073364173948307
2013-05-10,100.15,101.16,99.62,100.12,2278880,FDX,-0.003086727073583595,60.563801330620436,1.1720864027857272,96.67129748876947,98.91619999999999,1.9739552447237707
2013-05-13,99.84,99.95,98.72,98.8,2047848,FDX,-0.013184178985217843,55.82108371146778,1.0096178197852201,96.87403106126762,98.7846,1.932958441529216
2013-05-14,98.9,100.72,98.88,100.68,1922016,FDX,0.01902834008097165,60.55844757900262,0.9790663275581895,97.23650429352784,98.68220000000001,1.9320328385628436
2013-05-15,100.53,100.871,99.79,100.28,2054357,FDX,-0.00397298371076682,59.10619710117194,0.8850637081661855,97.52636102747758,98.52959999999999,1.8712447786654969
2013-05-16,100.24,100.79,98.73,98.94,1776247,FDX,-0.013362584762664609,54.399749929030186,0.6942130809507827,97.66099331057495,98.3476,1.8847272944751043
2013-05-17,99.45,100.08,98.86,100.05,2223204,FDX,0.011218920557913847,57.42406626710915,0.6074357282506477,97.88851775718686,98.20939999999999,1.8372467734411682
2013-05-20,100.06,101.559,99.6,101.18,2390868,FDX,0.01129435282358826,60.30996830640671,0.5903303843836722,98.20199225650241,98.07700000000001,1.845943432481085
2013-05-21,101.39,103.05,101.25,102.17,2803000,FDX,0.009784542399683627,62.69568003572371,0.6075108409809069,98.57989775588314,97.97219999999999,1.8476617587324355
2013-05-22,102.08,102.9,99.0,99.65,3251757,FDX,-0.024664774395615097,53.82651367293772,0.4198957050651865,98.68181225532284,97.8366,1.9942573473944047
2013-05-23,98.63,99.71,98.0,99.1,1629725,FDX,-0.005519317611640817,52.094374267578814,0.23851752522908742,98.72163965957782,97.66120000000001,1.9739532511519469
2013-05-24,98.67,98.67,97.35,97.82,2543095,FDX,-0.01291624621594345,48.20640106127004,0.02342616825999555,98.6357692158085,97.4408,1.9579565903553793
2013-05-28,98.82,99.1,95.97,96.53,4178679,FDX,-0.013187487221427041,44.594174432901895,-0.2022120802636148,98.43521976668387,97.19,2.0416739767585663
2013-05-29,96.48,97.5,96.0795,96.55,2445936,FDX,0.00020718947477460503,44.66340655903157,-0.3385705644138577,98.2556750269997,96.97519999999999,1.9973044069900976
2013-05-30,96.75,97.1,95.88,96.52,2947600,FDX,-0.00031071983428276884,44.57343519871862,-0.41424129721925806,98.09037264347592,96.7764,1.941782663633662
2013-05-31,96.25,97.97,96.12,96.34,2273709,FDX,-0.0018648984666389534,44.00070769722947,-0.4565358482091216,97.9236704869544,96.72060000000002,1.9352267590883998
2013-06-03,96.51,97.71,96.02,97.7,2263875,FDX,0.014116670126634867,49.301249619228166,-0.3763739649647905,97.9023685358159,96.7446,1.9177105620106567
2013-06-04,97.64,99.0,97.45,98.38,3045755,FDX,0.006960081883316205,51.75992071526698,-0.2661991584959698,97.94785724669057,96.7426,1.891445521867038
2013-06-05,98.0,98.2,96.18,97.09,2174453,FDX,-0.013112421223825943,47.09403043700469,-0.26810245459933335,97.86615655652957,96.74400000000001,1.9134851274479632
2013-06-06,97.01,97.52,95.64,96.84,2481255,FDX,-0.0025749304768771797,46.22437552584163,-0.27317293005855015,97.7684273606696,96.72640000000001,1.9110933326302513
2013-06-07,97.74,99.84,97.48,99.78,2509064,FDX,0.030359355638166052,56.417079816848144,-0.07576176553425301,97.9600057072725,96.76899999999999,1.988872380299519
2013-06-10,99.86,99.98,98.54,98.66,1842542,FDX,-0.011224694327520601,52.34658077155769,-0.02071468995141018,98.0266718303894,96.7782,1.9496672102781247
2013-06-11,97.61,98.79,97.11,98.04,1562927,FDX,-0.006284208392458801,50.18787138120051,-0.025828281051979166,98.02794117987614,96.7834,1.9304052666868308
2013-06-12,98.58,98.9,97.28,97.49,1289847,FDX,-0.005609955120359111,48.28557175262514,-0.06385524528435017,97.9767086865546,96.7908,1.908233461923486
2013-06-13,97.41,99.85,97.1,99.58,1424559,FDX,0.021438096214996483,55.229986519530705,0.04810593364313237,98.12940309735893,96.8568,1.9683596432146655
2013-06-14,99.51,100.7457,98.72,99.12,1534877,FDX,-0.004619401486242181,53.5263087816868,0.08536289905490846,98.22374565951522,96.91959999999999,1.9724553829850466
2013-06-17,100.13,100.196,97.68,98.41,2504504,FDX,-0.007163034705407689,50.915656337284524,0.057694663736533675,98.24148416813281,96.9778,2.0112799984861143
2013-06-18,98.62,100.38,98.24,99.48,2194627,FDX,0.010872878772482553,54.51605046255808,0.10424692881202288,98.35943805688207,97.0624,2.0204742843085346
2013-06-19,100.96,103.47,99.26,100.54,4496769,FDX,0.010655408122235643,57.81708744491867,0.19400304250917072,98.5671106228933,97.1664,2.176868978286496
2013-06-20,97.84,97.97,95.17,95.71,4910842,FDX,-0.04804058086333807,42.63363502895655,-0.07019488433288293,98.29500484928441,97.1216,2.404949765551746
2013-06-21,96.5,97.03,94.67,96.46,3632718,FDX,0.00783617176888507,45.04690173675212,-0.1861321022212946,98.1202424826859,97.1176,2.401739068012336
2013-06-24,95.37,96.7,94.6,95.9,2710435,FDX,-0.005805515239477366,43.57297252802874,-0.2862416663754412,97.9087908176682,97.109,2.380186277440027
2013-06-25,97.05,98.306,96.68,97.19,2241128,FDX,0.013451511991657839,47.80931500858996,-0.2524677743043147,97.84033454931884,97.1586,2.382030114765739
2013-06-26,98.07,99.35,97.99,98.37,2777884,FDX,0.012141166786706625,51.40338777126538,-0.14299332674914392,97.89077887795514,97.22319999999999,2.3661708208539003
2013-06-27,99.15,99.53,98.73,99.37,1941823,FDX,0.010165700925078847,54.27701929309229,-0.00297133778976362,98.03165708005466,97.3282,2.2800157622214785
2013-06-28,98.91,99.59,98.58,98.58,2248305,FDX,-0.00795008553889509,51.677241771717455,0.03463022832715636,98.08388021528755,97.4624,2.1893003506342303
2013-07-01,98.72,99.7299,98.55,98.89,1976003,FDX,0.003144654088050425,52.635954017384435,0.07618602229435689,98.16065352811731,97.5924,2.1172003255889282
2013-07-02,98.76,99.42,97.94,98.27,1741004,FDX,-0.006269592476489061,50.47889952491132,0.0585177555784572,98.17106747782042,97.70779999999999,2.071686016618291
2013-07-03,97.88,98.25,97.54,97.77,784596,FDX,-0.005088022794342173,48.74404454168326,0.012179940580023474,98.13287057517084,97.79979999999999,1.9758513011455552
2013-07-05,98.59,99.2,98.18,98.96,1056903,FDX,0.012171422726807712,52.89354101012879,0.058125804274877964,98.21164480610696,97.8898,1.9368619224923016
2013-07-08,99.18,99.5,98.63,98.83,1913788,FDX,-0.0013136620856911696,52.39452093894473,0.07513293514101468,98.27053577695392,97.9804,1.8606574994571374
2013-07-09,99.5,106.35,99.39,103.15,15123390,FDX,0.043711423656784376,64.41056563490503,0.3569276478351649,98.73524665533927,98.15979999999999,2.264896249495913
2013-07-10,102.68,106.47,102.01,103.0,6887879,FDX,-0.0014541929229278105,63.80831939523755,0.5038354749746881,99.14141364054505,98.34479999999999,2.4216893745319186
2013-07-11,104.0,105.98,103.91,104.4,3983461,FDX,0.013592233009708687,66.91743989452505,0.6562667003439248,99.64223138906456,98.5526,2.4615687049224957
2013-07-12,102.07,103.31,101.5799,102.29,5071742,FDX,-0.02021072796934864,58.72867985006032,0.5786734234438349,99.89439982820127,98.7584,2.487178083142318
2013-07-15,102.28,103.93,102.14,103.7,2220813,FDX,0.013784338645028704,62.06904501092731,0.5842920754809626,100.25683793980114,98.9866,2.437379648632153
2013-07-16,103.38,103.9799,102.95,103.51,1905738,FDX,-0.0018322082931533368,61.348487554643235,0.5383318315303791,100.56666289791534,99.16640000000001,2.3368453880155706
