date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,242.66,244.58,241.06,243.73,404244,GWW,0.002797778234931103,68.47837631909638,2.16970842219589,231.35667913376895,226.6416,5.513101585822226
2013-04-23,245.0,246.899,243.03,245.86,315371,GWW,0.00873917859926987,70.15851214901255,2.1818626882911483,232.73794778769573,227.22460000000004,5.395665758263496
2013-04-24,247.23,248.215,244.58,246.3,213222,GWW,0.0017896363784266622,70.50821138414071,2.0757865558630333,234.02957180791518,227.79840000000002,5.269903918387532
2013-04-25,245.41,247.83,245.19,245.54,217441,GWW,-0.003085667884693555,69.00405015191204,1.8198542522578007,235.1258030643042,228.24740000000003,5.082053638502709
2013-04-26,249.54,249.54,243.82,245.24,227685,GWW,-0.0012217968559093961,68.38389426868441,1.5086197074149048,236.08905991532285,228.6398,5.127621235752515
2013-04-29,242.6,247.23,237.47,245.58,267948,GWW,0.0013863969988583413,68.72692983527087,1.216443073645789,236.99295897100637,229.02560000000003,5.458505433198764
2013-04-30,241.89,246.49,241.89,246.47,349340,GWW,0.0036240736216304192,69.65506817851187,0.9838551465394607,237.895534307101,229.36540000000002,5.397183616541711
2013-05-01,246.24,246.462,240.81,240.9,262533,GWW,-0.02259909928185988,58.04450737986397,0.38630439666205163,238.18167389690092,229.6008,5.41595621536016
2013-05-02,241.92,244.5899,241.14,242.44,251168,GWW,0.006392694063926951,60.0283306081842,0.04418974157318534,238.58722876386273,229.9166,5.292666485691577
2013-05-03,244.48,249.49,244.04,248.68,305635,GWW,0.025738327008744566,66.86506648385432,0.1799540001990474,239.54844507206627,230.4152,5.418190308142179
2013-05-06,246.6,249.95,246.6,248.53,183869,GWW,-0.000603184815827551,66.57030656716543,0.19992149374898016,240.40383125567902,230.8886,5.270462428989167
2013-05-07,249.22,253.21,249.02,253.16,257734,GWW,0.018629541705226682,70.84286840103528,0.4508558608230988,241.61870446942388,231.5222,5.228286541204227
2013-05-08,253.11,253.375,251.4,252.55,271325,GWW,-0.002409543371780676,69.58109676597124,0.49796924536868925,242.65978023424066,232.1114,4.99590893111821
2013-05-09,251.07,254.0,250.46,251.59,278481,GWW,-0.0038012274797070145,67.54224251929047,0.3913906702897485,243.51027735478917,232.59080000000003,4.891915436038338
2013-05-10,252.47,256.62,251.72,256.55,490493,GWW,0.01971461504829297,72.09227477352084,0.5709764887373892,244.75215570195212,233.19259999999997,4.901778619178456
2013-05-13,257.17,259.5,256.29,257.48,269068,GWW,0.0036250243617228506,72.86049173938613,0.66202386366772,245.96433134938525,233.7936,4.780937289237136
2013-05-14,257.23,262.12,256.62,261.95,275510,GWW,0.017360571694888804,76.24519216038189,0.9172098472491426,247.48677598277712,234.4452,4.832298911434484
2013-05-15,261.15,262.43,259.19,261.8,342959,GWW,-0.0005726283641915852,75.90309759097445,0.9649693462936639,248.8499401748936,235.0456,4.71856327490345
2013-05-16,260.99,261.898,257.88,258.46,281542,GWW,-0.012757830404889314,68.52993321005727,0.6744366035787204,249.76518396776086,235.6022,4.668523040981777
2013-05-17,258.46,263.41,258.46,263.35,199357,GWW,0.018919755474735123,72.70968123155504,0.7107812397697613,251.05897597083128,236.2646,4.68862853805451
2013-05-20,263.02,263.91,261.52,263.29,174326,GWW,-0.00022783368141254812,72.58229859648998,0.632583588386991,252.2238354021807,236.91039999999998,4.524440785336334
2013-05-21,263.15,269.146,263.05,267.34,235058,GWW,0.015382278096395474,75.67956007169525,0.7475411126409526,253.6634701257825,237.64579999999998,4.636695014955167
2013-05-22,266.99,269.17,258.95,259.92,432508,GWW,-0.027754918829954178,61.88609256104133,0.24384589417040203,254.25933011380323,238.3282,5.035502513886944
2013-05-23,258.85,260.24,256.2,258.55,544962,GWW,-0.005270852570021578,59.72173687976989,-0.23566325049634163,254.66796534106007,238.997,4.9643951914664495
2013-05-24,256.5,259.08,254.64,257.78,254314,GWW,-0.0029781473602785713,58.483723253911556,-0.6360486484420091,254.96434959429243,239.65059999999997,4.926938392075988
2013-05-28,260.45,260.59,257.08,259.84,322143,GWW,0.007991310419737774,60.8235273865147,-0.783798278525623,255.42869725197886,240.34619999999998,4.825728506927703
2013-05-29,257.59,259.41,254.861,254.99,314374,GWW,-0.01866533251231517,53.21877342432935,-1.2046490460849668,255.3869165613142,240.98039999999997,4.83667647071858
2013-05-30,256.29,256.61,252.67,253.1,449534,GWW,-0.007412055374720672,50.56555449060569,-1.5829666993556888,255.1691149840462,241.5692,4.772628151381541
2013-05-31,252.9,261.34,252.9,257.44,398429,GWW,0.01714737258000798,55.991299510125316,-1.5136014371758355,255.38538974747036,242.19279999999998,5.034583283425714
2013-06-03,257.23,258.75,252.58,258.51,257597,GWW,0.004156308266003661,57.23745431390799,-1.3725073951533542,255.6829716762827,242.90040000000002,5.115684477466734
2013-06-04,258.66,259.0499,253.34,256.73,290128,GWW,-0.00688561370933416,54.47405246374241,-1.3726036462696403,255.78268865949389,243.54139999999998,5.158128443361965
2013-06-05,255.56,255.56,251.5,251.65,414137,GWW,-0.019787325205468775,47.435327002609,-1.6686600414114894,255.38909926335162,244.196,5.163262125978969
2013-06-06,251.78,253.33,250.02,253.22,266061,GWW,0.006238823763163204,49.60269319006412,-1.7065080775273977,255.18251838112766,244.842,5.030886259837614
2013-06-07,255.82,260.76,254.99,260.61,207233,GWW,0.02918410868019916,58.31523961888256,-1.2052237794203697,255.69942139244884,245.61399999999998,5.2101086698492125
2013-06-10,261.0,261.0,255.21,256.08,267406,GWW,-0.01738229538390712,52.34179507065874,-1.150259534112676,255.73566697412036,246.236,5.251529479145696
2013-06-11,252.7,256.9,252.0,255.0,351409,GWW,-0.004217432052483483,51.00049062852657,-1.1551287534836763,255.66560345277557,246.9398,5.226420230635287
2013-06-12,256.21,256.56,252.06,252.06,245005,GWW,-0.011529411764705899,47.43678169712861,-1.3133132594361854,255.32221264774932,247.607,5.174533071304195
2013-06-13,252.15,254.65,251.45,253.75,381691,GWW,0.006704752836626193,49.616210844873706,-1.2608314335677848,255.17247810986842,248.34240000000003,5.033494994782467
2013-06-14,252.48,255.18,252.1901,254.38,246758,GWW,0.0024827586206896957,50.44114745453505,-1.143832250002843,255.09700400416665,248.937,4.887523923726577
2013-06-17,256.04,256.42,253.04,254.36,209167,GWW,-7.862253321799795e-05,50.41292818258313,-1.0314025834873732,255.02681314662698,249.584,4.779843643460395
2013-06-18,253.54,256.02,252.38,255.87,171080,GWW,0.005936467998112871,52.57038485705263,-0.827738949872113,255.10711665647204,250.20899999999997,4.6984262403560795
2013-06-19,255.66,256.19,251.66,251.7,180224,GWW,-0.01629733849220316,46.54738689691744,-0.9381657633698635,254.78262935585565,250.7184,4.6863957946163595
2013-06-20,249.47,251.23,248.27,249.52,294806,GWW,-0.00866110448947155,43.726892163299915,-1.1105342075964333,254.28142656005988,251.1622,4.596653237858047
2013-06-21,251.35,253.04,248.54,251.23,339047,GWW,0.006853158063481857,46.467049309048825,-1.0619087829355092,253.99081450672085,251.60940000000002,4.589749435153901
2013-06-24,249.44,253.23,247.4,250.94,289516,GWW,-0.0011543207419495438,46.05744830435054,-1.0025327304459708,253.700260744176,252.06820000000005,4.678338761214335
2013-06-25,248.04,255.84,248.04,255.45,241789,GWW,0.01797242368693719,52.99662836672036,-0.6309212222845133,253.866902578064,252.6632,4.901314563984741
2013-06-26,257.06,258.13,253.72,253.91,422649,GWW,-0.006028577020943393,50.60286803876553,-0.46774593783966345,253.87100709443888,252.90379999999996,4.866220666557259
2013-06-27,255.5,257.03,253.51,254.67,352533,GWW,0.002993186562167738,51.76087039280216,-0.2959216439964258,253.9471016568733,253.23399999999998,4.770062047517454
2013-06-28,254.05,254.87,250.61,252.18,366407,GWW,-0.00977735893509235,47.80660301842032,-0.3344165741528087,253.7788062609806,253.46560000000002,4.733629044123349
2013-07-01,253.47,256.8,252.41,254.52,241133,GWW,0.009279086366880795,51.55234945827843,-0.19371603224571798,253.84939614088722,253.695,4.725512683828825
2013-07-02,254.53,255.94,252.53,253.86,303397,GWW,-0.002593116454502553,50.45253712896074,-0.1390864683766158,253.8504060322313,253.89759999999998,4.631547492126765
2013-07-03,252.02,255.39,250.97,255.16,193579,GWW,0.005120932797604949,52.59766864346647,-0.01586867080051016,253.97512926725688,254.08360000000002,4.6164369569748525
2013-07-05,257.62,257.9,253.43,256.1,224689,GWW,0.003683963003605628,54.14363938725821,0.12094143126784426,254.1774979084705,254.2796,4.605977174333789
2013-07-08,256.12,258.01,254.816,255.96,507813,GWW,-0.0005466614603670816,53.86188674532443,0.1899003879379446,254.3472600124257,254.488,4.5051216618813745
2013-07-09,257.04,264.31,256.845,261.75,356041,GWW,0.02262072198781051,62.5432163667512,0.5907225437513985,255.05228286838513,254.8182,4.779755828889847
2013-07-10,261.19,261.88,259.55,261.65,310018,GWW,-0.0003820439350525895,62.32509636434325,0.8013059477402645,255.68063688091988,255.1396,4.604773269683428
2013-07-11,265.0,265.9399,263.08,264.39,286855,GWW,0.010472004586279393,65.8404033877469,1.0610280845125688,256.510100035118,255.498,4.5822823218489015
2013-07-12,264.21,266.32,263.7,265.25,197585,GWW,0.0032527705283862396,66.88481308187184,1.2155388578323234,257.3424714603449,255.985,4.442119298859695
2013-07-15,266.58,267.29,263.61,264.8,267801,GWW,-0.0016965127238454114,65.75198046448998,1.2096338782320872,258.0527122736454,256.4322,4.387682206084003
2013-07-16,265.0,266.1625,261.5,262.68,258348,GWW,-0.00800604229607249,60.54898855358296,0.9941604623915432,258.493406342822,256.7122,4.407312048506576
2013-07-17,259.57,264.34,256.86,262.65,478245,GWW,-0.0001142074006397209,60.47605995327982,0.7897421078293365,258.8892724054104,256.9946,4.626789759327532
2013-07-18,262.65,265.27,260.041,263.2,352942,GWW,0.0020940415000951784,61.39411891071609,0.6381830624377893,259.2998178906094,257.19539999999995,4.669804776518421
