date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,20.58,20.7,20.525,20.575,1670398,HRL,-0.0014559572919194963,62.75838543813978,-0.02786294722560162,20.223963746992986,19.424400000000002,0.28135561482443544
2013-04-23,20.615,20.935,20.615,20.925,1724716,HRL,0.017010935601458055,68.33919846740136,-0.004836837982212128,20.290729104422226,19.4846,0.2869730709084043
2013-04-24,21.02,21.045,20.585,20.62,1403074,HRL,-0.014575866188769382,59.91342808419393,-0.012509075848005202,20.322088237334395,19.5407,0.2993321372720898
2013-04-25,20.67,20.77,20.535,20.7,1372448,HRL,0.0038797284190106307,61.262533193478426,-0.01442194028535393,20.35807983377874,19.5984,0.2947369846097976
2013-04-26,20.705,20.78,20.57,20.605,972286,HRL,-0.004589371980676327,58.73463575271101,-0.02375988616960706,20.381596040085526,19.6521,0.28868434285195493
2013-04-29,20.6,20.6429,20.5075,20.62,1153432,HRL,0.0007279786459597481,59.02215436171126,-0.03018812209691929,20.404301179125,19.7054,0.27773546121967246
2013-04-30,20.585,20.645,20.44,20.635,2104964,HRL,0.0007274490785644794,59.32734240146951,-0.034386824607516964,20.42627249539881,19.7573,0.27254007113255285
2013-05-01,20.615,20.755,20.54,20.585,1155376,HRL,-0.0024230676035861265,57.7825209146293,-0.041037769461252815,20.441389400598922,19.8036,0.2684300660516562
2013-05-02,20.69,21.13,20.59,21.01,3109454,HRL,0.0206461015302406,65.90846111193653,-0.01847015509736538,20.49554279101807,19.8626,0.2881850613336806
2013-05-03,21.105,21.195,20.8325,20.87,2003472,HRL,-0.006663493574488366,61.69576195190803,-0.014786828346976588,20.531205382349686,19.9149,0.2934932712384178
2013-05-06,20.815,20.815,20.495,20.705,1167920,HRL,-0.007906085289889897,57.066210643244084,-0.024694632720527077,20.547757250697334,19.9577,0.2993151804356736
2013-05-07,20.715,20.905,20.655,20.845,1437248,HRL,0.006761651774933597,59.82113695862179,-0.023081039773889422,20.576066083964253,20.009,0.29579266754741124
2013-05-08,20.855,20.905,20.645,20.695,1364976,HRL,-0.007195970256656192,55.697376657284416,-0.03278516155077754,20.587393123586704,20.0529,0.29323604843688195
2013-05-09,20.67,20.765,20.53,20.63,1684088,HRL,-0.0031408552790529454,53.961458634947405,-0.043575076117529116,20.59145092134035,20.092,0.2890763306913904
2013-05-10,20.66,20.81,20.565,20.74,2073742,HRL,0.005332040717401787,56.43595425221473,-0.043212511837690426,20.605598452641267,20.1327,0.28592802135629086
2013-05-13,20.76,21.03,20.7,21.03,1448476,HRL,0.013982642237222898,62.20368051980544,-0.024293126552234034,20.64601764762781,20.1786,0.28907601983084164
2013-05-14,21.04,21.46,21.02,21.445,1277556,HRL,0.01973371374227284,68.60870078493768,0.013298106121328312,20.72211120499659,20.2277,0.29985630412863873
2013-05-15,21.45,21.585,21.315,21.515,1132448,HRL,0.0032641641408253097,69.5461501635063,0.03857449337976593,20.797624423568344,20.2763,0.29772371097659306
2013-05-16,21.455,21.585,21.31,21.315,1102360,HRL,-0.009295840111550047,63.69352810358885,0.037488455818871,20.846898287990406,20.3218,0.29610058876397943
2013-05-17,21.31,21.42,21.24,21.35,2128404,HRL,0.0016420361247948545,64.2603548750115,0.034847600212996155,20.894812736753224,20.366100000000003,0.2878076895665526
