date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,53.95,54.05,52.72,54.0,2104624,IR,0.0018552875695732052,46.63602355209572,-0.21423104875907004,54.58304203906225,54.0882,1.0724827843483649
2013-04-23,53.49,54.53,52.34,53.45,4577634,IR,-0.010185185185185186,43.69252268439807,-0.23372506800242449,54.47513327343727,54.08860000000001,1.1523054426091959
2013-04-24,53.59,54.375,53.56,54.18,2212306,IR,0.013657623947614494,48.35203755528159,-0.18790843330895346,54.44702534263372,54.1132,1.1360693395656818
2013-04-25,54.29,55.2,54.12,54.79,2816506,IR,0.011258767072720444,51.93156941842661,-0.11078796803317215,54.47968959571622,54.148,1.1320643867395621
2013-04-26,54.8,54.9,53.54,53.98,2385589,IR,-0.014783719656871752,47.24879100890309,-0.10845822486149936,54.43210011040991,54.1638,1.1483455019724504
2013-04-29,54.17,54.53,53.85,54.24,1433829,IR,0.0048165987402741806,48.84337377952878,-0.08459588783618877,54.41380486179945,54.188,1.1148922518315612
2013-04-30,54.14,54.22,53.15,53.8,1790877,IR,-0.008112094395280378,46.293054807108,-0.09296779480859099,54.355347255913784,54.2034,1.1131142338435926
2013-05-01,53.49,53.77,52.025,52.23,2976422,IR,-0.029182156133829018,38.55693762776078,-0.19300669994439998,54.15293323154104,54.1752,1.1603917885690502
2013-05-02,52.34,52.75,52.15,52.47,2755203,IR,0.004595060310166543,40.202028614628574,-0.2293066261101062,53.992653876156176,54.16700000000001,1.120363803671261
2013-05-03,53.05,54.765,52.92,54.11,2591100,IR,0.03125595578425777,50.04475576309203,-0.13388592744459868,54.003829697474636,54.2042,1.2042663891233139
2013-05-06,54.07,54.76,53.61,54.55,1516021,IR,0.008131583810755849,52.312664450179724,-0.037183447156920096,54.05584591676277,54.243,1.2003902184716486
2013-05-07,54.67,55.49,54.6,55.35,1640622,IR,0.014665444546287931,56.205664529806484,0.07831223278120097,54.17909868659489,54.3314,1.1817909171522456
2013-05-08,55.26,55.68,55.16,55.52,1223517,IR,0.0030713640469737236,57.00882856277036,0.1591490341609529,54.30680357358585,54.4158,1.1345201373556568
2013-05-09,55.19,56.04,55.18,55.87,2454833,IR,0.006304034582132356,58.68863656554585,0.22514916985535824,54.45567942372053,54.486,1.114911556115967
2013-05-10,55.9,56.46,55.78,56.39,1880212,IR,0.009307320565598687,61.11935055302572,0.2887259771069196,54.63990043098524,54.5608,1.0838464449648266
2013-05-13,56.09,56.23,55.57,56.03,1569866,IR,-0.006384110657918107,58.55084029644685,0.2906334786817342,54.7722908661295,54.642799999999994,1.0650002703244819
2013-05-14,56.13,57.57,56.12,57.23,2399574,IR,0.02141709798322311,63.98409793047075,0.35268100287531773,55.0063584026886,54.745599999999996,1.0989288224441618
2013-05-15,57.0,57.25,56.575,56.9,1855793,IR,-0.005766206535034013,61.59302151940131,0.35072563740700063,55.18670522148016,54.8188,1.0686481922695787
2013-05-16,56.64,57.33,56.5,56.85,1632793,IR,-0.0008787346221440506,61.21972535444666,0.32582657532635007,55.345114248005856,54.887,1.0516018928217516
2013-05-17,57.2,58.28,57.03,58.04,2200383,IR,0.020932277924362364,66.4338892944269,0.36624337714117466,55.601770033910064,54.9734,1.0786303290487693
2013-05-20,57.74,58.58,57.735,57.99,2036440,IR,-0.0008614748449344845,66.0321567548573,0.3655115356565606,55.82922050687101,55.047,1.0619424484024287
2013-05-21,58.01,58.59,57.88,58.14,1001951,IR,0.002586652871184647,66.68306285155231,0.3509573441118803,56.049294744311865,55.1132,1.0368037020879695
2013-05-22,58.13,58.92,56.84,57.16,1779440,IR,-0.016855865153078797,58.7606662769108,0.2555886632108274,56.15507619723454,55.1558,1.1113177233674
2013-05-23,56.62,57.71,56.411,57.17,1257563,IR,0.0001749475157453162,58.81443684876254,0.17716335877590073,56.25173560702173,55.1962,1.1247236002697287
2013-05-24,56.84,57.42,56.25,57.15,1167955,IR,-0.00034983382893127857,58.64972922350727,0.11115069746671291,56.337284596829186,55.2234,1.127957628821891
2013-05-28,57.6,58.55,57.25,57.71,1317779,IR,0.009798775153105899,61.869636891563545,0.09313944327369705,56.46801939713117,55.269800000000004,1.1473892267631847
2013-05-29,57.12,57.59,56.76,57.23,1097860,IR,-0.008317449315543346,57.72072036868649,0.03957606682452963,56.54058897835677,55.313599999999994,1.1332899962801002
2013-05-30,57.32,58.36,57.13,57.82,1429583,IR,0.010309278350515427,61.167750915110176,0.03473188803019933,56.6624376470847,55.367599999999996,1.140197853688664
2013-05-31,57.53,58.535,57.48,57.53,1543077,IR,-0.00501556554825322,58.637164436449424,0.004439193177345979,56.745062633076635,55.3888,1.1341122927109024
2013-06-03,57.7,58.55,57.18,58.52,2109974,IR,0.017208413001912115,64.09778275456512,0.041460346466588915,56.914104287069335,55.4472,1.1509614146601235
2013-06-04,58.35,58.89,56.8,57.06,2236027,IR,-0.024948735475051276,52.98787684344078,-0.03771596721406689,56.92799911687226,55.478199999999994,1.2180355993272578
2013-06-05,56.75,57.29,55.75,55.83,2427428,IR,-0.02155625657202953,45.78755704404001,-0.17080802388014538,56.82342777240823,55.493199999999995,1.241033056518168
2013-06-06,55.9,56.78,55.781,56.64,3294081,IR,0.014508328855454167,50.55276511904735,-0.20013917796796676,56.805958460750304,55.5184,1.2237449810525847
2013-06-07,57.21,58.07,57.07,58.04,3557768,IR,0.024717514124293682,57.50533002310565,-0.12478884161474557,56.92348622639313,55.592,1.2384774824059714
2013-06-10,58.3,58.41,57.61,57.68,1938145,IR,-0.006202618883528577,55.350162232517114,-0.0998108335195873,56.995535157212835,55.6454,1.2071576622341162
2013-06-11,57.04,57.31,56.6,56.65,1466570,IR,-0.017857142857142905,49.620210102405224,-0.15024495903954582,56.96262704700209,55.6904,1.1980749720745365
2013-06-12,57.16,57.22,55.795,55.9,1845328,IR,-0.013239187996469504,45.89456029462587,-0.2270907242134218,56.86142447109712,55.7234,1.214283902640641
2013-06-13,55.84,56.36,55.7,56.25,2256669,IR,0.0062611806797854275,47.86194688379381,-0.245745395556227,56.803193569087874,55.77,1.1746921953091665
2013-06-14,56.2,56.99,56.03,56.43,1868225,IR,0.0032000000000000917,48.891226515795175,-0.23723800732072375,56.76765132441284,55.8088,1.159357038501369
2013-06-17,57.06,57.12,56.24,56.6,1803402,IR,0.0030125819599504666,49.8972343610792,-0.2122494009383421,56.751684531611616,55.8606,1.1394029643226993
2013-06-18,56.68,57.93,56.5,57.61,2376036,IR,0.01784452296819783,55.501381996337024,-0.12415003342881775,56.833428861934316,55.91480000000001,1.1601598954425063
2013-06-19,57.69,57.84,56.57,56.57,1809537,IR,-0.018052421454608614,49.37691285376095,-0.1316556257126298,56.80834039889295,55.934000000000005,1.1680056171966133
2013-06-20,56.29,56.34,54.93,55.07,2253958,IR,-0.026515821106593562,42.15210183730466,-0.22774715462306097,56.64278417042696,55.9124,1.2017195016825697
2013-06-21,55.45,55.93,54.73,55.04,2312934,IR,-0.0005447612130016211,42.01967684840286,-0.2799943080411943,56.490138058957726,55.8796,1.201596680133815
2013-06-24,54.53,54.64,53.39,53.46,2637975,IR,-0.028706395348837233,35.664751808954435,-0.40030098944329046,56.20155348191413,55.825599999999994,1.233625488695685
2013-06-25,54.09,54.85,53.95,54.11,1933529,IR,0.012158623269734381,39.70475528841814,-0.41373363217620274,56.002357912208026,55.8326,1.244795096645993
2013-06-26,54.67,55.05,54.37,54.63,2309636,IR,0.009610053594529822,42.799381188123256,-0.36682885029587675,55.871657158664405,55.826,1.2230240183141363
2013-06-27,55.13,55.7,55.0,55.49,2110687,IR,0.01574226615412777,47.59027723083395,-0.2620304829210983,55.83530885783923,55.858000000000004,1.2120937312916982
2013-06-28,55.42,55.71,55.01,55.52,2745283,IR,0.0005406379527843619,47.75466557479145,-0.17881068182717308,55.80527944280692,55.897600000000004,1.1755156076280058
2013-07-01,55.89,56.7,55.65,56.23,2404041,IR,0.012788184438040195,51.62214114009832,-0.06967487040976739,55.84572901968245,55.9442,1.1758359213688625
2013-07-02,56.12,56.33,55.51,55.69,2275113,IR,-0.009603414547394662,48.67112525951404,-0.029629762019667494,55.83089768447459,55.978,1.1504190698425152
2013-07-03,55.39,56.206,55.32,55.97,636195,IR,0.005027832644999064,50.25893891664518,0.017409418020667478,55.84414552404844,56.028400000000005,1.1315319934251928
2013-07-05,56.74,57.93,56.62,57.75,1969415,IR,0.03180275147400402,58.95206135346787,0.1620532912686697,56.025655474139064,56.099799999999995,1.1907082796091077
2013-07-08,57.94,58.06,57.18,57.23,1751147,IR,-0.009004329004329015,55.879629268156116,0.2131414454423349,56.140354952792485,56.148599999999995,1.1685148310656004
2013-07-09,57.67,58.3727,57.34,58.03,992363,IR,0.013978682509173668,59.38653927177375,0.286666085685797,56.32032114776462,56.2296,1.166670914560915
2013-07-10,57.98,58.41,57.71,57.99,986007,IR,-0.0006892986386352051,59.133450210649826,0.31613898999286966,56.47933818131085,56.30459999999999,1.1333372778065638
2013-07-11,58.94,59.49,58.85,59.02,1874044,IR,0.017761683048801435,63.452648869042946,0.3840204568718755,56.72130597356696,56.409000000000006,1.159527472248952
2013-07-12,59.06,59.41,58.89,59.09,1282147,IR,0.0011860386309725524,63.73318584529407,0.4102769904453357,56.9468958808463,56.5462,1.1138469385168837
2013-07-15,59.44,59.575,58.91,59.33,1313206,IR,0.0040616009477068005,64.7327343641466,0.4189813099523374,57.173858177908556,56.68339999999999,1.0817864429085353
2013-07-16,59.22,59.33,57.99,58.17,2043019,IR,-0.019551660205629484,56.611360620971695,0.3259282744122922,57.26872882763155,56.7646,1.1002302684150682
2013-07-17,58.41,59.0,58.41,58.76,1352770,IR,0.01014268523293782,59.40130968376317,0.28491174919719875,57.4107546535714,56.848800000000004,1.0809281063854204
2013-07-18,58.97,60.16,58.88,59.92,1832579,IR,0.019741320626276426,64.26636813814102,0.31438755143535035,57.649730400850316,56.940200000000004,1.1037189559293188
2013-07-19,61.92,63.33,60.64,62.95,3690034,IR,0.05056742323097474,73.27506571105938,0.5051238871133403,58.15451798172171,57.0888,1.2684533162200817
2013-07-22,63.35,63.35,61.5,61.69,3159930,IR,-0.020015885623510754,65.84150030250703,0.5120074298300821,58.491230554891075,57.205200000000005,1.3099923650615044
2013-07-23,61.97,62.3,60.71,61.02,2628878,IR,-0.010860755389852428,62.2265241678634,0.43978021020686,58.73206574013955,57.297799999999995,1.3299929104142538
2013-07-24,61.44,61.76,60.49,60.55,2843986,IR,-0.007702392658144985,59.74830865840881,0.3335153522876433,58.905202336316734,57.388200000000005,1.3257077025275212
2013-07-25,60.33,61.33,60.275,61.16,1808080,IR,0.010074318744838884,61.870762751822916,0.27964986952160475,59.119944970953235,57.466800000000006,1.3063714380612697
2013-07-26,60.7,61.18,60.44,61.15,1601660,IR,-0.00016350555918898113,61.81322003165124,0.22124668738513753,59.31328354514817,57.5518,1.2659163353426077
2013-07-29,60.95,61.35,60.86,60.99,909717,IR,-0.002616516762060428,60.838260980233436,0.15298403898059787,59.47297082656262,57.6346,1.2104937399609932
2013-07-30,61.46,61.73,60.97,61.1,1032852,IR,0.0018035743564519535,61.290306455685254,0.09900219661732823,59.62792598593761,57.6958,1.1783156156780648
2013-07-31,61.27,61.78,61.0,61.05,1275970,IR,-0.0008183306055646877,60.94593519070753,0.046364631949973756,59.76336160632451,57.757,1.1498645002724888
2013-08-01,61.78,62.28,61.72,62.11,1884367,IR,0.017362817362817307,65.38616435065892,0.06806091508154566,59.986850977150745,57.836400000000005,1.15558846453874
2013-08-02,61.71,62.56,61.34,62.51,2036822,IR,0.006440186765416245,66.91482601402777,0.09293607620194266,60.22715088408877,57.943400000000004,1.1601892885002587
2013-08-05,62.24,62.55,61.8,62.21,1229141,IR,-0.004799232122860264,64.6101578850776,0.07361551462137617,60.4159936570327,58.044200000000004,1.1308900536073831
2013-08-06,62.0,62.0,60.67,60.88,1854456,IR,-0.021379199485613176,55.48614905724739,-0.03829323235184812,60.4601847373153,58.1188,1.1601121926354272
2013-08-07,60.78,61.55,60.68,61.31,1842951,IR,0.007063074901445532,57.572254918472915,-0.08996165241965226,60.54111952423766,58.190799999999996,1.1393898931614679
2013-08-08,61.66,61.76,61.36,61.58,1419857,IR,0.00440384929049098,58.87548750511643,-0.11116984408183095,60.640060521929314,58.2778,1.0901477579356484
2013-08-09,61.24,61.37,60.77,61.01,2005138,IR,-0.009256252029879786,55.03235091158746,-0.1655278452850686,60.67529285317414,58.34160000000001,1.0701372037973875
2013-08-12,60.75,61.68,60.54,61.37,1512546,IR,0.005900672020980213,56.94395422617232,-0.17808626985202447,60.74145543858613,58.4184,1.0751274035261456
2013-08-13,61.4,62.09,61.01,62.02,1467003,IR,0.010591494215414832,60.23122406273791,-0.14487417906885924,60.86322158729221,58.4884,1.0754754461314213
2013-08-14,61.9,62.2,61.66,61.97,1243521,IR,-0.0008061915511126116,59.85267159286872,-0.1290572157789216,60.96862905516914,58.5866,1.0372271999791773
2013-08-15,61.35,61.35,60.17,60.24,1301356,IR,-0.02791673390350169,48.495575625918086,-0.23189186046740273,60.89923581181969,58.674800000000005,1.091710971409236
2013-08-16,60.09,61.34,60.09,60.93,1557664,IR,0.01145418326693215,52.376975601995355,-0.24873699747671163,60.902165734503534,58.7606,1.1030173305942905
2013-08-19,60.71,61.01,60.18,60.24,1798921,IR,-0.011324470704086598,48.445278927293224,-0.2983039811858188,60.83910233121748,58.8046,1.0835160926946983
2013-08-20,60.33,60.44,59.89,60.16,1602449,IR,-0.0013280212483400833,47.995431677643325,-0.3261733312446674,60.77442591872058,58.8542,1.0454078003593625
2013-08-21,59.97,60.87,59.875,60.24,2030101,IR,0.0013297872340425343,48.510326389002664,-0.3280278262917302,60.723528212175765,58.925999999999995,1.0418072431908365
2013-08-22,60.53,61.63,60.39,61.32,1150277,IR,0.017928286852589626,54.98936446570479,-0.24891419292713945,60.7803350491114,59.0344,1.066678154391491
