date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,28.98,29.265,28.61,29.2,2123115,IVZ,0.010730356524748963,53.92226424785264,-0.07488880050142172,28.887643177680214,28.146,0.6373938127433266
2013-04-23,29.71,30.075,29.32,29.69,4388820,IVZ,0.016780821917808275,57.57450808786268,-0.03075256632710832,28.96405811313924,28.1936,0.6543656832616603
2013-04-24,29.77,29.86,29.53,29.68,2232132,IVZ,-0.0003368137420006745,57.47438561297007,-0.004904298597840917,29.03224305474503,28.2386,0.6311967058858273
2013-04-25,29.8,29.85,29.57,29.7,2921075,IVZ,0.0006738544474393926,57.63307320918042,0.010052124956924424,29.095838954293125,28.278399999999998,0.6061112268939827
2013-04-26,29.67,29.73,29.285,29.55,3786780,IVZ,-0.005050505050504972,55.946854115256116,0.006525797481026219,29.139092387217588,28.316800000000004,0.5946032821158411
2013-04-29,29.73,29.83,29.49,29.71,3789631,IVZ,0.005414551607445084,57.37929357159034,0.011368297813749872,29.193464540815913,28.355400000000003,0.576417333393281
2013-04-30,31.38,31.97,30.54,31.74,11840679,IVZ,0.06832716257152471,70.49006694980275,0.1405154861052325,29.435991727404872,28.442999999999998,0.6966732381509038
2013-05-01,31.75,32.22,31.4,31.44,6668825,IVZ,-0.009451795841209698,67.20012923987737,0.19178891570007245,29.626849658128215,28.518599999999996,0.7054822925686963
2013-05-02,31.73,31.85,31.51,31.8,4731230,IVZ,0.011450381679389388,69.06591978935953,0.23324727649044757,29.8338163573541,28.6114,0.6843764145280752
2013-05-03,32.23,32.77,32.12,32.46,4426857,IVZ,0.020754716981132182,72.18932547863349,0.28499410794544433,30.083929085225137,28.7346,0.7047780992046414
2013-05-06,32.48,32.741,32.44,32.58,3715181,IVZ,0.003696857670979492,72.72849129304136,0.305365801397841,30.321650124727505,28.854400000000002,0.67593680640431
2013-05-07,32.7,32.83,32.46,32.61,3676470,IVZ,0.0009208103130755596,72.87009797382885,0.2985646681801173,30.53958820808679,28.988000000000003,0.6540841773754306
2013-05-08,32.55,33.03,32.31,33.0,3096621,IVZ,0.011959521619135272,74.70864487851136,0.2973825299744626,30.773913140649952,29.1352,0.6587924504200426
2013-05-09,33.04,33.2,32.76,32.97,2719505,IVZ,-0.0009090909090909705,74.29157637540453,0.27230302487894786,30.983064270111864,29.2658,0.6431644182471828
2013-05-10,33.22,34.16,33.01,34.11,10048696,IVZ,0.034576888080072754,79.0725928311248,0.3076058552765488,31.28086767295835,29.4122,0.6822241026580983
2013-05-13,33.89,34.1694,33.72,34.04,3961100,IVZ,-0.0020521841102315586,78.111997641387,0.3009840618705908,31.543642180295652,29.556400000000004,0.6655938096110916
2013-05-14,34.04,34.5,34.0,34.48,3392520,IVZ,0.012925969447708408,79.77517484399056,0.3002928568190104,31.82329530598178,29.6968,0.6537656803531565
2013-05-15,34.03,34.63,33.86,34.6,4578546,IVZ,0.0034802784222738303,80.2166889951827,0.2822489831789945,32.087743372078755,29.8348,0.6620681317565028
2013-05-16,34.62,34.88,34.24,34.3,4118127,IVZ,-0.008670520231213952,75.76375715532902,0.2268279613879196,32.298434479499825,29.9652,0.6604918366310384
2013-05-17,34.51,34.65,34.31,34.59,4665878,IVZ,0.008454810495627019,77.08782160151065,0.18802036363847274,32.51667881478556,30.0982,0.63831384830025
2013-05-20,34.55,34.95,34.5,34.6,2651408,IVZ,0.00028910089621270174,77.13421078301,0.14336261431306574,32.715090356234555,30.228,0.6248628591359466
2013-05-21,34.61,34.8,34.38,34.44,2810086,IVZ,-0.0046242774566475076,74.53399497963281,0.08620338108288728,32.8793674651646,30.351800000000004,0.6102297977690929
2013-05-22,34.48,35.02,33.88,34.04,3215122,IVZ,-0.011614401858304202,68.33226489066413,0.00869212713338774,32.989903897053686,30.4702,0.6480705264998721
2013-05-23,33.56,33.65,33.145,33.54,5157889,IVZ,-0.014688601645123422,61.44937776965637,-0.08391368860325099,33.04229400209619,30.572000000000003,0.6657083460355953
2013-05-24,33.31,33.64,33.13,33.56,2477471,IVZ,0.0005963029218845062,61.6159262106098,-0.14774949189753483,33.09159933522989,30.6666,0.6545863213187669
2013-05-28,34.24,34.66,34.1,34.49,3978332,IVZ,0.027711561382598227,68.44310246986304,-0.13179560541560686,33.22478035092228,30.7738,0.6864015840817118
2013-05-29,34.13,34.46,33.92,34.17,3910975,IVZ,-0.009278051609162064,64.2110455103054,-0.14613910718486744,33.31480126988207,30.879,0.6780871852187325
2013-05-30,34.19,34.82,34.05,34.64,3097687,IVZ,0.013754755633596627,67.39948942169337,-0.12797147988564084,33.441010672750444,31.0048,0.6846523862745375
2013-05-31,34.46,34.54,33.74,33.74,4415973,IVZ,-0.025981524249422572,56.938655383337895,-0.1775174103166961,33.46948584677421,31.107599999999998,0.7000343586834991
2013-06-03,33.75,33.8,32.98,33.46,4006552,IVZ,-0.008298755186722073,54.12415667756372,-0.2269360577063766,33.46858243279571,31.211399999999998,0.7086033330632492
2013-06-04,33.52,34.145,33.18,33.3,5063568,IVZ,-0.004781829049611552,52.526373306667374,-0.2655089665569177,33.452526963005646,31.3096,0.7269173807015887
2013-06-05,33.22,33.29,32.34,32.58,4283491,IVZ,-0.021621621621621623,45.95234419825992,-0.3303946640835157,33.36942915700511,31.3948,0.7435661392229035
2013-06-06,32.57,33.14,32.37,33.14,4914422,IVZ,0.017188459177409632,51.08066265756882,-0.3259316463479326,33.34757876109986,31.482799999999997,0.7454542721355535
2013-06-07,33.38,34.49,33.3,34.44,5681253,IVZ,0.0392275196137597,60.46004611099052,-0.23026822078208542,33.45161887909035,31.5986,0.7886361098401569
2013-06-10,34.59,34.6,33.9,34.26,3747468,IVZ,-0.005226480836236891,58.77956389225009,-0.176382295874719,33.52860755727222,31.7046,0.7823049591372887
