date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,38.94,39.1,38.78,39.0,3285275,KMI,0.0033444816053511683,59.44138176911986,0.01141474292429584,38.22383848075216,37.6178,0.6178050017716129
2013-04-23,39.24,39.67,39.05,39.53,3080277,KMI,0.01358974358974363,63.498108964607084,0.06535052716903433,38.348234815918616,37.656400000000005,0.6215332159307836
2013-04-24,39.66,40.09,39.5,39.98,3676465,KMI,0.011383759170250363,66.55671092783467,0.12188135961057761,38.50364102392637,37.703,0.6192808433642992
2013-04-25,39.6,39.87,39.02,39.11,4393198,KMI,-0.021760880440220065,56.66999229996763,0.09255816982615789,38.56138949783814,37.7304,0.6436179259811345
2013-04-26,39.16,39.36,38.6,38.78,2820444,KMI,-0.008437739708514358,53.42802370807569,0.04521109191199668,38.58220954566308,37.75,0.6519309312681962
2013-04-29,39.07,39.08,38.8,38.9,2298953,KMI,0.003094378545642096,54.44851701241301,0.01766390565465653,38.61247530321898,37.7766,0.626793007606182
2013-04-30,39.0,39.11,38.578,39.1,3114193,KMI,0.005141388174807249,56.172242773329344,0.009036130414738386,38.65890622672193,37.8082,0.6200220784914544
2013-05-01,39.07,39.09,38.46,38.53,3204337,KMI,-0.014578005115089554,50.32707615989132,-0.03644123860319459,38.646629443224604,37.8304,0.621449072884922
2013-05-02,38.54,38.805,38.42,38.72,2812302,KMI,0.004931222424085169,52.115750371990345,-0.05404673881872002,38.65361711529845,37.8622,0.6045598533931418
2013-05-03,38.93,38.94,38.56,38.85,3933225,KMI,0.003357438016529102,53.35342286113539,-0.05696565860246816,38.672320247174795,37.9046,0.58851986386506
2013-05-06,38.96,39.23,38.77,39.07,2878330,KMI,0.005662805662805637,55.45190926086389,-0.04465287369706322,38.710194509348625,37.946,0.5793398735889838
2013-05-07,39.07,39.26,38.825,39.26,2628886,KMI,0.004863066291272089,57.24098874373882,-0.025251364893338013,38.76255693702971,38.009,0.5690298826183418
2013-05-08,39.1,39.45,39.01,39.42,2413365,KMI,0.004075394803871646,58.74358763487572,-0.00428081737861874,38.8251705620745,38.0732,0.5598134624313177
2013-05-09,39.45,39.6,39.27,39.46,2804247,KMI,0.0010147133434803557,59.13025897857358,0.008925499640516588,38.88563050854359,38.1212,0.5433982151147949
2013-05-10,39.41,39.54,39.31,39.45,2177664,KMI,-0.00025342118601112684,58.98142896870288,0.013361824232610453,38.9393799839204,38.168800000000005,0.5210126283208808
2013-05-13,39.45,39.6,39.18,39.49,1709698,KMI,0.0010139416983523386,59.421398377472,0.01522915689925497,38.99181998545179,38.2134,0.5137974405836752
2013-05-14,39.59,39.98,39.49,39.98,3072790,KMI,0.012408204608761686,64.45157353325371,0.04407164492150373,39.08593236778972,38.2622,0.5120976233991266
2013-05-15,39.94,40.415,39.91,40.2,2368968,KMI,0.005502751375688009,66.46176540917699,0.0709784494186424,39.19203404704784,38.317,0.5115906502991892
2013-05-16,40.24,40.27,39.85,39.92,2609384,KMI,-0.006965174129353269,61.68109053306302,0.06319089967700742,39.26136413780519,38.376000000000005,0.5050484609921043
2013-05-17,39.92,40.48,39.92,40.48,3219691,KMI,0.014028056112224352,66.82140825711691,0.0875286498299006,39.37742469610945,38.440400000000004,0.5089735709212394
2013-05-20,40.48,41.1,40.42,41.05,3705708,KMI,0.014081027667984136,71.07470882705798,0.13116477164695206,39.536717582194264,38.514,0.5211897444268652
