date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,20.82,21.11,20.28,21.03,1829948,LKQ,0.015451472718493564,46.49161846950637,-0.03680852749784588,21.223030817515404,21.5911,0.5998729502279314
2013-04-23,20.97,21.42,20.97,21.16,1171949,LKQ,0.006181645268663827,48.158281455074636,-0.01722947415360271,21.21702788251394,21.539699999999996,0.5891677394973651
2013-04-24,21.22,21.56,21.16,21.48,1982066,LKQ,0.01512287334593565,52.11232154365684,0.017636027116699426,21.242072846084042,21.5031,0.575655758104696
2013-04-25,21.72,23.53,21.54,22.825,5142584,LKQ,0.06261638733705777,64.40207880202838,0.1256279799501484,21.392827813123656,21.4956,0.6809660610972178
2013-04-26,22.94,23.0699,22.48,23.0,1723455,LKQ,0.00766703176341732,65.63774626086499,0.19884006106792576,21.545891830921402,21.4904,0.6744613424474165
2013-04-29,23.15,23.58,22.83,23.53,1989709,LKQ,0.02304347826086972,69.13238691270892,0.26861696805786384,21.73485451369079,21.4994,0.6798569608440296
2013-04-30,23.52,24.1,23.28,24.08,2485676,LKQ,0.02337441563960896,72.28263221091353,0.33324707456009794,21.958201702863096,21.516000000000005,0.6898671779265989
2013-05-01,24.07,24.26,23.79,23.83,2033564,LKQ,-0.010382059800664423,68.8433687900436,0.33944958070169323,22.136468207352323,21.5444,0.6741623795032706
2013-05-02,23.96,24.51,23.77,24.23,1905358,LKQ,0.01678556441460355,71.20420179929879,0.3494134604703306,22.335852187604484,21.577,0.6788650666816086
2013-05-03,24.53,24.91,24.52,24.78,1743201,LKQ,0.022699133305819297,74.10921057799882,0.3699888389336423,22.56862816973739,21.632800000000003,0.678946133347208
2013-05-06,24.84,24.99,24.561,24.85,1225596,LKQ,0.0028248587570620654,74.46232841794803,0.3646609458241773,22.78590167738145,21.6802,0.6610928381081216
2013-05-07,24.86,25.05,24.59,25.04,1354243,LKQ,0.007645875251508949,75.44140817636958,0.35020366448264917,23.000577708107027,21.733599999999996,0.6467290639575415
2013-05-08,25.05,25.05,24.65,24.88,1188380,LKQ,-0.006389776357827448,72.90654593205093,0.3076477667138905,23.179570307334927,21.7838,0.6291055593891458
2013-05-09,24.81,24.96,24.49,24.68,1073036,LKQ,-0.008038585209003135,69.75158939295065,0.24645715296674275,23.32246837330303,21.8188,0.6177408765756356
2013-05-10,24.72,24.98,24.615,24.65,1148810,LKQ,-0.001215559157212387,69.26738182544102,0.1870816504883337,23.44889995679798,21.887999999999998,0.5996879568202331
2013-05-13,24.6,24.7,24.35,24.56,1010452,LKQ,-0.0036511156186612714,67.74795567281282,0.12770092978865866,23.554719008531507,21.970600000000005,0.5818531027616449
2013-05-14,24.61,24.91,24.52,24.88,646679,LKQ,0.013029315960912058,70.24699883102957,0.09730395982506024,23.68093624581422,22.055,0.5681493097072418
2013-05-15,24.81,25.36,24.8,25.28,1221195,LKQ,0.016077170418006492,73.05729681294797,0.09155054040678412,23.83322803192715,22.151,0.5675672161567243
2013-05-16,25.34,25.44,25.01,25.25,1027041,LKQ,-0.0011867088607595555,72.50416265277997,0.07389456715643661,23.968158695553136,22.252599999999997,0.557740986431244
2013-05-17,25.34,25.72,25.16,25.68,1248912,LKQ,0.017029702970297045,75.38131949848747,0.07889156373806827,24.131191200738552,22.362000000000002,0.5579023445432979
2013-05-20,25.62,25.89,25.62,25.65,1266229,LKQ,-0.00116822429906549,74.79329323155467,0.06828911694346407,24.275839657811073,22.4466,0.5373378913616337
