date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,57.46,57.63,56.99,57.58,2733074,LLY,0.0027864855451060766,58.99495041431434,-0.040689608454878456,56.762067861218846,55.507600000000004,0.8116850356046997
2013-04-23,57.94,58.405,57.52,58.33,4015988,LLY,0.013025356026397983,63.56012034654582,0.018068736772105964,56.91139473157896,55.5998,0.8169218187757925
2013-04-24,57.91,58.33,56.02,56.05,6678466,LLY,-0.039087947882736174,46.58181671551671,-0.09668392399440373,56.82935713809525,55.642799999999994,0.9235702602918069
2013-04-25,56.38,56.5,55.02,56.43,7431363,LLY,0.006779661016949268,49.025774253637955,-0.14419904977876752,56.79132312494332,55.6954,0.9633152416995348
2013-04-26,56.45,56.75,56.28,56.46,3457577,LLY,0.0005316321105794941,49.22328534172705,-0.16908769336848573,56.75976854161539,55.7558,0.9280784387209965
2013-04-29,56.59,56.63,55.79,56.01,4808077,LLY,-0.007970244420828942,46.323799708494235,-0.20873688601924723,56.68836201384249,55.806,0.921787121669497
2013-04-30,55.9,55.9,55.16,55.38,4679136,LLY,-0.01124799143010169,42.54533770930911,-0.26657065456699475,56.56375610776226,55.841800000000006,0.9166594701216758
2013-05-01,55.1,55.13,54.15,54.24,5789838,LLY,-0.020585048754062862,36.71025205786946,-0.36470986138370215,56.34244600226109,55.843,0.9390409365415564
2013-05-02,54.32,54.83,54.15,54.7,4063952,LLY,0.008480825958702143,40.27004789032696,-0.3800276070170359,56.18602257347432,55.8512,0.9205380125028738
2013-05-03,55.19,55.19,54.58,54.99,3407609,LLY,0.005301645338208427,42.467063365364524,-0.35261432682242605,56.07211566171486,55.870599999999996,0.8983567258955256
2013-05-06,55.02,55.16,54.3,54.47,4618252,LLY,-0.009456264775413725,39.65074147009584,-0.35074374523742907,55.919533217742014,55.8746,0.8956169597601308
2013-05-07,54.52,54.59,53.85,54.17,6320165,LLY,-0.005507618872773956,38.081649474085594,-0.35014158929086425,55.75291100652849,55.882600000000004,0.8845014626344073
2013-05-08,54.23,54.78,54.16,54.52,5428971,LLY,0.006461140852870528,41.01439644301933,-0.3080864989808847,55.635490910668636,55.88440000000001,0.8656085010176643
2013-05-09,54.58,54.935,54.35,54.56,12769881,LLY,0.0007336757153337814,41.356260547138106,-0.2613353941482957,55.53306320489067,55.8796,0.8455650366592599
2013-05-10,53.97,54.82,53.88,54.82,15279341,LLY,0.004765395894428037,43.64267969981206,-0.1994561662918546,55.46515242347251,55.8828,0.8523103911835983
2013-05-13,54.72,56.31,54.55,56.28,18985515,LLY,0.026632615833637407,54.39517334085933,-0.05430293784930451,55.542756954570365,55.9128,0.917145363241913
2013-05-14,55.81,56.18,55.705,55.87,4774751,LLY,-0.007285003553660352,51.42779806573439,0.01622038482651883,55.57392295889699,55.935,0.8927064087246336
2013-05-15,55.92,57.1,55.92,56.72,5387463,LLY,0.01521388938607493,56.7013823596044,0.11664346615255072,55.68307315328775,55.958600000000004,0.9167988081014457
2013-05-16,56.56,56.56,55.82,55.94,3819805,LLY,-0.013751763046544463,51.207126652463884,0.1262541470048615,55.707542376784154,55.9758,0.9155988932370566
2013-05-17,55.97,56.23,55.3536,55.9,3763076,LLY,-0.0007150518412585294,50.93455679658161,0.12537887928308789,55.72587167423328,55.986799999999995,0.9127989722915524
2013-05-20,55.9,55.94,54.88,55.02,4195701,LLY,-0.015742397137745945,45.230472837410574,0.06408450368768207,55.65864580049678,55.983999999999995,0.923313331413584
