date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,35.79,35.96,35.25,35.79,7853405,MET,0.005337078651685312,40.316985143947214,-0.19859056454682533,36.826732760540224,37.1942,0.8308618895426825
2013-04-23,36.13,38.35,35.73,37.74,19240854,MET,0.05448449287510493,54.63655319862176,-0.04816243562166189,36.913710592869734,37.211,0.9586574688610626
2013-04-24,38.15,38.59,37.81,38.32,6380895,MET,0.015368309485956466,57.874033317595135,0.08851975119706096,37.04764291735833,37.2394,0.9508962210852726
2013-04-25,38.52,39.25,38.37,38.91,8551100,MET,0.015396659707724414,60.928724786017675,0.2098575639364634,37.2250102585623,37.275,0.949403633864896
2013-04-26,38.83,38.97,38.208,38.53,4382834,MET,-0.0097661269596504,58.01100148663886,0.25283564988668855,37.34929499584208,37.2956,0.9360176600174034
2013-04-29,38.78,39.435,38.5,39.15,9318515,MET,0.016091357383856586,61.269848596316876,0.3076877951103746,37.520790710523784,37.3448,0.9359449700161605
2013-04-30,39.07,39.26,38.72,38.99,5427408,MET,-0.004086845466155675,59.9761881311131,0.3166278700547417,37.660715404759614,37.3958,0.9076631864435776
2013-05-01,38.97,39.1,38.37,38.4,7398048,MET,-0.01513208515003861,55.3363707864665,0.2681592409065986,37.73112346144918,37.4238,0.8949729588404651
2013-05-02,38.9,40.11,38.49,39.97,18049424,MET,0.040885416666666785,63.441236851004795,0.32348371854833435,37.94434979845402,37.5054,0.9531891760661463
2013-05-03,40.41,41.21,40.32,40.48,9220559,MET,0.012759569677257998,65.62350745821757,0.37257949570667626,38.18584029383935,37.6092,0.9736756634899931
2013-05-06,40.57,41.0,40.4,40.75,6042670,MET,0.006669960474308345,66.75492446971737,0.3990321389543926,38.43004598014036,37.708600000000004,0.9469845446692794
2013-05-07,40.94,41.09,40.51,40.78,5509692,MET,0.0007361963190184451,66.88533829618356,0.3936800989905546,38.6538511248889,37.8314,0.9207713629071883
2013-05-08,40.67,41.29,40.6,41.25,5563966,MET,0.011525257479156448,68.9409708052981,0.39585655802842745,38.90110339870901,37.9592,0.9042876941281033
2013-05-09,41.2,41.2275,40.35,40.59,8274628,MET,-0.015999999999999903,63.02446763625558,0.3296214435268612,39.061950694070056,38.056999999999995,0.9039814302618101
2013-05-10,40.75,41.17,40.511,41.16,6917045,MET,0.014042867701404171,65.75763987377815,0.30172388678406614,39.261764913682434,38.1714,0.8864827566716807
2013-05-13,41.1,41.74,41.05,41.6,6412163,MET,0.010689990281827155,67.73998657776687,0.29033401847879536,39.4844539695222,38.297,0.8724482740522753
2013-05-14,41.42,42.78,41.42,42.76,8706206,MET,0.027884615384615286,72.293868898973,0.3351749131885926,39.79641073432961,38.4432,0.9072733973342556
