date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,105.71,106.1,105.14,105.8,2646729,MMM,0.0008513858669947361,50.32548809328177,-0.19730087422764153,105.91125082298247,104.9358,1.2612898527067844
2013-04-23,106.24,107.51,105.86,107.39,3209753,MMM,0.015028355387523673,58.2738017736789,-0.08087927487994612,106.05208407793651,105.03040000000001,1.2933405775134432
2013-04-24,107.61,108.15,107.24,107.87,3238113,MMM,0.004469689915262087,60.33706679093593,0.023400626374224243,106.22521892765684,105.1354,1.2659591076910552
2013-04-25,104.46,105.64,103.5,104.88,9026991,MMM,-0.02771855010660984,45.307903604898634,-0.10689680645921407,106.09710283930858,105.16380000000001,1.4876763142845515
2013-04-26,104.97,105.18,103.46,103.79,3359384,MMM,-0.010392829900839007,41.271954885523876,-0.2558951603466846,105.87737875937442,105.1824,1.5042708632642274
2013-04-29,103.91,104.2,102.89,103.83,2903008,MMM,0.0003853935831967803,41.47797479651857,-0.3361069523882538,105.68239030610067,105.2034,1.4903943730310687
2013-04-30,103.98,104.74,102.97,104.71,3769701,MMM,0.008475392468457965,45.9686995326099,-0.3146269320606544,105.58978170551966,105.233,1.5103662035288494
2013-05-01,104.78,105.12,104.42,104.55,3258868,MMM,-0.0015280297965809542,45.28823656817771,-0.2961877439471716,105.49075487642254,105.24040000000001,1.452482903276789
2013-05-02,105.04,106.375,104.91,106.04,3120040,MMM,0.014251554280248824,52.3605284991884,-0.17464688618481394,105.54306393581088,105.29820000000001,1.479091267328447
2013-05-03,106.96,108.6,106.85,107.83,3013051,MMM,0.016880422482082214,59.186099837322686,0.024688082827892976,105.76086737049555,105.4004,1.5562990339478429
2013-05-06,107.63,107.99,107.45,107.84,2174314,MMM,9.273856997138452e-05,59.221250832725204,0.14868171445879147,105.95888000187692,105.48640000000002,1.4837062458087107
2013-05-07,107.61,108.371,107.55,108.01,2235501,MMM,0.001576409495549047,59.854249385699966,0.22882485487151805,106.15422476360293,105.6116,1.4363700853938026
2013-05-08,108.03,108.29,107.77,108.2,2654353,MMM,0.0017590963799647419,60.59055564363681,0.2780369362087861,106.34906050040264,105.7294,1.370915079294246
2013-05-09,108.11,110.51,108.11,109.92,4486923,MMM,0.015896487985212593,66.56829487866312,0.40228957355125833,106.68914997655477,105.8564,1.444421145058943
2013-05-10,110.08,110.64,109.75,110.48,2993677,MMM,0.005094614264919972,68.25653880791023,0.49211725971197257,107.05018331212099,105.986,1.40481963469759
2013-05-13,109.99,110.72,109.71,110.5,2045328,MMM,0.00018102824040555632,68.318072774764,0.5200759644108055,107.37873728239518,106.1206,1.3766182322191913
2013-05-14,110.32,110.79,110.27,110.59,2482692,MMM,0.0008144796380091801,68.61292786996513,0.5110726267746128,107.68457182692897,106.2668,1.3154312156321069
2013-05-15,110.4,111.715,110.29,111.5,2912537,MMM,0.008228592096934495,71.50101326513618,0.5305398133474624,108.04794593865003,106.40780000000001,1.3232575573726704
2013-05-16,111.21,111.7,110.95,111.07,2685808,MMM,-0.003856502242152504,68.30278551705706,0.48010639377323716,108.33576061115954,106.536,1.2823105889889082
2013-05-17,111.16,111.78,110.94,111.39,4060681,MMM,0.002881065994418064,69.39973977052307,0.435273419933466,108.62664055295387,106.67300000000002,1.2507169754897005
2013-05-20,111.13,112.055,110.96,111.72,2457246,MMM,0.002962563964449272,70.53230250024028,0.3959470160204088,108.92124621457731,106.7932,1.2395943343832942
2013-05-21,112.11,112.34,111.52,112.01,2474001,MMM,0.0025957751521661354,71.52954392752123,0.35867842864030974,109.21541324176042,106.9172,1.2096233104987737
2013-05-22,111.59,112.29,110.57,110.79,3833236,MMM,-0.010891884653155937,62.02051833375868,0.22747114867368579,109.36537388540228,107.03039999999999,1.2460787883202908
2013-05-23,110.06,110.7,109.58,110.41,2550599,MMM,-0.0034299124469718834,59.37294731920604,0.09735140336065307,109.46486208679254,107.13679999999998,1.2435017320116992
2013-05-24,109.86,110.49,109.49,110.27,2228321,MMM,-0.0012680010868580949,58.38408500290617,-0.010171248462741422,109.5415418880504,107.2218,1.2261087511537208
2013-05-28,111.15,112.38,111.04,111.59,2721046,MMM,0.011970617575043141,64.40386527776745,-0.004696993277481187,109.73663313680751,107.32560000000001,1.2892438403570263
2013-05-29,111.04,111.36,110.48,111.13,2113583,MMM,-0.004122233175015699,61.0876465356811,-0.042270171593284944,109.86933474282584,107.44,1.276440708902953
2013-05-30,111.34,112.0,111.011,111.42,2599268,MMM,0.0026095563754162665,62.4020253106641,-0.05689540903148149,110.01701714827101,107.56480000000002,1.2559092296955996
2013-05-31,110.79,112.211,110.27,110.27,3207875,MMM,-0.010321306767187233,54.53527964702102,-0.1481384023409973,110.04111075319759,107.65700000000001,1.3048442847173427
2013-06-03,110.7,110.95,109.6901,110.61,2647752,MMM,0.0030833408905415194,56.28974782767793,-0.18719485574430905,110.09529068146449,107.7704,1.301633978666104
2013-06-04,110.65,111.2,109.53,110.02,2508594,MMM,-0.005334056595244552,52.50343520377912,-0.25041816553913354,110.08812014037264,107.8424,1.327945837332811
2013-06-05,109.8,109.89,108.395,108.59,2690309,MMM,-0.01299763679331023,44.66202327360725,-0.37851060631251365,109.94544203176572,107.9108,1.3491639918090388
2013-06-06,108.46,108.775,107.64,108.67,2681095,MMM,0.0007367160880376034,45.15551305101382,-0.44331956965001806,109.82397136207376,107.9628,1.3338665638226792
2013-06-07,109.38,111.12,108.97,111.11,3375913,MMM,0.022453298978558855,57.58069939786114,-0.31344618080226183,109.9464502799715,108.0792,1.413590380692488
2013-06-10,111.41,111.45,110.54,110.81,2224123,MMM,-0.0027000270002699445,55.90372365423447,-0.2425038344884023,110.0286931104504,108.1692,1.377619639214453
2013-06-11,109.9,111.08,109.51,110.22,1752156,MMM,-0.005324429203140579,52.655759927792076,-0.23017164618607877,110.04691281421704,108.2606,1.3913610935562772
2013-06-12,110.99,111.06,108.95,109.03,2400667,MMM,-0.010796588640900051,46.75535971973872,-0.29298763369670233,109.95006397476779,108.3108,1.4426924440165432
2013-06-13,108.95,111.44,108.58,111.2,2603119,MMM,0.019902779051637287,56.35885227846588,-0.18451699557114554,110.06910550098038,108.42120000000001,1.5439286980153615
2013-06-14,111.3,112.07,110.75,111.03,2016784,MMM,-0.0015287769784172456,55.51409787450871,-0.12328621073644519,110.16061926279177,108.52539999999999,1.5279337910142636
2013-06-17,111.85,112.87,111.6445,111.91,2617737,MMM,0.007925785823651221,58.94459528651495,-0.02758472845545712,110.3272269520497,108.648,1.5502242345132449
2013-06-18,112.07,113.23,111.9,112.97,1695374,MMM,0.009471897060137735,62.678018814821236,0.09625553999922665,110.57891962328307,108.7924,1.534493932048013
2013-06-19,112.96,113.25,111.53,111.57,1972177,MMM,-0.012392670620518742,55.49952921674324,0.07402990414239508,110.67330823058944,108.9048,1.547744365473155
2013-06-20,110.71,110.76,108.52,108.78,2975586,MMM,-0.025006722237160495,44.54937407172973,-0.1274571880451596,110.4929931610095,108.9266,1.6550483393679296
2013-06-21,109.5,110.06,108.74,109.59,4674703,MMM,0.007446221731935987,47.77123107808541,-0.20070551141812132,110.40699381234192,108.95339999999999,1.6311163151273635
2013-06-24,108.784,108.784,107.15,107.5,3602390,MMM,-0.019071083128022637,41.130580902854156,-0.3743502373597153,110.13013725878555,108.9498,1.6888937211896946
2013-06-25,108.2,108.75,107.54,108.24,2677161,MMM,0.006883720930232595,44.093868011498344,-0.42036153144344557,109.95012418652026,108.99940000000001,1.657544169676145
2013-06-26,109.07,109.98,108.73,109.68,2525705,MMM,0.01330376940133049,49.42850897403252,-0.33833222141027913,109.92439807351833,109.07,1.6634338718421353
2013-06-27,110.54,110.9,109.97,110.24,2232561,MMM,0.0051057622173595885,51.37182718123739,-0.23573806984367943,109.95445539984992,109.1652,1.6317600238534113
2013-06-28,109.86,110.47,109.14,109.35,3429861,MMM,-0.008073294629898364,48.20162812651616,-0.21763074675455035,109.89688821891183,109.2526,1.6102057364353104
2013-07-01,108.37,110.36,108.36,109.31,2668810,MMM,-0.00036579789666202345,48.05808491855642,-0.19868630803149398,109.84099410282498,109.3246,1.6380481838327883
2013-07-02,109.05,109.75,108.33,108.73,3008715,MMM,-0.005306010429054986,45.922583153217005,-0.2142189724041685,109.73518514065117,109.3832,1.622473313559018
2013-07-03,108.28,109.9,108.21,109.45,1364138,MMM,0.006621907477237121,48.95491410888155,-0.1670957577987451,109.70802465106534,109.42439999999999,1.6272966483048033
2013-07-05,110.37,111.56,109.87,111.54,2064442,MMM,0.019095477386934734,56.568122804899375,0.0046397155892486976,109.88249849382103,109.49779999999998,1.6617754591401745
2013-07-08,112.0,112.784,111.901,112.13,2572605,MMM,0.005289582212659072,58.45200721638549,0.1497400107702897,110.09654625631427,109.6428,1.6319343549158762
2013-07-09,113.09,113.52,112.795,113.35,2196198,MMM,0.010880228306429984,62.11168958011635,0.31040333545137366,110.40639899380814,109.834,1.6146533295647423
2013-07-10,113.38,113.88,112.91,113.43,2307474,MMM,0.0007057785619764001,62.345907634430766,0.39893941981198777,110.69436099439784,110.02600000000001,1.5686066631672606
2013-07-11,114.36,114.75,114.17,114.53,2387481,MMM,0.009697610861324035,65.50364309403194,0.5018110928945869,111.05965994731234,110.2224,1.5508490443695986
2013-07-12,114.57,115.24,114.27,115.14,2291871,MMM,0.005326115428271994,67.14890572703501,0.5758609479139541,111.44826376185402,110.4342,1.5093598269146271
2013-07-15,115.14,115.49,114.75,114.85,2064596,MMM,-0.0025186729199235813,65.54832908995193,0.5692156289600931,111.77223864167746,110.61039999999998,1.454405553563582
2013-07-16,114.99,115.44,114.06,114.34,2458369,MMM,-0.0044405746626032805,62.71706661632092,0.49700325328678785,112.01678734247008,110.7406,1.449090871166183
2013-07-17,114.97,115.27,114.31,114.64,2096714,MMM,0.0026237537169844227,63.71004701314396,0.4380397455094307,112.26661711937768,110.8766,1.4141558089400266
2013-07-18,114.61,115.75,114.57,115.48,2945741,MMM,0.007327285415212881,66.40785508553208,0.423934493241497,112.57265358419885,111.02600000000001,1.3974303940157393
2013-07-19,115.34,116.47,115.34,116.19,3093840,MMM,0.006148250779355768,68.5369233137825,0.42942241835021977,112.91716276665609,111.1858,1.3783282230146148
2013-07-22,116.0,116.82,115.66,116.28,2823478,MMM,0.0007745933384972759,68.80680939478441,0.4063575892315545,113.2374329793555,111.31300000000002,1.362733349942142
2013-07-23,116.44,117.3,116.01,116.75,2254488,MMM,0.004041967664258683,70.24235782086848,0.3899300844843143,113.57196317179783,111.4384,1.3575381106605597
2013-07-24,117.07,117.09,116.06,116.33,1808468,MMM,-0.003597430406852231,67.26334333915558,0.3208374326757579,113.83463334591232,111.555,1.3341425313276627
2013-07-25,115.3,116.9,114.84,116.55,3346643,MMM,0.0018911716668099654,68.02823206417028,0.2624692893960958,114.09323969392067,111.6742,1.385989493375687
2013-07-26,116.17,116.93,115.34,116.91,2332171,MMM,0.003088803088802994,69.29259443968857,0.2222190671454669,114.36150258021394,111.7824,1.4005616724202812
2013-07-29,116.41,116.8052,116.06,116.61,1460394,MMM,-0.002566076469078804,66.91767336273138,0.1528086496301,114.57564519162213,111.8932,1.361235838675975
2013-07-30,116.9,117.12,116.33,116.84,2285234,MMM,0.0019723865877712132,67.82807019211396,0.10223487543194976,114.79129803051526,112.00219999999999,1.3204332787705488
2013-07-31,117.13,118.596,117.01,117.43,2693963,MMM,0.0050496405340636485,70.1010690155475,0.08886005016453535,115.04260297999001,112.11640000000001,1.3515451874297955
2013-08-01,118.38,119.26,118.27,118.41,2996921,MMM,0.008345397257940812,73.45575053408223,0.12418829472489468,115.36330745808618,112.2444,1.3857205311848098
2013-08-02,117.98,118.35,117.47,118.26,1899268,MMM,-0.001266784899923934,72.1218834310769,0.11579370460267979,115.63918293826845,112.39380000000001,1.3538833503858945
2013-08-05,118.17,118.25,117.81,117.92,1351794,MMM,-0.002875021139861378,69.06069510910368,0.06804527363831259,115.85640361081431,112.54400000000001,1.2893202539297592
2013-08-06,117.82,117.95,117.14,117.5,1841126,MMM,-0.0035617367706920477,65.36961096807272,-0.007126832751810586,116.01293660026057,112.68860000000001,1.2550830929347767
