date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,28.5,28.5,28.16,28.33,5335158,MYL,-0.0003528581510233719,41.413134304207865,-0.01643053496800778,28.672615037165023,29.32024,0.4873220858831197
2013-04-23,28.49,28.75,28.39,28.62,4381592,MYL,0.010236498411577921,46.75326293030027,0.02093901540650167,28.667604081244544,29.315440000000002,0.48251336546289697
2013-04-24,28.7,28.81,28.55,28.69,5908094,MYL,0.002445842068483639,47.98568387831257,0.0509476947848132,28.669737025887922,29.312240000000003,0.4666195536441185
2013-04-25,28.82,29.31,28.73,29.28,9660497,MYL,0.020564656674799675,57.01614778905104,0.10783868334958108,28.727857309136695,29.32184,0.4775752998123956
2013-04-26,29.3,29.5,29.17,29.31,6767789,MYL,0.0010245901639343025,57.42094463244673,0.14261298497631897,28.783299470171297,29.330840000000002,0.46703420696865294
2013-04-29,29.3,29.51,28.99,29.01,4884699,MYL,-0.010235414534288556,52.133637993307325,0.14031717644841002,28.80488999682165,29.327840000000002,0.4708174778994637
2013-04-30,28.89,29.13,28.73,29.11,6278402,MYL,0.0034470872113063766,53.66520103265038,0.1401141454183125,28.833948092362448,29.32564,0.4657590866209305
2013-05-01,29.08,29.14,28.68,28.7,4853782,MYL,-0.014084507042253502,47.02204425153887,0.10836711297550886,28.821191131185074,29.31744,0.4653477232908641
2013-05-02,28.75,28.93,28.475,28.83,5378868,MYL,0.0045296167247386165,49.17057283496826,0.09272769134686423,28.82203007107221,29.319779999999994,0.4646086001986594
2013-05-03,29.03,29.17,28.802,28.9,4872587,MYL,0.0024280263614291364,50.33847210669343,0.08396364745043033,28.829455778589143,29.321579999999997,0.4577079858987553
2013-05-06,29.0,29.49,28.67,29.45,6633119,MYL,0.01903114186851207,58.42203364126185,0.11040949127712625,28.88855522824732,29.33098,0.4835859869059868
2013-05-07,29.57,29.8999,29.525,29.69,4555583,MYL,0.008149405772495788,61.37642722751058,0.13750275441907855,28.964883301747577,29.354380000000003,0.4811798449841306
2013-05-08,29.67,29.93,29.3,29.33,4414217,MYL,-0.012125294712024393,55.05679275529479,0.12497753893998206,28.99965632062876,29.374380000000002,0.4918098560566926
