date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-08-28,15.97,16.02,15.89,15.97,7235846,NWS,0.0018820577164366803,49.6685444792617,-0.04269279425246353,16.008841110308037,15.8,0.3451636549406393
2013-08-29,15.98,16.085,15.83,15.96,797468,NWS,-0.0006261740763932044,49.4132183139455,-0.03838567519649701,16.004189575992985,15.808600000000002,0.3387233938734508
2013-08-30,15.91,15.97,15.7601,15.84,1583342,NWS,-0.007518796992481258,46.33506933051376,-0.041818331602012794,15.988552473517464,15.8166,0.3295217228824901
2013-09-03,16.02,16.2,15.88,16.0,584372,NWS,0.010101010101010166,50.741166199998005,-0.03195792549579591,15.989642714134849,15.820599999999999,0.3316987426765979
2013-09-04,15.9,16.28,15.9,16.21,2037383,NWS,0.013125000000000053,55.86326199636339,-0.011018862350766864,16.010629122312483,15.8344,0.3351488324854124
2013-09-05,16.2,16.44,16.07,16.39,1912054,NWS,0.011104256631708775,59.72868702096,0.013877012408364836,16.046759682092247,15.848999999999998,0.3376382015935973
2013-09-06,16.43,16.49,16.23,16.34,1655924,NWS,-0.003050640634533308,58.20382437649851,0.025238165941308857,16.074687331416794,15.8664,0.33209261576548305
2013-09-09,16.33,16.5,16.3,16.49,772886,NWS,0.009179926560587415,61.388534991939835,0.04022645785738513,16.114240918900908,15.888800000000002,0.32265742892509136
2013-09-10,16.53,16.72,16.41,16.72,846283,NWS,0.013947847180109108,65.70374017853467,0.06171618768442404,16.171932259957963,15.915600000000001,0.3217533268590133
2013-09-11,16.71,17.2,16.68,17.2,1531585,NWS,0.028708133971291794,72.58884543925515,0.10196811797142609,16.2698434732953,15.962200000000001,0.33591380351194094
2013-09-12,17.19,17.46,17.11,17.3,601602,NWS,0.005813953488372103,73.770257230633,0.12738664110610096,16.367953618695747,16.0084,0.3369199604039453
2013-09-13,17.29,17.29,16.9799,17.11,411593,NWS,-0.01098265895953765,67.79179625916348,0.12337792859384097,16.438624702629486,16.051199999999998,0.3357185346608063
2013-09-16,17.37,17.38,17.0,17.17,772146,NWS,0.003506721215663422,68.65566835746196,0.11680815091070931,16.508279492855248,16.0824,0.33888149647074867
2013-09-17,17.16,17.29,17.12,17.22,548609,NWS,0.0029120559114732547,69.39241049188487,0.10807313975478139,16.576062398297605,16.1064,0.3268185324371236
2013-09-18,17.2,17.34,17.07,17.245,951796,NWS,0.0014518002322880807,69.77495166548947,0.09659714378247641,16.63977074131688,16.1367,0.32276006583447187
2013-09-19,17.39,17.39,16.91,17.13,884183,NWS,-0.006668599594085389,65.70675806209778,0.07485010493626998,16.686459242143844,16.1703,0.3339914897034382
2013-09-20,17.1,17.23,16.72,16.91,1416540,NWS,-0.012842965557501418,58.66051726833835,0.04093393788084182,16.707748838130144,16.2043,0.34656352615319275
2013-09-23,16.82,16.8499,16.61,16.79,703942,NWS,-0.007096392667060969,55.18430516161942,0.007456808197171649,16.715582282117747,16.2403,0.3432375599993933
2013-09-24,16.77,17.43,16.77,17.33,1404115,NWS,0.032162001191185174,65.18310034756777,0.01811244763432207,16.77409825524939,16.2909,0.3658634485708652
2013-09-25,17.23,17.3,16.99,17.09,1126142,NWS,-0.013848817080207687,58.89397080765293,0.0060520058259719844,16.804184135701828,16.3249,0.36401605938723197
2013-09-26,17.12,17.12,16.47,16.67,2539023,NWS,-0.024575775307197123,49.83263702073171,-0.0311151805675558,16.791404694206417,16.3379,0.38444348371671555
2013-09-27,16.47,16.59,16.37,16.56,823328,NWS,-0.006598680263947387,47.760043740260066,-0.062216029168046194,16.769366151901043,16.3571,0.37841180630837873
2013-09-30,16.52,16.52,16.29,16.43,611787,NWS,-0.007850241545893644,45.35900542720257,-0.08901880724986966,16.737045566005705,16.3633,0.3706681058577802
2013-10-01,16.45,16.45,16.16,16.29,521218,NWS,-0.008520998174071814,42.86006139358279,-0.11215787685131728,16.694469797814683,16.3711,0.3649060982965101
2013-10-02,16.17,16.57,16.02,16.49,1292266,NWS,0.012277470841006721,47.32470338461601,-0.10983398050453319,16.674996483737093,16.383899999999997,0.3781270912753309
2013-10-03,16.5,16.59,16.21,16.27,2186128,NWS,-0.013341419041843494,43.31541987902511,-0.11822529783229394,16.636425390047847,16.3909,0.37826087046995005
2013-10-04,16.24,16.395,16.2,16.27,1114044,NWS,0.0,43.315419879025114,-0.11858347137459563,16.601527733852816,16.4011,0.36517080829352505
2013-10-07,16.15,16.36,16.11,16.27,1107800,NWS,0.0,43.31541987902511,-0.11361757425285092,16.56995366396207,16.4047,0.35694432198684467
2013-10-08,16.21,16.35,16.17,16.23,667448,NWS,-0.0024585125998770607,42.497827274655066,-0.1078687224346636,16.537577124537112,16.4151,0.3443054418449272
2013-10-09,16.21,16.395,16.17,16.34,4387624,NWS,0.0067775723967959944,45.54202788147364,-0.0921119898822586,16.518760255533575,16.4191,0.3357836245702894
2013-10-10,16.39,16.67,16.39,16.645,1069198,NWS,0.018665850673194706,52.97569687836948,-0.05825411922595243,16.530783088339902,16.4302,0.3353705085295546
2013-10-11,16.6,17.06,16.6,16.92,2259399,NWS,0.016521477921297878,58.47904097301464,-0.016607448403936298,16.567851365640863,16.440800000000003,0.3442726150631576
2013-10-14,16.76,17.14,16.75,17.06,754937,NWS,0.008274231678486732,60.9825177452941,0.019160371284327793,16.614722664151255,16.452,0.34753885684436064
2013-10-15,17.04,17.18,16.94,17.16,1436890,NWS,0.0058616647127784915,62.71194602580747,0.0467720558480428,16.666653838993994,16.471,0.3398575099269062
2013-10-16,17.2,17.29,17.08,17.26,1241663,NWS,0.005827505827505908,64.41076331314312,0.06771757981902154,16.723162997185042,16.4884,0.33058197350355584
2013-10-17,17.19,17.275,17.1,17.26,861275,NWS,0.0,64.41076331314312,0.07685077605403329,16.774290330786467,16.5104,0.31946897539615876
2013-10-18,17.36,17.39,17.24,17.32,2034115,NWS,0.0034762456546928444,65.50437120627092,0.08175535823354738,16.826262680235374,16.5292,0.30736404858214755
2013-10-21,17.36,17.45,17.24,17.3,563922,NWS,-0.0011547344110853786,64.78969011140748,0.07846067063841838,16.87138052021296,16.5504,0.3004094736834228
2013-10-22,17.36,17.53,17.28,17.45,1578068,NWS,0.00867052023121384,67.6412330943607,0.08086972767240258,16.926487137335535,16.5772,0.2968087969917497
2013-10-23,17.45,17.64,17.29,17.49,1532032,NWS,0.002292263610315093,68.37671248447651,0.07952323310194517,16.980155029017865,16.605999999999998,0.3006081686351963
2013-10-24,17.58,17.8,17.5,17.72,931744,NWS,0.013150371640937797,72.27837543192892,0.0878375236045289,17.050616454825686,16.6368,0.30127901373268245
2013-10-25,17.73,17.74,17.5,17.56,1527021,NWS,-0.009029345372460473,66.16285012168007,0.07668206981063994,17.099129173413715,16.6616,0.29690194132320497
2013-10-28,17.55,17.73,17.42,17.68,1044978,NWS,0.006833712984054774,68.32734145352613,0.07160231672540013,17.15445020451717,16.6914,0.29783751694297594
2013-10-29,17.69,17.93,17.67,17.87,889461,NWS,0.01074660633484159,71.44223578059221,0.07490102449283714,17.222597804086963,16.731,0.29513483716133465
2013-10-30,17.95,17.9999,17.72,17.75,677474,NWS,-0.006715165081141672,66.96297964144478,0.06332407512373836,17.272826584650108,16.7684,0.29404663450695373
2013-10-31,17.81,18.135,17.73,17.935,1810323,NWS,0.010422535211267459,70.07771258439145,0.06235029395479069,17.335890719445338,16.8083,0.30197187489931426
2013-11-01,17.87,18.16,17.8,18.11,1295344,NWS,0.00975745748536383,72.69974277480168,0.0672931348439001,17.409615412831496,16.852899999999998,0.3061167409779347
2013-11-04,18.16,18.24,18.08,18.13,404667,NWS,0.001104362230811784,72.99103405573877,0.06564017536986683,17.478223468752304,16.897100000000002,0.2956798309080822
2013-11-05,18.13,18.26,17.88,18.1,696276,NWS,-0.001654715940430096,71.75427676247001,0.05659925644892677,17.537440281252085,16.9379,0.3017027001289337
2013-11-06,18.09,18.24,17.71,17.77,619780,NWS,-0.018232044198895125,59.75933627347224,0.024127347284874978,17.559588825894743,16.9745,0.318009650119724
2013-11-07,17.75,18.12,17.58,17.61,660607,NWS,-0.009003939223410251,54.96196547391058,-0.010534409750104334,17.564389890095242,17.0073,0.33386610368260106
2013-11-08,17.58,17.97,17.54,17.94,518799,NWS,0.01873935264054527,61.77743780050316,-0.013457029105194751,17.600162281514745,17.046899999999997,0.3407328105624153
2013-11-11,17.86,17.98,17.68,17.78,538711,NWS,-0.00891861761426982,57.25357075185224,-0.027572947295062433,17.617289683275246,17.085700000000003,0.3378233240936714
2013-11-12,17.39,17.65,17.0,17.49,1135552,NWS,-0.016310461192351133,50.09340331893307,-0.05619808055935166,17.60516685629665,17.1155,0.3694073723726949
2013-11-13,17.41,17.6,17.275,17.53,833831,NWS,0.002287021154945945,51.003592183368426,-0.07122881610245052,17.59800810807792,17.1419,0.3662354172032169
2013-11-14,17.5,17.67,17.47,17.51,573869,NWS,-0.0011409013120364797,50.50758851947814,-0.08061762547592896,17.58962638349907,17.1643,0.3543614588315588
2013-11-15,17.6,18.08,17.6,18.02,842115,NWS,0.029126213592232997,60.93917562073195,-0.051970902227843396,17.63061434697535,17.1979,0.3697642117721615
