date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,51.41,52.24,51.03,52.13,1470743,OKE,0.0151898734177216,73.91979732908361,0.3215560687195864,48.883499016634595,47.0958,0.9182767425418936
2013-04-23,52.25,52.4,51.5,51.83,1155380,OKE,-0.005754843660080611,71.14910282242539,0.3268560354892931,49.16411815790749,47.175999999999995,0.9169712609317583
2013-04-24,51.93,52.09,51.46,51.49,1554513,OKE,-0.006559907389542707,68.03657895773554,0.28293096972378207,49.38563071429725,47.24980000000001,0.8964733137223472
2013-04-25,51.7,52.46,51.46,51.46,1379830,OKE,-0.0005826374053214955,67.75492803958538,0.22959385061512538,49.58318969388799,47.3156,0.9038680770278937
2013-04-26,51.18,51.77,50.505,50.82,1588873,OKE,-0.012436844150796711,61.8706054719089,0.1337013929754569,49.700981151612936,47.373000000000005,0.9296632143830442
2013-04-29,51.0,51.31,51.0,51.19,1159923,OKE,0.007280598189689069,63.826530406925585,0.08031402259894938,49.84279247050694,47.4446,0.8982586990699698
2013-04-30,51.19,51.36,50.71,51.36,1172623,OKE,0.0033209611252198457,64.72195428948913,0.043420086965296534,49.987288425696754,47.5168,0.8805259348506862
2013-05-01,48.5,49.55,47.71,47.87,4499567,OKE,-0.06795171339563866,41.82984019736611,-0.21487365496603994,49.785641908963726,47.51519999999999,1.07834551093278
2013-05-02,47.83,47.89,46.52,47.11,3426016,OKE,-0.015876331731773496,38.625890881138176,-0.42368435874916943,49.5308188700148,47.510200000000005,1.0991779744375811
2013-05-03,47.42,47.545,46.87,47.1,1897218,OKE,-0.0002122691572914448,38.58401365323072,-0.5417049405117373,49.299312310965774,47.515,1.0688795476920399
2013-05-06,47.09,47.585,46.86,47.19,1766598,OKE,0.0019108280254775956,39.22267144637764,-0.5890167772561784,49.09842542420713,47.510600000000004,1.0443167228568941
2013-05-07,47.4,47.92,47.19,47.87,1582246,OKE,0.01440983259165085,43.96404979571525,-0.5505346677844115,48.98143252666359,47.544,1.0218655283671163
2013-05-08,47.73,48.16,47.505,48.06,1409924,OKE,0.003969082932943513,45.24928372515311,-0.490311746097501,48.89367704793373,47.6184,0.9956608477694646
2013-05-09,48.06,48.13,47.55,47.96,1257385,OKE,-0.0020807324178111486,44.66858784248697,-0.4370086924300585,48.804755424320994,47.6748,0.9659707872145032
2013-05-10,47.97,48.01,47.52,47.92,1138679,OKE,-0.0008340283569641116,44.423009710414284,-0.3860120210925713,48.72049300295709,47.7334,0.9319728738420384
2013-05-13,47.74,47.98,47.41,47.77,974547,OKE,-0.0031302170283805664,43.45812721676759,-0.34527441883864407,48.629969859818324,47.7962,0.9061176685676072
2013-05-14,47.75,48.65,47.75,48.6,1030778,OKE,0.01737492149884856,49.93773157532155,-0.2497742739772679,48.627115587454675,47.864,0.9056806922413495
2013-05-15,48.62,49.71,48.38,49.04,1343638,OKE,0.009053497942386857,53.011885343965695,-0.1492759065307851,48.66643791245899,47.938199999999995,0.9359892142241101
2013-05-16,48.86,49.02,48.41,48.5,1476246,OKE,-0.011011419249592147,49.032424824347466,-0.11311412104176041,48.65058668270099,48.001,0.9141328417795309
2013-05-17,48.44,49.39,48.14,49.25,2537012,OKE,0.015463917525773141,54.17739554129658,-0.036590322979520334,48.707673665300895,48.0802,0.9381233530809929
2013-05-20,49.22,49.42,48.98,49.41,1009753,OKE,0.0032487309644668727,55.216011771019716,0.023651073772578378,48.77456188765319,48.1636,0.9025431135752081
2013-05-21,49.41,49.73,49.08,49.34,729328,OKE,-0.0014167172637116199,54.63258038442758,0.05579705500478129,48.82841313644813,48.2474,0.8845043197484074
2013-05-22,49.22,49.83,48.08,48.19,874089,OKE,-0.02330766112687488,46.027972517533755,-0.0004020210651731154,48.76761188535783,48.307199999999995,0.9463254397663782
2013-05-23,47.98,47.98,47.28,47.56,1638564,OKE,-0.013073251711973377,42.11469686075847,-0.0758419176192683,48.652601229609466,48.355,0.9437307654973509
2013-05-24,47.38,47.41,46.94,47.15,854852,OKE,-0.008620689655172487,39.74635755915618,-0.14517415854892032,48.509496350599036,48.3934,0.9206071393903976
2013-05-28,47.48,47.8,46.89,47.14,895062,OKE,-0.0002120890774124362,39.68773464817668,-0.1811857818223769,48.37906812673246,48.43679999999999,0.9198494865767975
2013-05-29,46.8,46.844,45.2158,45.85,3190866,OKE,-0.027365294866355527,32.93858088341754,-0.2756985493179273,48.138204495615085,48.4592,0.991588808964169
2013-05-30,45.82,46.3,45.59,45.59,1244943,OKE,-0.005670665212649917,31.76604932802347,-0.33556361871513113,47.895518353175554,48.4736,0.971475322609585
2013-05-31,45.44,46.06,45.13,45.14,1384470,OKE,-0.009870585654748965,29.789504008212944,-0.3819344950823875,47.6330880338255,48.4564,0.9685127995660432
2013-06-03,45.18,45.58,44.67,45.24,1473066,OKE,0.0022153300841825097,30.819649341134834,-0.38144641364959053,47.40517488774688,48.440599999999996,0.9643333138827541
2013-06-04,45.12,45.25,44.06,44.14,1529946,OKE,-0.02431476569407609,26.25608841544262,-0.42732543435764037,47.09420585081861,48.398999999999994,0.9804523628911286
