date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,35.6,35.71,35.095,35.56,1706411,PAYX,0.004519774011299438,56.99512788945479,-0.06337179184673081,35.26652750543677,34.3652,0.5150645221588774
2013-04-23,35.87,36.07,35.54,36.05,2486733,PAYX,0.013779527559054872,62.42417651061854,-0.0338209388932032,35.34114393349041,34.4198,0.516131342004672
2013-04-24,36.14,36.2499,35.9799,36.04,1665061,PAYX,-0.0002773925104021524,62.25145589120288,-0.017855791658339837,35.40770165411037,34.474199999999996,0.4985505318614809
2013-04-25,36.17,36.33,36.0609,36.28,1847354,PAYX,0.006659267480577213,64.77081397172732,0.004752291947177301,35.49077768705224,34.531,0.4836540652999465
2013-04-26,36.23,36.31,35.85,35.87,2156813,PAYX,-0.011300992282249234,57.68761306154427,-0.011153426642056374,35.52689409780916,34.5778,0.4819644892070932
2013-04-29,35.99,36.25,35.825,36.13,1418935,PAYX,0.007248396989127492,60.62804644235881,-0.007581790585956094,35.58433275516067,34.626,0.4778955971208721
2013-04-30,36.05,36.42,36.02,36.41,2111113,PAYX,0.007749792416274381,63.56459249889293,0.009304276669595657,35.662967730859656,34.6748,0.4723316258979526
2013-05-01,36.48,36.63,36.21,36.3,2142735,PAYX,-0.0030211480362537513,61.62016373185829,0.00874028069164845,35.72363747077778,34.7222,0.4685936526195275
2013-05-02,36.51,36.93,36.37,36.9,2302521,PAYX,0.016528925619834656,67.46612362119237,0.04255910918684075,35.83567199737037,34.786,0.4801226774324186
2013-05-03,37.01,37.47,36.64,37.37,2700383,PAYX,0.012737127371273749,71.17054541576164,0.0877622899681576,35.98179847381129,34.8732,0.5051139147586743
2013-05-06,37.23,37.32,36.96,37.11,1896987,PAYX,-0.006957452502006856,66.64947252836211,0.09094441418137361,36.089246238210215,34.953,0.498320063704483
2013-05-07,37.09,37.26,37.0,37.08,1339762,PAYX,-0.0008084074373484462,66.12749014720794,0.08209252397335942,36.18360373933305,35.0344,0.4812972020113055
2013-05-08,36.92,37.23,36.92,37.18,1307835,PAYX,0.0026968716289104133,67.05374109028486,0.07427116820403029,36.27849862130134,35.1182,0.4690616875819262
2013-05-09,37.08,37.59,37.08,37.42,2046912,PAYX,0.0064550833781602535,69.2285690281013,0.07627093376833793,36.38721303832026,35.203199999999995,0.4719858527546461
2013-05-10,37.52,37.76,37.36,37.74,1509872,PAYX,0.0085515766969535,71.89273235286487,0.08925313312181204,36.516049891813566,35.295899999999996,0.4668440061293141
2013-05-13,37.62,37.77,37.47,37.53,1279137,PAYX,-0.005564387917329161,67.74739614083967,0.07441157309927204,36.6126165687837,35.3795,0.4549265771200777
2013-05-14,37.64,38.21,37.635,38.2,2507480,PAYX,0.01785238475885964,73.08051957182836,0.09889858396906803,36.76379594318525,35.4732,0.47100325018292927
2013-05-15,38.14,38.66,38.06,38.65,3228937,PAYX,0.011780104712041828,75.95621024565799,0.1324870356626101,36.94343442478666,35.5674,0.480217303741291
2013-05-16,38.54,38.58,37.905,37.94,2797902,PAYX,-0.018369987063389437,64.28727951502023,0.09568887721806907,37.03834543194983,35.6507,0.49913035347405577
2013-05-17,38.23,38.54,38.18,38.52,2095045,PAYX,0.015287295730100237,68.53925804267686,0.09880946744369457,37.179455390811746,35.739900000000006,0.506335328225909
2013-05-20,38.33,38.52,38.06,38.18,1748074,PAYX,-0.008826583592938864,63.747787206204585,0.06784931200928734,37.274745353591584,35.8237,0.5030256619240584
2013-05-21,38.17,38.345,38.06,38.195,1499512,PAYX,0.00039287585123104485,63.86779816441302,0.03965161630473568,37.362388653249525,35.9086,0.487452400358054
2013-05-22,38.26,38.55,37.77,37.98,1887997,PAYX,-0.005629009032596,60.762836066955686,-0.0001048900878874992,37.421208781511474,35.9904,0.5083486574753354
2013-05-23,37.69,38.2,37.69,37.95,1901341,PAYX,-0.0007898894154816372,60.32216074880845,-0.033215626456806535,37.47156984993895,36.067,0.5084666105128118
2013-05-24,37.76,37.89,37.59,37.86,1715144,PAYX,-0.002371541501976382,58.94112459924642,-0.06417855810900475,37.50856319756382,36.1392,0.49786185261903954
2013-05-28,38.24,38.66,38.16,38.26,1660178,PAYX,0.010565240359218242,62.99601246166938,-0.06075522814706347,37.580128607319644,36.2246,0.5194431488605366
2013-05-29,37.96,38.06,37.56,37.83,2033612,PAYX,-0.01123889179299531,56.53257282881041,-0.0887888997055406,37.60392588281301,36.305499999999995,0.5323400667990693
2013-05-30,37.83,38.05,37.57,37.76,1888519,PAYX,-0.0018503832936822562,55.53367443586108,-0.11189291217016206,37.61879008444987,36.3825,0.5286014905991355
