date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,35.9,35.93,35.63,35.8,1611779,PEG,-0.002785515320334331,77.36184899850747,0.05950353946674003,34.69010274194561,33.3192,0.40806986035241005
2013-04-23,35.89,35.89,35.4,35.81,3336671,PEG,0.0002793296089387276,77.44948222471292,0.055311715248894444,34.796759623665075,33.4068,0.41392201318438093
2013-04-24,35.87,36.17,35.7,35.89,2139104,PEG,0.002234012845573785,78.17728109484533,0.04936334953322041,34.90087775474459,33.4938,0.41792758367121075
2013-04-25,36.05,36.34,35.88,36.1,2022201,PEG,0.005851212036779074,80.0018438495753,0.05080962803412825,35.01507987334035,33.5856,0.42093275626612436
2013-04-26,36.08,36.36,36.01,36.12,1953394,PEG,0.0005540166204984764,80.17187441221174,0.04457374841765993,35.120310361593646,33.678000000000004,0.4158661308185442
2013-04-29,36.28,36.6,36.18,36.43,1591233,PEG,0.008582502768549327,82.63620053049712,0.05225526595329333,35.245042708108535,33.7842,0.42044712147436275
2013-04-30,36.46,36.89,36.04,36.61,3151386,PEG,0.004940982706560515,83.88833892100509,0.05984186393919333,35.37503864066963,33.8946,0.4511294699404798
2013-05-01,36.67,37.0,36.57,36.59,2045108,PEG,-0.0005462988254574253,83.17067687410582,0.05407134171133143,35.49074924632014,33.998200000000004,0.44962022208758834
2013-05-02,36.67,36.7,36.3,36.47,2644543,PEG,-0.0032795845859525663,78.81397778041652,0.03372632970738021,35.584011222861086,34.1018,0.44607592050990386
2013-05-03,36.59,36.79,36.19,36.29,3369150,PEG,-0.004935563476830218,72.6651876343258,0.0014069000577555668,35.65124824925527,34.1928,0.4570704976163394
2013-05-06,36.23,36.285,35.43,35.43,2643197,PEG,-0.023697988426563787,51.85118040102285,-0.08012284268743042,35.63017698742143,34.2582,0.4858511763580294
2013-05-07,35.53,35.875,35.38,35.81,3280511,PEG,0.010725373976855801,57.62670417190199,-0.10890621318293381,35.64730298861939,34.335,0.4865046637610271
2013-05-08,35.73,35.94,35.09,35.31,3215680,PEG,-0.013962580284836656,49.2547813231499,-0.1590316324459765,35.61517889446516,34.397999999999996,0.5124686163495247
2013-05-09,35.32,35.41,34.72,34.82,2726989,PEG,-0.013877088643443836,42.706776548766726,-0.21890553520891798,35.53944757118276,34.441,0.5251494294674156
2013-05-10,34.82,34.85,34.52,34.81,1563807,PEG,-0.0002871912693853673,42.58235977931465,-0.2506195010230553,35.46997637392726,34.4854,0.5112101845054572
2013-05-13,34.64,34.9,34.34,34.57,2059867,PEG,-0.0068945705257110745,39.60055424057306,-0.2771277155536175,35.38426433831514,34.519800000000004,0.5146951713264956
2013-05-14,34.53,34.85,34.5,34.75,2011247,PEG,0.005206826728377134,42.8337728480977,-0.2715484126990128,35.32385821085656,34.5506,0.5029312305174602
2013-05-15,34.75,35.17,34.49,34.89,2453124,PEG,0.004028776978417303,45.28697348624225,-0.24808354465247434,35.28253838125117,34.5794,0.5155789997662131
2013-05-16,34.84,34.93,34.57,34.65,1884423,PEG,-0.006878761822871948,41.96250065021829,-0.23832369767177455,35.22229663065582,34.6134,0.5044662140686265
