date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,81.31,81.59,81.12,81.4,7530605,PG,-0.00036841458921776926,67.42829173732235,0.2126053182763047,79.17738785876057,77.6004,0.9897581044738126
2013-04-23,81.46,82.54,80.51,82.54,12683540,PG,0.014004914004914104,71.72421044988774,0.28866590137532866,79.4976366341167,77.7362,1.0640610970113975
2013-04-24,79.49,79.61,76.93,77.12,25706666,PG,-0.06566513205718438,42.81284013151079,-0.03213652778085496,79.27119504991512,77.76240000000001,1.3887710186534403
2013-04-25,77.67,77.67,76.35,76.58,14703010,PG,-0.007002074688796767,41.0379647282874,-0.27336456598957715,79.01489075944701,77.7744,1.383858803035338
2013-04-26,76.72,77.22,76.58,77.1,8769151,PG,0.00679028466962639,43.46837487294329,-0.3838015684026539,78.83252021092825,77.7852,1.330726031389957
2013-04-29,77.56,77.98,77.23,77.68,6622787,PG,0.007522697795071531,46.13535768408415,-0.40176817202893256,78.72275638131603,77.8032,1.2985313148621036
2013-04-30,77.86,77.89,76.6,76.77,9655684,PG,-0.011714727085479049,42.72929558533442,-0.4550068902493951,78.53677958309545,77.8078,1.2979219352290967
2013-05-01,76.83,77.77,76.72,76.99,8388710,PG,0.002865702748469534,43.80935746909491,-0.4544116121258768,78.38946724184828,77.8,1.2802132255698753
2013-05-02,77.39,78.28,77.14,77.76,7288002,PG,0.010001298869983355,47.53850451986508,-0.3839700224128899,78.32951798071987,77.8136,1.2809122808863134
2013-05-03,78.1,78.46,77.66,78.19,7884967,PG,0.005529835390946314,49.55200543502982,-0.29426564262328797,78.31623055398465,77.8366,1.246561403680148
2013-05-06,78.03,78.4,77.52,77.75,7204194,PG,-0.005627318071364629,47.54128813809221,-0.2520408476119548,78.26230383455754,77.8518,1.2203784462744238
2013-05-07,77.98,78.2,77.27,77.94,9574192,PG,0.0024437299035369175,48.51285830038395,-0.20100924975542103,78.23160823126635,77.8922,1.199637128683394
2013-05-08,77.9,78.51,77.23,78.44,12067285,PG,0.006415191172696844,51.08052933806984,-0.1268912626533551,78.25145506638384,77.9394,1.2053773337774376
2013-05-09,78.57,78.89,78.02,78.21,7189550,PG,-0.002932177460479357,49.84901438156238,-0.08848624511976724,78.24750696482347,77.96860000000001,1.1814218099361926
2013-05-10,78.41,78.79,78.23,78.76,6163414,PG,0.007032348804500765,52.78073804885146,-0.02449922368757565,78.29631582531648,78.02019999999999,1.1384631092264654
2013-05-13,78.51,78.97,78.42,78.59,5420181,PG,-0.0021584560690706134,51.773295508429996,0.006274917523224111,78.32428574671492,78.0622,1.0964300299960035
