date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,158.84,159.22,157.4,157.69,367276,PSA,-0.006989924433249417,61.06217701137497,0.23030520579249814,155.43677551279964,152.97379999999998,2.0434867415908164
2013-04-23,158.1,159.32,157.61,158.65,323936,PSA,0.006087893969180191,63.78870719402445,0.23393022427497456,155.74279689253302,152.99880000000002,2.0196662600486137
2013-04-24,158.95,159.7,158.49,159.42,327008,PSA,0.0048534509927511404,65.85400458486873,0.2607532699889501,156.09300671229178,153.05020000000002,1.9618329557594254
2013-04-25,159.17,159.6,157.4738,159.1,380483,PSA,-0.0020072763768661517,64.21485713120565,0.23055471836330255,156.37938702540686,153.0896,1.9735734589194653
2013-04-26,159.33,160.61,159.05,159.97,375720,PSA,0.005468258956631056,66.6456203658581,0.24161673129750172,156.72135016584429,153.1674,1.9440324975680752
2013-04-29,160.44,162.04,159.82,161.99,387729,PSA,0.012627367631431019,71.48824354502209,0.3507997977363775,157.2231263405258,153.32319999999999,1.9637444620274984
2013-04-30,161.66,165.33,161.6,165.0,870876,PSA,0.018581393913204458,76.8758251660153,0.5781396263130707,157.96378097476145,153.59799999999998,2.0899055718826784
2013-05-01,163.81,165.59,163.81,164.9,555135,PSA,-0.00060606060606061,76.35958518244354,0.6678296632186713,158.6243732628794,153.8416,2.0677694596053446
2013-05-02,165.35,166.7,164.68,165.88,399278,PSA,0.005942995755003011,77.92413816299303,0.7339427355166457,159.31538533308137,154.10999999999999,2.064357355347819
2013-05-03,166.7,167.32,166.0,166.48,509525,PSA,0.0036170725825896977,78.84716356007559,0.7558889504574351,159.99772958707362,154.3994,2.0197604013944033
2013-05-06,166.43,167.68,166.0,166.76,471044,PSA,0.0016818837097549721,79.2824997780564,0.7268573017689981,160.64175534068565,154.6864,1.9954918012948035
2013-05-07,167.02,167.22,166.51,166.89,504565,PSA,0.0007795634444711652,79.49351674707539,0.6561662983683814,161.23682626062035,155.0246,1.9036709583451754
2013-05-08,166.91,167.0,165.13,165.53,672763,PSA,-0.008149080232488393,71.31049476854233,0.4664859029084867,161.6456999500851,155.3124,1.901265889891949
2013-05-09,165.23,166.1,164.34,164.62,494195,PSA,-0.005497492901588852,66.38616893812046,0.23982335446028058,161.92896662150557,155.568,1.8911754691853806
2013-05-10,167.0,167.11,163.8,164.27,502189,PSA,-0.0021261086137771557,64.54015625879117,0.037054420115882,162.15192218136218,155.82920000000001,1.992520078529282
2013-05-13,164.07,165.49,163.51,165.35,445054,PSA,0.006574541912704568,67.53966710553996,-0.048934172465895376,162.45650102123247,156.0972,1.9916257872057632
2013-05-14,165.25,166.08,164.42,164.64,460391,PSA,-0.004293921983671067,63.72345744026549,-0.17134153248564754,162.66445330492462,156.33499999999998,1.967938230976782
2013-05-15,164.42,167.27,164.07,167.17,773849,PSA,0.0153668610301263,70.18767560757951,-0.10299892152537993,163.09355299016988,156.59879999999998,2.05594264304987
2013-05-16,166.59,167.91,164.47,165.2,804639,PSA,-0.011784411078542778,61.06334348129021,-0.2056252885959653,163.29416699110607,156.851,2.1548038828320224
2013-05-17,165.25,167.65,165.25,167.45,779282,PSA,0.013619854721549585,66.4309455209528,-0.14025265219597527,163.6899606110007,157.1908,2.1758893197725935
2013-05-20,167.2,167.65,165.96,166.93,486817,PSA,-0.0031054045983874845,64.22727501726769,-0.149463701335816,163.9985357909054,157.51999999999998,2.1411829397888367
2013-05-21,167.38,167.91,166.46,167.72,677651,PSA,0.004732522614269374,66.06882517708748,-0.1209977036195462,164.35296095367633,157.8962,2.091812729803919
2013-05-22,167.2,168.66,162.092,162.99,685970,PSA,-0.028201764846172095,49.603720007114354,-0.4224064235293401,164.2231551485643,158.21599999999998,2.4115403919607807
2013-05-23,161.28,162.01,158.985,160.06,1021652,PSA,-0.01797656297932393,42.532700355602564,-0.7989393380048582,163.82666418203436,158.4836,2.5253589353921533
2013-05-24,159.82,162.75,159.08,162.59,875712,PSA,0.01580657253529938,49.25883853408276,-0.8525547758641565,163.70888664088824,158.7904,2.6071190114355702
2013-05-28,163.97,164.45,159.065,160.82,678246,PSA,-0.010886278368903435,45.26707458132971,-0.9734339951113102,163.43375457985127,159.0418,2.8055390820473147
2013-05-29,159.81,160.17,156.46,157.27,889395,PSA,-0.022074368859594462,38.52408105751238,-1.2415129496150852,162.84673033415115,159.2194,2.9165720047582195
2013-05-30,157.27,157.51,153.72,153.99,1074970,PSA,-0.020855852991670365,33.5511952745172,-1.5677402762952282,162.00323220708913,159.3022,2.9789597187040604
