date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,70.17,71.25,69.35,71.06,1138191,TIF,0.013550135501354976,54.34419060197187,-0.25887976558965153,70.46960147815972,68.5238,1.447415203793706
2013-04-23,72.2,72.54,71.07,71.81,1071360,TIF,0.010554461018857264,57.20558493913819,-0.17594266444615203,70.59725848023974,68.7022,1.449742689237013
2013-04-24,71.92,72.63,71.74,72.29,965104,TIF,0.0066843058069907535,58.97759992359311,-0.09163078718978401,70.75847195831216,68.88600000000001,1.4097610685772266
2013-04-25,72.48,73.66,72.42,72.96,1140223,TIF,0.009268225204039027,61.381382936452155,0.0014572064000970553,70.96814129561577,69.0732,1.4069209922502812
2013-04-26,72.87,73.21,72.64,72.93,671356,TIF,-0.00041118421052610543,61.20843451464769,0.050490387301095785,71.1549849817476,69.2628,1.3471409213752605
2013-04-29,73.02,73.76,72.69,73.06,1002225,TIF,0.0017825311942958333,61.711878062974236,0.07943621313094096,71.33641498348592,69.45,1.3273451412770283
2013-04-30,72.9,74.08,72.9,73.68,882974,TIF,0.008486175745962221,64.10456415265594,0.1253638900108578,71.55961355648726,69.628,1.3168204883286685
2013-05-01,73.57,74.2,73.34,73.57,831778,TIF,-0.0014929424538546732,63.34818161730195,0.13265523317114525,71.7510789320599,69.7864,1.2841904534480493
2013-05-02,73.89,74.689,73.73,74.39,942910,TIF,0.01114584749218439,66.51956991707027,0.17439592584996366,72.00240474805419,69.9862,1.2723911353446173
2013-05-03,75.0,75.85,74.79,75.31,965068,TIF,0.012367253663126743,69.6885483781478,0.2415249701188138,72.31741381966808,70.2068,1.285791768534287
2013-05-06,75.29,76.15,75.24,75.55,757654,TIF,0.003186827778515422,70.47368565257507,0.2771014302257384,72.62527917017589,70.4302,1.2589494993532673
2013-05-07,74.73,75.47,74.14,75.45,1215692,TIF,-0.001323626737260053,69.66399213804232,0.26870678911965107,72.89430020158771,70.65899999999999,1.2697388208280336
2013-05-08,75.14,76.29,75.105,76.06,748056,TIF,0.008084824387011302,71.7929445160656,0.27789007877763905,73.19579542048412,70.86,1.2636860479117455
2013-05-09,76.08,76.73,75.47,75.81,769241,TIF,-0.003286878779910629,69.63601339868049,0.24209291309478642,73.44476728519992,71.043,1.2634227587751927
2013-05-10,75.83,76.77,75.67,76.5,724150,TIF,0.009101701622477254,72.1252135800615,0.2394162412669456,73.73574182946659,71.2298,1.2517497045769643
2013-05-13,76.28,76.92,76.0375,76.59,677475,TIF,0.0011764705882353343,72.44254873232698,0.21880289256366248,74.00757594094597,71.3808,1.2253747256786103
2013-05-14,76.5,76.84,76.25,76.68,1029101,TIF,0.001175088131609936,72.77631180114831,0.18752907203555935,74.26209251799874,71.50479999999999,1.179990816701567
2013-05-15,76.58,76.87,76.28,76.58,927914,TIF,-0.0013041210224309374,71.7366726292169,0.13866012683120066,74.48284561152268,71.633,1.137848615508598
2013-05-16,76.5,77.33,76.31,76.49,1371198,TIF,-0.0011752415774354263,70.75698170694503,0.08164683137474871,74.67400317233005,71.7616,1.1294308572579836
2013-05-17,76.64,78.29,76.47,78.0,1969010,TIF,0.019741142633024067,76.5447062414735,0.1244397185845123,74.99076477496529,71.90400000000001,1.1787572245966997
2013-05-20,77.9,78.2901,77.53,77.91,773584,TIF,-0.001153846153846172,75.58449100012552,0.12515402826445587,75.26878717734955,72.05720000000001,1.1488531371255064
2013-05-21,78.0,78.59,77.92,78.38,1007218,TIF,0.0060326017199332505,77.19347797069197,0.1349094958439152,75.56509316045911,72.2426,1.1153636273308278
2013-05-22,78.61,79.35,77.07,77.32,1995048,TIF,-0.01352385812707324,66.54273123414175,0.05187187663631332,75.73222714517729,72.41980000000001,1.19855193966434
2013-05-23,76.4,76.67,75.79,76.19,1443540,TIF,-0.014614588722193456,57.443628371696896,-0.0895591454232536,75.77582455992231,72.5668,1.2222268011168862
2013-05-24,75.71,76.4,75.23,76.21,1419038,TIF,0.0002625016406352376,57.55425720334615,-0.18658153644346553,75.81717460183447,72.7092,1.2184963153228228
2013-05-28,80.78,81.25,78.6,79.22,4054608,TIF,0.0394961291169138,70.13665411292492,-0.0594433119292912,76.14125321118355,72.90520000000001,1.4914608642283358
2013-05-29,78.83,78.91,77.51,78.32,1007925,TIF,-0.011360767482958889,64.02524716445937,-0.047861934320921895,76.34875290535655,73.095,1.50707080249774
2013-05-30,78.46,78.46,77.92,78.18,740514,TIF,-0.0017875383043920445,63.10411060524662,-0.060705953065327334,76.52315739056068,73.2886,1.4379943166050437
2013-05-31,78.25,79.5,77.77,77.78,1315008,TIF,-0.0051163980557688005,60.42904094066053,-0.10464026380478009,76.64285668669777,73.4524,1.4588518654189695
2013-06-03,77.74,78.96,77.62,78.94,1232780,TIF,0.01491385960401126,65.0554081387059,-0.06596420619739396,76.8616322403456,73.673,1.450362446460471
2013-06-04,78.66,79.42,78.358,78.84,1558859,TIF,-0.001266784899923934,64.35687794085183,-0.05779694362906973,77.05004821745554,73.8652,1.4226222717132944
2013-06-05,78.5,79.03,77.68,77.83,1452010,TIF,-0.01281075596144099,57.62663005625399,-0.127122487285668,77.12432933960264,74.05720000000001,1.4174349665909158
2013-06-06,77.64,77.95,76.74,77.9,727626,TIF,0.0008993961197483191,57.95481129369011,-0.1721720462595786,77.19820273583096,74.247,1.402618183262994
2013-06-07,78.72,79.46,78.52,79.3,599915,TIF,0.01797175866495504,63.96585213664307,-0.11437440821830736,77.39837390384706,74.4646,1.4138597416013508
2013-06-10,79.4,79.56,78.34,78.67,570877,TIF,-0.007944514501891486,59.821221376942844,-0.12443316239941615,77.51948115109973,74.6472,1.4000126172012541
2013-06-11,78.02,78.03,76.85,77.07,1504498,TIF,-0.02033812126604817,50.81586163563402,-0.23811521766904487,77.47667342242356,74.7838,1.4300117159725936
2013-06-12,77.47,77.86,76.33,76.4,878543,TIF,-0.008693395614376431,47.58543879389425,-0.35089380925881875,77.37413309647846,74.87180000000001,1.4371537362602655
2013-06-13,76.07,76.21,74.28,75.34,2099003,TIF,-0.01387434554973821,42.93506416327888,-0.48128321810723773,77.18040613490909,74.9624,1.4859284693845325
2013-06-14,75.46,76.34,75.25,75.48,1208688,TIF,0.0018582426333952906,43.71740291951326,-0.5381973793761413,77.01846269348917,75.0546,1.4576478644284947
2013-06-17,75.97,76.41,75.34,75.76,913967,TIF,0.0037095919448861814,45.331672195099,-0.5359140109062068,76.89860910363305,75.1576,1.4299587312550304
2013-06-18,75.63,77.22,75.42,76.59,1345490,TIF,0.010955649419218672,49.917256743305444,-0.46032530405616057,76.8692177604299,75.2712,1.4563902504510993
2013-06-19,76.72,76.76,75.0,75.07,1055219,TIF,-0.019845932889411277,42.831694036515906,-0.49167505167666103,76.69786368800801,75.3524,1.478076661133164
2013-06-20,74.205,74.28,71.78,72.11,1645990,TIF,-0.03942986545890492,33.00624231807238,-0.6791851542429378,76.26092428915011,75.348,1.607499756766509
2013-06-21,72.62,72.78,70.77,72.51,1847527,TIF,0.005547080848703478,35.170519012016385,-0.7387686017592223,75.90369340446915,75.3306,1.6362497741403301
2013-06-24,71.6,72.24,70.7,71.31,1036903,TIF,-0.016549441456350844,31.84662063613203,-0.8154710964928795,75.46619879451971,75.3034,1.648660504558878
2013-06-25,71.82,72.5,71.41,72.13,820612,TIF,0.011499088486888187,36.27835030033829,-0.7681123023591067,75.14846557599402,75.3398,1.6158990399475293
2013-06-26,73.01,73.5,71.98,72.48,1068564,TIF,0.004852349923748944,38.127708104874344,-0.6737205407590463,74.89432599732793,75.359,1.6090491085227054
2013-06-27,72.82,73.18,72.5,72.57,834411,TIF,0.0012417218543043784,38.621010040527196,-0.5698546456497386,74.67296161663003,75.4032,1.5441170293425124
2013-06-28,72.26,73.21,72.04,72.84,1776652,TIF,0.003720545680033105,40.16234531362812,-0.45270937555883195,74.49839384361765,75.4706,1.5173943843894748
2013-07-01,73.29,73.54,72.62,72.78,684416,TIF,-0.0008237232289950436,39.922425306105694,-0.35340981194447596,74.33473728708263,75.524,1.4747233569330838
2013-07-02,72.88,73.54,72.105,72.5,1079073,TIF,-0.0038472107721901905,38.75881032745452,-0.2837354322212624,74.16000040259857,75.55279999999999,1.4718859742950063
2013-07-03,72.19,72.85,72.06,72.56,733493,TIF,0.0008275862068964912,39.16797914828602,-0.2139372938005628,74.0076194118749,75.56779999999999,1.423179833273934
2013-07-05,73.28,73.6,72.561,73.44,662921,TIF,0.012127894156560126,44.97477848454123,-0.09490242887973799,73.95356042026776,75.5908,1.3958098451829382
2013-07-08,73.8,75.15,73.77,74.92,1834025,TIF,0.02015250544662317,53.08575322722291,0.08725995814533882,74.04560228500416,75.63,1.418251999098443
2013-07-09,75.36,75.82,74.78,75.53,1149063,TIF,0.008142018152696107,55.96676258745469,0.24371994908824512,74.18697349595614,75.682,1.3912339991628393
2013-07-10,75.53,75.92,75.08,75.9,1017419,TIF,0.004898715742089221,57.66499117873862,0.3599965584622057,74.35011887729365,75.7388,1.3518601420797796
2013-07-11,76.64,77.31,76.58,77.09,1129759,TIF,0.015678524374176606,62.6537494284262,0.49650157010277574,74.61105993659902,75.807,1.3560129890740809
2013-07-12,77.0,77.47,76.745,77.02,1039395,TIF,-0.0009080295758205903,62.189506097019716,0.5569876502002868,74.84048279978006,75.87599999999999,1.310940632711646
2013-07-15,78.54,80.32,78.11,79.78,1849685,TIF,0.0358348480914048,71.23858828355317,0.7459902575529916,75.31091300932482,75.9838,1.453016301803671
2013-07-16,79.68,79.83,77.88,78.28,1039896,TIF,-0.018801704687891663,62.485906891349266,0.7320731948624274,75.59368319891294,76.0432,1.4885151373891234
2013-07-17,78.58,78.9,78.04,78.23,914710,TIF,-0.0006387327542155541,62.21152207760101,0.6825666392604526,75.84476098949267,76.09679999999999,1.443621199004186
2013-07-18,78.3,79.01,78.3,78.81,662304,TIF,0.007414035536239316,64.17663299578876,0.6519979152002366,76.12716470477909,76.164,1.3962196847896013
2013-07-19,78.79,78.92,78.18,78.82,477696,TIF,0.0001268874508308926,64.21118964475943,0.5970394165808639,76.38362520908584,76.2192,1.3493468501617722
2013-07-22,78.75,79.41,78.6,78.99,521815,TIF,0.002156812991626511,64.83226349016329,0.538524947700291,76.63185137964909,76.28280000000001,1.310822075150217
2013-07-23,79.12,79.38,78.37,78.41,760538,TIF,-0.007342701607798485,60.94622965464135,0.43175843554842763,76.80119886730157,76.321,1.2893347840680582
2013-07-24,78.72,79.14,78.05,78.46,837940,TIF,0.0006376737661011322,61.16234969225935,0.3395664178565849,76.95917992755855,76.3584,1.2750965852060543
2013-07-25,78.23,79.73,78.145,79.63,925846,TIF,0.014912057099158771,65.91557671245168,0.33204411176718374,77.21354374398155,76.4174,1.2972325434056224
2013-07-26,78.71,80.07,78.228,80.03,1096752,TIF,0.005023232450081627,67.38521009519457,0.3280890754645682,77.48177767312616,76.4864,1.336144504590935
2013-07-29,79.8,79.86,78.38,78.66,956426,TIF,-0.01711858053230042,58.13896109996659,0.21287221796735023,77.59398932330463,76.5298,1.3585627542630117
2013-07-30,78.46,79.99,78.46,79.65,1216063,TIF,0.012585812356979531,62.177720721880895,0.1840829722671674,77.78979986394228,76.5628,1.3708082718156536
2013-07-31,79.89,80.2,79.42,79.51,704285,TIF,-0.0017576898932830654,61.27736197476549,0.13844053664795775,77.95362844832873,76.5948,1.3286076809716785
2013-08-01,80.15,81.617,80.12,81.11,1467100,TIF,0.020123254936485813,67.1346397189433,0.1953547010398058,78.25423526277362,76.6494,1.3842071323308442
2013-08-02,80.25,81.775,80.02,81.47,1094804,TIF,0.004438416964615888,68.29663262439792,0.23398666490970887,78.5604985710809,76.7324,1.410692337164356
2013-08-05,81.09,81.45,80.89,81.16,492875,TIF,-0.0038050816251381514,66.12844304404742,0.21584341059737078,78.80807013573987,76.8318,1.3513571702240448
2013-08-06,81.2,81.63,80.37,81.46,1060864,TIF,0.0036964021685559345,67.21322126141553,0.20150247295392631,79.06063488471702,76.9368,1.3448316580651838
2013-08-07,81.0,81.39,80.38,80.65,1259334,TIF,-0.009943530567149361,61.48736881367989,0.11899965765073262,79.21200299093444,76.9654,1.3259151110605276
2013-08-08,81.27,81.7,80.65,81.36,800940,TIF,0.008803471791692496,64.35389270373214,0.09483085656496537,79.41657413465497,77.0262,1.3062068888419183
2013-08-09,81.36,81.55,80.84,81.36,390225,TIF,0.0,64.35389270373214,0.06296497394801914,79.60166231230687,77.0898,1.2636206824960665
2013-08-12,80.73,81.56,80.51,81.46,494490,TIF,0.0012291052114059564,64.78207349048648,0.034183428436886265,79.77864685399193,77.1634,1.2483620623177758
2013-08-13,81.38,82.59,80.74,82.28,1060531,TIF,0.010066290203781136,68.15955324397765,0.05471466884576692,80.01687096313556,77.23020000000001,1.2913362007236497
2013-08-14,82.13,82.84,81.44,81.6,1150776,TIF,-0.008264462809917439,62.78246597453889,0.009226725048988138,80.16764515712265,77.2854,1.299097900671961
2013-08-15,81.16,81.16,79.79,80.3,1081999,TIF,-0.01593137254901955,54.01013974845085,-0.11484419236441124,80.18025038025382,77.3348,1.33559090776682
2013-08-16,79.99,81.1,79.42,79.62,1895845,TIF,-0.008468244084682386,50.06922098925021,-0.2418366880152656,80.12689320118203,77.3692,1.3601915572120464
2013-08-19,79.45,80.8,78.81,79.83,1515985,TIF,0.0026375282592312477,51.2521873096434,-0.30665430030960317,80.09861765821232,77.37979999999999,1.4051778745540429
2013-08-20,80.0,81.68,79.91,81.19,1224382,TIF,0.01703620192909927,58.16490874095913,-0.25501481333071774,80.20255883362067,77.4302,1.4369508835144689
2013-08-21,81.07,81.36,80.22,80.57,758957,TIF,-0.007636408424682939,54.3790614291648,-0.2588670439291494,80.2375532304187,77.5002,1.4157401061205783
2013-08-22,80.94,81.61,80.4901,81.5,792986,TIF,0.011542757850316665,58.71940342240002,-0.19779107848444744,80.3577862560931,77.6022,1.3946086699691087
2013-08-23,81.51,82.095,80.61,82.0,1120486,TIF,0.006134969325153339,60.87461587810473,-0.12621187022464653,80.51418756503662,77.73539999999998,1.4010651935427438
2013-08-26,82.34,82.75,81.12,81.67,2032387,TIF,-0.004024390243902443,58.696480816813725,-0.10448273181236445,80.62426493979504,77.8592,1.4174176797182618
2013-08-27,82.5,83.33,79.09,80.82,3285222,TIF,-0.010407738459654814,53.3967582794273,-0.14808477667013165,80.64290637410026,77.96039999999999,1.6190307025955286
2013-08-28,79.37,79.6,76.83,77.25,3335081,TIF,-0.0441722345953971,37.913333861645256,-0.40359598070937186,80.31977243370977,77.97359999999999,1.7883856524101334
2013-08-29,76.8,77.78,76.65,77.07,1579058,TIF,-0.0023300970873787463,37.32564372032468,-0.5612716636119467,80.01027029716599,78.01360000000001,1.7413581058094092
2013-08-30,77.34,77.84,76.88,77.11,1009179,TIF,0.0005190086933957172,37.557282035901665,-0.6340411797157794,79.73405407838828,78.11359999999999,1.6855468125373092
2013-09-03,77.75,77.82,76.15,76.54,1195628,TIF,-0.0073920373492412095,35.541446209438604,-0.6872621239227098,79.42985845187512,78.1942,1.6844363259275004
2013-09-04,76.55,78.49,76.51,78.47,1395822,TIF,0.025215573556310433,46.09212402338716,-0.5643299032012712,79.33844336122034,78.3374,1.7055480169326782
2013-09-05,78.42,78.51,77.87,77.91,621289,TIF,-0.007136485280999083,43.849385137204585,-0.4950523624070927,79.20240113634222,78.453,1.62943744429463
2013-09-06,78.12,78.33,76.33,77.03,744955,TIF,-0.01129508407136437,40.513358093244946,-0.48232950664050706,78.99550579002391,78.54400000000001,1.6559061982735852
2013-09-09,77.5,78.0,77.1439,77.83,762145,TIF,0.01038556406594826,44.63697104970845,-0.3974079832011595,78.88450523859306,78.64920000000001,1.6069128983969005
2013-09-10,78.21,79.14,78.12,78.57,762012,TIF,0.009507901837337629,48.21303532011776,-0.27460874681798697,78.85455235872706,78.76379999999999,1.5857048342256934
2013-09-11,78.57,79.23,78.22,78.87,654161,TIF,0.0038182512409317138,49.633407830511516,-0.16195971586033497,78.85602356265781,78.88560000000001,1.54458306035243
2013-09-12,78.87,79.66,78.57,79.02,1022077,TIF,0.0019018638265499987,50.366421506301954,-0.07078139598685379,78.87164036621421,79.016,1.512112841755828
2013-09-13,79.24,79.52,78.43,78.95,659175,TIF,-0.0008858516831181662,50.00071123639046,-0.011718780977751586,78.87910318847952,79.1438,1.4819619244875537
2013-09-16,79.92,80.15,78.75,78.96,622957,TIF,0.00012666244458503506,50.056501917250706,0.029250295109540303,78.88680764671956,79.2542,1.476107501309872
2013-09-17,78.99,79.87,78.99,79.86,531850,TIF,0.011398176291793405,54.93072700153535,0.113462078322498,78.97949263274627,79.35300000000001,1.4356712512163106
2013-09-18,79.47,80.46,78.36,80.29,907252,TIF,0.005384422739794781,57.0856879636257,0.1901101267601682,79.104302858199,79.4482,1.4831233047008594
2013-09-19,80.7,81.08,79.95,80.13,673628,TIF,-0.001992776186324763,56.012489746780105,0.21991363433393815,79.20198830027529,79.53280000000001,1.4579002115079405
2013-09-20,80.31,80.49,79.01,79.4,2117657,TIF,-0.009110195931610998,51.27602195155215,0.18191624607615314,79.22084655739192,79.579,1.459478767828801
