date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,26.47,26.47,26.04,26.45,1531834,UNM,0.0030337504740234333,47.11665013664571,-0.18573798761897092,26.756802355914218,26.1932,0.5505179082066067
2013-04-23,26.64,27.22,26.56,27.06,2153191,UNM,0.02306238185255194,53.55070084841781,-0.11964984221377209,26.785678322017624,26.253200000000003,0.5661952004775633
2013-04-24,27.19,27.45,27.08,27.31,1466822,UNM,0.009238728750923908,55.9178371919419,-0.05690181994111801,26.83561371992071,26.316,0.5536098290148803
2013-04-25,27.37,27.63,27.16,27.58,1907337,UNM,0.009886488465763454,58.384488621974526,0.0018693668813224013,26.90650765135683,26.384199999999996,0.5476376983709602
2013-04-26,27.56,27.59,27.13,27.23,1048016,UNM,-0.01269035532994911,54.15423616581482,0.01549585532744939,26.937316446465704,26.438999999999997,0.5413778627730346
2013-04-29,27.37,27.63,27.19,27.53,948070,UNM,0.011017260374586835,57.028255492701824,0.04155836168110201,26.99376249918326,26.5016,0.5341365868606748
2013-04-30,27.54,27.895,27.33,27.89,1570885,UNM,0.013076643661460219,60.24864455329447,0.07778362340058381,27.079118451641996,26.5702,0.5363411163706266
2013-05-01,27.63,28.01,27.16,27.17,1825695,UNM,-0.02581570455360338,51.87527184791361,0.04937935368451113,27.0877738371999,26.617600000000003,0.5587453223441534
2013-05-02,27.33,27.55,26.71,27.52,1515219,UNM,0.012881854987118135,55.13919857640915,0.050127899250509284,27.128938233657053,26.683000000000003,0.5788349421767138
2013-05-03,27.83,28.05,27.38,27.43,2775541,UNM,-0.003270348837209336,54.122690950024634,0.04091560095394642,27.15761078283257,26.752200000000002,0.5853467320212344
2013-05-06,27.07,27.67,27.01,27.58,2918538,UNM,0.0054684651841050425,55.59210376895645,0.041165946982538226,27.197838327324707,26.8188,0.5906791083054319
2013-05-07,27.74,28.18,27.68,27.97,2501353,UNM,0.014140681653372011,59.24691082054621,0.06255658539580522,27.271377534246163,26.904,0.5913448862836155
2013-05-08,27.96,28.34,27.88,28.16,2272813,UNM,0.006792992491955641,60.93377225556091,0.08317010503275366,27.35600824527034,26.991799999999998,0.5819631086919287
2013-05-09,28.17,28.23,27.91,28.04,1571926,UNM,-0.0042613636363636465,59.265252540988904,0.08224290963796405,27.421150317149355,27.064799999999995,0.5632514580710767
2013-05-10,28.06,28.15,27.87,28.09,1279912,UNM,0.001783166904422373,59.75968625599591,0.07852457111090277,27.484850286944656,27.137200000000004,0.5430192110659996
2013-05-13,28.08,28.31,27.955,28.31,2049778,UNM,0.007831968672125322,61.94823019237615,0.08392174905936434,27.56343597390231,27.211199999999998,0.5295892674184283
2013-05-14,28.3,28.72,28.3,28.71,1545698,UNM,0.01412928293889082,65.61043469102052,0.10604533199676236,27.672632547816374,27.281,0.5217614626028261
2013-05-15,28.71,28.98,28.6,28.95,1198776,UNM,0.008359456635318674,67.62383036688544,0.12704042178863362,27.79428659088148,27.347,0.5116356438454813
2013-05-16,28.68,28.68,27.98,28.19,4041028,UNM,-0.026252158894645827,56.36919752975308,0.08212038200324956,27.8319735822261,27.3896,0.5443759549993754
2013-05-17,28.26,28.52,28.25,28.45,2044959,UNM,0.009223128769066946,58.889916134058794,0.06314764683168855,27.89083324106171,27.436,0.5290633867851342
2013-05-20,28.39,28.48,28.01,28.16,2327068,UNM,-0.010193321616871698,55.06834026035834,0.02618912027759923,27.916468170484404,27.469,0.5248445734433388
2013-05-21,28.2,28.28,27.79,27.96,2801686,UNM,-0.007102272727272707,52.53626046262004,-0.014421225398380089,27.920614059009697,27.486800000000002,0.5223556753402433
2013-05-22,27.96,28.2,27.47,27.59,3659683,UNM,-0.013233190271816908,48.127419909335565,-0.06600773308592567,27.889127005770682,27.498800000000003,0.5371874128159402
