date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,93.22,94.06,92.54,93.63,3133138,UTX,0.004398197811628313,52.11528232236431,-0.2200872951962315,93.40357293383056,92.1258,1.311766873466618
2013-04-23,93.3,94.25,90.65,92.89,6504823,UTX,-0.007903449749012026,48.65200610504046,-0.2354986471128499,93.3546612258467,92.18180000000001,1.4752120967904305
2013-04-24,92.73,93.07,91.82,92.0,4228059,UTX,-0.009581225104962843,44.79627361762806,-0.29391045167550495,93.22564587100415,92.2296,1.459125518448257
2013-04-25,92.4,93.19,92.0,92.11,3592097,UTX,0.001195652173912931,45.372515350389705,-0.3117245183943883,93.11939388328948,92.2722,1.4399022671305242
2013-04-26,92.03,92.21,91.13,91.15,2927372,UTX,-0.010422321137769974,41.31885104400353,-0.3707332837800007,92.93183256107143,92.30519999999999,1.4141949623354866
2013-04-29,91.27,91.79,90.62,91.62,2993581,UTX,0.005156335710367443,43.958673038396604,-0.3603645158224843,92.80689612668368,92.34380000000002,1.3967524650258092
2013-04-30,92.1,92.23,91.04,91.29,4180000,UTX,-0.003601833660772713,42.51258635504062,-0.35728758940992006,92.66242982890428,92.35400000000001,1.38198443180968
2013-05-01,91.04,91.65,90.92,91.05,3982145,UTX,-0.0026289845547158297,41.44475824656678,-0.35238442514648705,92.50886508329435,92.35459999999999,1.335414115251846
2013-05-02,91.29,92.19,91.29,91.75,2725272,UTX,0.007688083470620555,45.7267070985649,-0.285801882977493,92.4365922182187,92.3864,1.3214559641624284
2013-05-03,92.73,93.48,92.43,93.11,3088125,UTX,0.014822888283378743,52.92876835222474,-0.14127921012558164,92.50072629267406,92.4604,1.3506376810079694
2013-05-06,92.95,93.83,92.8,93.49,2063332,UTX,0.004081194286327916,54.73615653496978,-0.017700597279752983,92.59494283622891,92.52040000000001,1.3277349895074002
2013-05-07,93.59,93.9,93.27,93.87,2527045,UTX,0.0040646058401969665,56.533516509790076,0.08631283266044201,92.71637685182615,92.6304,1.277896775971158
2013-05-08,93.75,94.38,93.59,94.38,2606155,UTX,0.005433045701501937,58.892762332790554,0.18071020101581514,92.87481715165224,92.734,1.2430470062589318
2013-05-09,94.51,95.585,94.3201,94.76,3633283,UTX,0.004026276753549496,60.608380469703214,0.25542377083213674,93.0543583753044,92.8178,1.2446079343832939
2013-05-10,94.91,95.25,94.57,95.25,2528995,UTX,0.005170958210215293,62.766302119234176,0.32032108885393773,93.26346710146589,92.9118,1.204278796213059
2013-05-13,95.03,95.3175,94.77,94.95,1963983,UTX,-0.0031496062992125706,60.578246332919896,0.32451771480313624,93.42408928227867,93.0082,1.1573660250549833
2013-05-14,94.97,95.967,94.97,95.93,3567076,UTX,0.010321221695629212,64.88468194568357,0.3713952970335983,93.66274744587118,93.1442,1.1473398804081985
2013-05-15,95.47,95.88,94.79,95.81,3042629,UTX,-0.001250912123423431,63.963272735896986,0.3715211602646583,93.86724768912154,93.24,1.1468156032361843
2013-05-16,95.51,95.8286,95.05,95.17,2939497,UTX,-0.006679887276902163,59.13965825162758,0.3083053967392135,93.99131933777663,93.322,1.1205144887193137
2013-05-17,95.28,97.41,94.87,97.35,4209315,UTX,0.02290637806031315,67.99365246036487,0.38796532508000514,94.3111936865598,93.43480000000001,1.2219063109536477
2013-05-20,97.04,97.72,96.94,97.23,2625234,UTX,-0.0012326656394452407,67.13132563193798,0.40533618581121267,94.58917524022078,93.538,1.1903415744569585
