date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,39.45,40.3,38.645,39.79,9533018,VLO,0.014016309887869394,39.80558060861349,-0.1876444791466989,41.29939664163814,44.086999999999996,1.5622128301691889
2013-04-23,39.94,41.0401,39.5199,40.65,10260252,VLO,0.02161347072128672,44.35245154265458,-0.0425966667373876,41.23754934243451,43.977399999999996,1.5592119137285327
2013-04-24,40.83,42.34,40.83,41.97,11325490,VLO,0.03247232472324724,50.52927053021097,0.14683267876259332,41.30730654791694,43.894,1.5685539198907807
2013-04-25,42.34,42.5,41.02,41.24,9543281,VLO,-0.017393376221110257,47.396025395745525,0.22298843788007106,41.30089640049628,43.8058,1.5622286398985819
2013-04-26,41.09,41.09,39.98,40.72,7227625,VLO,-0.012609117361784716,45.24385754983225,0.23704777043850678,41.24557293378234,43.6954,1.5406408799058264
2013-04-29,40.61,41.6,40.61,41.2,7583816,VLO,0.011787819253438192,47.60877166287028,0.2747266363917893,41.2412326543745,43.5748,1.5013093884839819
2013-04-30,42.82,42.948,39.96,40.32,16408534,VLO,-0.021359223300970953,43.86803744749094,0.237816399508062,41.153496211100745,43.4354,1.6075015750208403
2013-05-01,39.97,39.99,38.64,38.78,9818528,VLO,-0.03819444444444442,38.209956563414515,0.11342836380642285,40.927448952900676,43.256400000000006,1.612680033947923
2013-05-02,36.9,37.38,35.81,36.98,10783670,VLO,-0.046415678184631326,32.87296738182839,-0.07611955387263625,40.5515014335768,43.0974,1.7096314600944997
2013-05-03,36.66,38.07,36.27,37.59,10445941,VLO,0.01649540292049778,36.12883422282929,-0.14259794649938673,40.26945367799806,42.93860000000001,1.7160863558020354
2013-05-06,37.94,38.63,37.62,38.38,6788994,VLO,0.021016227720138225,40.175786845498976,-0.11664164883258721,40.08950570866491,42.7848,1.6677944732447472
2013-05-07,38.9,39.3799,38.34,39.11,10578679,VLO,0.01902032308493995,43.72413256717155,-0.0376729599789456,39.99621945069682,42.681999999999995,1.6229448680129792
2013-05-08,39.2,39.839,37.65,38.26,10581799,VLO,-0.02173357197647663,40.69725536518426,-0.03036284504502529,39.830865217297124,42.54860000000001,1.6633773774406235
2013-05-09,38.31,38.55,37.96,38.23,8213144,VLO,-0.000784108729743882,40.59045210717037,-0.015950456894818554,39.678401863268824,42.3934,1.586707564766293
2013-05-10,38.1,38.835,37.55,38.8,8362275,VLO,0.014909756735548063,43.61804710104168,0.04048492991958774,39.59474454295751,42.257600000000004,1.5651570244258437
2013-05-13,38.52,38.74,37.99,38.12,5996774,VLO,-0.017525773195876337,40.937742444822675,0.04043672882744587,39.45429268172346,42.087399999999995,1.5112172369668546
