date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,59.25,59.47,58.8,59.18,474090,VRSK,0.002541080806369722,45.40195107813134,-0.3089875664458966,59.85075068936438,58.60874,1.0422827808308859
2013-04-23,59.48,60.25,59.48,59.87,609087,VRSK,0.011659344373099012,51.43792446519377,-0.24741083155407473,59.85258395704397,58.70813999999999,1.0442625822001084
2013-04-24,59.76,60.25,59.55,59.63,583744,VRSK,-0.004008685485217933,49.3925244682935,-0.21414025655405233,59.83138548494455,58.80834,1.0196723977572437
2013-04-25,59.88,60.42,59.74,60.11,575961,VRSK,0.008049639443233225,53.38494003998764,-0.1539187458017687,59.85792020066412,58.92594,1.0032672264888691
2013-04-26,59.91,59.99,59.585,59.82,486366,VRSK,-0.004824488437863872,50.778530598047546,-0.12875061093466295,59.85430875298182,59.03094,0.9691052817396641
2013-04-29,59.85,60.5,59.71,60.49,690303,VRSK,0.011200267469073877,56.11004410239375,-0.06531420224291362,59.914850776507365,59.155339999999995,0.9563120473296881
2013-04-30,60.57,61.41,60.2592,61.29,1019458,VRSK,0.013225326500247991,61.475783993523216,0.027227738310053873,60.04581736922095,59.28354,0.970204043948996
2013-05-01,56.4,62.39,54.68,60.62,1261851,VRSK,-0.010931636482297336,55.37041712135554,0.039287237588508356,60.10050142929514,59.39594,1.451618040809782
2013-05-02,59.83,61.17,59.16,60.65,501885,VRSK,0.0004948861761795431,55.583126583687395,0.04485254411144238,60.15283462650513,59.52273999999999,1.4915024664662266
2013-05-03,60.6,60.96,60.32,60.58,747180,VRSK,-0.0011541632316570682,54.92532025341085,0.03957167946194859,60.19351704302846,59.65973999999999,1.430680861718639
2013-05-06,60.74,61.25,60.36,60.46,783378,VRSK,-0.001980851766259395,53.75093923548666,0.02448840144505629,60.21889637226384,59.78014,1.3920608001673076
2013-05-07,60.71,60.965,60.51,60.85,681096,VRSK,0.006450545815415154,56.971011419278554,0.03654304551798876,60.279001479667286,59.92314,1.3286993144410715
2013-05-08,60.73,61.3,60.44,61.02,892822,VRSK,0.0027937551355792234,58.33284954500215,0.05085211401371997,60.34957276731802,60.06553999999999,1.2952207919809948
2013-05-09,61.18,61.36,60.64,60.81,563351,VRSK,-0.0034414945919371,55.97605515304309,0.041457492542183005,60.3934229799544,60.120740000000005,1.2541335925537809
2013-05-10,61.01,61.134,60.56,60.59,490500,VRSK,-0.0036178260154580144,53.535769735259095,0.016965672347683813,60.41214460091112,60.16313999999999,1.2055526216570822
2013-05-13,60.39,60.68,60.11,60.4,668914,VRSK,-0.003135830995213862,51.44966323717623,-0.013829016124165816,60.41098797225292,60.19114,1.1601560058244336
2013-05-14,60.44,60.82,60.44,60.7,641035,VRSK,0.004966887417218624,54.46665625843148,-0.015657737474188194,60.43851292727645,60.21773999999999,1.1072877196941169
2013-05-15,60.87,61.04,60.7,60.8,607616,VRSK,0.0016474464579900872,55.460215123371135,-0.01196313281387995,60.47294026753583,60.24734,1.0524814540016796
2013-05-16,59.76,60.92,58.62,60.4,642564,VRSK,-0.006578947368421018,50.695086760813794,-0.036881857205507185,60.46599357538956,60.26854,1.1415899215729886
2013-05-17,60.86,60.91,60.465,60.72,592803,VRSK,0.005298013245033095,54.0932502541775,-0.03239580204400988,60.49018466344769,60.29554,1.0964763557463464
2013-05-20,60.56,60.73,60.14,60.33,540679,VRSK,-0.006422924901185789,49.60593081948192,-0.05495127187297358,60.47492898121458,60.30794,1.0602994731930357
2013-05-21,60.27,60.56,60.25,60.41,830992,VRSK,0.0013260401127133115,50.51280453487418,-0.06315390362656831,60.46874526871795,60.319340000000004,1.0067066536792477
2013-05-22,60.5,61.0,59.59,59.9,832367,VRSK,-0.008442310875682812,44.95833626118195,-0.09943894015581617,60.41457905264957,60.343340000000005,1.035513321273587
2013-05-23,59.74,60.4,59.06,59.99,1053136,VRSK,0.001502504173622743,46.08503384340878,-0.11290612262917157,60.37414295239723,60.35934,1.0572623697540446
2013-05-24,59.96,59.99,58.96,59.34,1400711,VRSK,-0.010835139189865006,39.75553980848556,-0.15833327960990157,60.27565314740701,60.354940000000006,1.0553150576287558
2013-05-28,59.0,59.63,59.0,59.5,1468704,VRSK,0.0026963262554768885,41.871885599418974,-0.16935778154644035,60.201781419082536,60.34394,1.0249354106552733
2013-05-29,59.31,59.555,58.67,59.3,1370995,VRSK,-0.003361344537815225,39.98119702198101,-0.18082980151549083,60.11589747440801,60.335339999999995,1.0149400241798965
2013-05-30,59.22,59.66,59.09,59.18,1440044,VRSK,-0.002023608768971341,38.847754919776754,-0.18646337407287583,60.02676438160725,60.322340000000004,0.983158593881332
2013-05-31,58.9,59.58,58.68,58.82,1206615,VRSK,-0.006083136194660388,35.58821921100858,-0.20303345128873235,59.9118344405018,60.29729999999999,0.9772186943183796
2013-06-03,58.82,59.41,58.02,59.41,565317,VRSK,0.010030601836110042,43.89654668936543,-0.1645001519890799,59.86404068426353,60.2851,1.0067030732956377
2013-06-04,59.17,59.49,58.6,58.85,546228,VRSK,-0.009426022555125368,38.78312302912817,-0.16646448731083763,59.767465381000335,60.2375,0.9983671394888064
2013-06-05,58.79,58.79,57.51,57.75,695341,VRSK,-0.01869158878504673,31.11568706929846,-0.22779111396290347,59.575325820905064,60.170500000000004,1.0227694866681776
2013-06-06,57.87,58.6,57.84,58.6,625927,VRSK,0.014718614718614687,40.847454884754626,-0.19814640520500754,59.48243764748553,60.1149,1.010428809049022
