date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,38.77,38.87,38.4,38.53,1779816,WM,-0.004392764857881204,51.81447439101198,-0.11941335139654835,38.53240726343066,37.712199999999996,0.5426111103509175
2013-04-23,38.71,38.949,38.33,38.7,2312089,WM,0.004412146379444648,53.73034733580438,-0.10636249895391309,38.54836847643726,37.7602,0.5480674596115662
2013-04-24,38.83,39.885,38.78,39.55,3144799,WM,0.021963824289405576,61.889567762516926,-0.04141254029116187,38.643761954871806,37.825,0.5935626410678826
2013-04-25,39.95,40.98,39.9001,40.02,4440869,WM,0.011883691529709361,65.51112286476214,0.02850566384527753,38.77483224488402,37.8962,0.6533081667058909
2013-04-26,40.1,40.45,39.961,40.19,2104562,WM,0.004247876061968858,66.74218693906786,0.07866237087923555,38.909610126323635,37.9672,0.6415718690840418
2013-04-29,40.23,40.61,40.12,40.47,2540353,WM,0.006966907190843585,68.72247245528789,0.12064431247535995,39.058218685721386,38.0338,0.6307453070066105
2013-04-30,40.38,41.0,40.1,40.98,3561865,WM,0.01260192735359511,71.99353768698185,0.1697047966023349,39.24124547755745,38.1196,0.6499777850775666
2013-05-01,40.81,41.18,40.55,40.55,2377744,WM,-0.010492923377257157,65.74993734328058,0.1602547468591377,39.36588876540912,38.1982,0.6485508004291692
2013-05-02,40.64,40.85,40.461,40.8,2390681,WM,0.006165228113440113,67.51392314379714,0.15765757365825794,39.50247078775111,38.2836,0.6300114575413717
2013-05-03,41.05,41.23,40.97,41.12,2961036,WM,0.007843137254901933,69.6673898001868,0.16359970178864014,39.656521188917665,38.3776,0.6157249248598451
2013-05-06,41.04,41.23,41.0,41.09,1167446,WM,-0.000729571984435684,69.20423145458037,0.1518735432348357,39.793042980449314,38.4672,0.5881731445127131
2013-05-07,41.22,41.48,41.15,41.42,1522614,WM,0.008031151131662195,71.45248666071402,0.1523161579354001,39.94799126802557,38.5688,0.5740179199046617
2013-05-08,41.39,41.53,41.14,41.53,1461901,WM,0.002655721873491057,72.18152653759182,0.14597567599528627,40.098658766308844,38.6674,0.5608737827686144
2013-05-09,41.47,41.55,41.055,41.3,1639785,WM,-0.005538165181796395,68.25646366707124,0.11368534524021778,40.21307221713657,38.752399999999994,0.5561685125708561
2013-05-10,41.27,41.41,41.06,41.21,1097308,WM,-0.002179176755447876,66.72740500459287,0.07549822551196483,40.30801772026642,38.8302,0.5414421902443659
2013-05-13,41.16,41.18,40.93,41.03,1033256,WM,-0.004367871875758267,63.65601821561594,0.02970127914122178,40.376777937383906,38.9128,0.5227677480840541
2013-05-14,41.09,41.5,41.04,41.5,1392637,WM,0.01145503290275407,67.82099787574981,0.022949178720802155,40.483751467156864,38.998799999999996,0.5189986232209073
2013-05-15,41.4,42.05,41.21,41.98,1735482,WM,0.011566265060240832,71.42286088037324,0.04160945839676755,40.62625132742764,39.0884,0.5419272929908422
2013-05-16,41.83,42.12,41.8,41.99,1147336,WM,0.00023820867079571428,71.49444678838006,0.045130384535551515,40.75613215338691,39.1836,0.5260753434914963
2013-05-17,42.04,42.41,42.01,42.39,1893093,WM,0.00952607763753277,74.27082902188305,0.06376371202258979,40.91173861496911,39.296400000000006,0.5184985332421034
2013-05-20,42.39,42.68,42.33,42.59,1814862,WM,0.004718093890068387,75.55295539995647,0.07798354692055631,41.071573032591104,39.4098,0.5064629237248104
2013-05-21,42.62,42.94,42.59,42.75,1659331,WM,0.003756750410894405,76.55930792929354,0.0859612160941593,41.231423219963375,39.5248,0.49528700060160924
2013-05-22,42.7,43.0,42.145,42.32,1950236,WM,-0.010058479532163767,68.40906441507242,0.05175986946994482,41.335097199014484,39.632,0.5209807862729227
2013-05-23,41.79,42.5,41.79,42.3,1519473,WM,-0.0004725897920605515,68.04621802910886,0.018961694944855778,41.426992703870255,39.732800000000005,0.5344821586819997
2013-05-24,42.09,42.44,42.05,42.38,1216341,WM,0.001891252955082967,68.7599988377069,-0.004899115144019639,41.51775530350166,39.8358,0.5241620044904283
2013-05-28,42.63,42.8,42.2,42.45,2102074,WM,0.001651722510618292,69.40401936933495,-0.02253434582059355,41.60654051269198,39.934400000000004,0.529579004169683
2013-05-29,42.3,42.32,41.64,41.9,2034757,WM,-0.012956419316843437,59.09557832083447,-0.07485862723274139,41.63448903529274,40.0228,0.54960907530042
