date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,30.0,30.24,29.37,30.05,4351516,WY,0.007037533512064265,44.54882730976554,-0.21207854806133894,30.602047261297116,30.4714,0.7386109116323094
2013-04-23,30.22,30.98,30.18,30.75,4304775,WY,0.02329450915141429,51.06559444369549,-0.1405523831465647,30.616137998316436,30.4822,0.7522815608014302
2013-04-24,30.82,31.5,30.82,31.41,5158281,WY,0.02146341463414636,56.28243979934189,-0.046290846334936464,30.69174390323868,30.507600000000004,0.7521185921727566
2013-04-25,31.47,31.51,31.03,31.38,5646129,WY,-0.0009551098376313627,55.99024798871741,0.013350753773105462,30.757292102930236,30.528999999999996,0.7326815498747026
2013-04-26,31.85,32.0,30.48,30.53,6372426,WY,-0.027087316762268943,48.33378352506605,-0.00419417637467756,30.7356452359845,30.53,0.7889185820265094
2013-04-29,30.7,30.79,30.215,30.43,3557459,WY,-0.0032754667540124682,47.510645678423366,-0.02132558686565673,30.706536165890736,30.5298,0.7736386833103301
2013-04-30,30.33,30.54,30.12,30.51,4004285,WY,0.0026289845547158297,48.269645894146734,-0.02576396958734733,30.687818435805905,30.526999999999997,0.7483787773595922
2013-05-01,30.36,30.64,30.06,30.14,4238908,WY,-0.012127171419206828,45.02671737779241,-0.050673168471441384,30.63564525144344,30.5132,0.7363517218339072
2013-05-02,30.22,30.47,30.07,30.25,3219777,WY,0.0036496350364962904,46.18428930834152,-0.056359323940970145,30.598917132258347,30.5226,0.7123265988457709
2013-05-03,30.54,30.92,30.4,30.65,3273271,WY,0.013223140495867813,50.28392391007804,-0.031063193738139858,30.60378216728136,30.553399999999996,0.7093032703567873
2013-05-06,30.65,31.09,30.52,31.04,2583601,WY,0.01272430668841773,53.96608889521976,0.01175859061619488,30.64532672277837,30.5798,0.6993530367598739
2013-05-07,31.19,31.5,30.965,31.38,2655291,WY,0.010953608247422641,56.95896087974564,0.06010264337143267,30.715295606323288,30.6318,0.6876135341341687
2013-05-08,30.96,31.4,30.82,31.33,3018057,WY,-0.0015933715742511012,56.378464811269886,0.08434779687540263,30.773838881911544,30.6714,0.6799268531245851
2013-05-09,31.49,32.325,31.4,31.81,6350400,WY,0.01532077880625593,60.5365050328844,0.12584837232452373,30.872520893158065,30.7154,0.7024320779014008
2013-05-10,31.79,31.815,31.26,31.39,3169416,WY,-0.013203395158755016,55.54717267262163,0.11826605188136988,30.921804617619202,30.755,0.6919012151941579
2013-05-13,31.26,31.396,30.8,30.9,3468706,WY,-0.015610066900286768,50.33491471507429,0.07558021223122699,30.919727987369754,30.781599999999997,0.6850511283945753
2013-05-14,31.5,32.27,31.38,32.26,7077497,WY,0.04401294498381869,61.21349266766903,0.13102024453048117,31.04737294095359,30.827800000000003,0.7339760477949631
2013-05-15,32.24,32.36,31.92,32.35,4006957,WY,0.002789832610043508,61.8096526703096,0.16371035956175783,31.171432660862774,30.867199999999997,0.7129777586667513
2013-05-16,32.17,32.4,31.7801,31.97,4375615,WY,-0.01174652241112839,57.772031478921136,0.1500601663218643,31.24748669316156,30.9014,0.7063293473334118
2013-05-17,32.15,32.5,32.1201,32.48,4310071,WY,0.015952455426962775,61.41502772212881,0.16453603462869046,31.36486891286046,30.9474,0.6937343939524538
2013-05-20,32.5,32.67,32.285,32.37,2988966,WY,-0.0033866995073891237,60.20853750494911,0.15593996201166738,31.460595683064227,30.99,0.6716819372415647
2013-05-21,32.36,32.64,32.14,32.6,3566679,WY,0.007105344454742202,61.89416077305654,0.15467605111344268,31.56911037991525,31.031799999999997,0.65941894172431
2013-05-22,32.52,33.24,32.11,32.33,8260320,WY,-0.008282208588957118,58.74797660815775,0.12581268351371339,31.64157605801856,31.0744,0.6930318744582881
2013-05-23,31.87,32.28,31.65,32.05,4535082,WY,-0.008660686668728768,55.59205545305379,0.08023864737464692,31.680473576302507,31.108599999999996,0.6921010262826961
2013-05-24,31.94,32.01,31.63,31.74,3629019,WY,-0.009672386895475782,52.24569957063031,0.024482344194002137,31.686142759511792,31.127,0.6726652386910749
2013-05-28,32.22,32.55,31.72,31.8,5319552,WY,0.001890359168241984,52.837439680031515,-0.011176433761514226,31.696986306224954,31.152,0.6839034359274265
2013-05-29,31.54,31.6299,30.305,30.53,7241688,WY,-0.03993710691823893,41.20009512289725,-0.11722119972010725,31.58584475325115,31.1586,0.7418389047897532
2013-05-30,30.63,30.72,29.65,29.66,8963011,WY,-0.028496560759908363,35.441409977004,-0.23602926114099132,31.40243096722723,31.1374,0.7652789830190566
2013-05-31,29.81,30.327,29.54,29.82,8594838,WY,0.0053944706675657095,37.18043352935124,-0.29033884182867065,31.251723256062732,31.1058,0.7668304842319813
2013-06-03,29.99,30.47,29.73,30.06,6593131,WY,0.008048289738430636,39.79996784957297,-0.29560787231857233,31.138225803104376,31.092,0.7649140210725539
2013-06-04,30.0,30.16,29.2,29.23,5660591,WY,-0.027611443779108402,34.44980011108166,-0.3374741748814606,30.95649001233253,31.0564,0.7788487338530858
2013-06-05,29.18,29.2,28.165,28.32,9122957,WY,-0.031132398221005775,29.73090063668093,-0.4044204790084421,30.70539572544372,31.0058,0.7992881100064368
2013-06-06,28.3,29.02,28.18,29.02,5247520,WY,0.024717514124293682,36.892001000635226,-0.3799088115256114,30.54488184683003,30.9664,0.8021961021488343
2013-06-07,29.16,29.26,28.67,29.03,4136016,WY,0.000344589937973927,36.990789424187916,-0.3425263003912319,30.400607385227172,30.9268,0.7870392377096318
2013-06-10,29.5,29.52,28.78,29.1,5194843,WY,0.0024112986565620886,37.72566442071023,-0.29442650025747286,30.276740015205537,30.8812,0.7836792921589437
