date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,23.81,23.81,23.265,23.61,3255416,ZION,-0.004217629692113145,39.52813226939522,-0.09308338704337338,24.164043850905006,24.540100000000002,0.502453692716109
2013-04-23,23.96,24.29,23.66,24.21,3254119,ZION,0.02541296060991116,49.1557124666113,-0.039003635787445035,24.16842062700929,24.541499999999996,0.5151355718078154
2013-04-24,24.29,24.53,24.19,24.53,1603189,ZION,0.013217678645187858,53.41550605825458,0.01946935748544265,24.202856757770313,24.5479,0.5026258881072572
2013-04-25,24.62,24.885,24.52,24.53,1791091,ZION,0.0,53.41550605825458,0.0571646717883067,24.234013257030284,24.548700000000004,0.4927954675281675
2013-04-26,24.57,24.57,24.0,24.24,1771001,ZION,-0.011822258459029844,49.09256330013345,0.06122347642162801,24.234583423027402,24.538700000000002,0.4983100769904413
2013-04-29,24.28,24.67,24.28,24.5,1494638,ZION,0.010726072607260884,52.782155194364655,0.07894697360854405,24.259861192262886,24.5361,0.4934307857768386
2013-04-30,24.43,24.67,24.321,24.62,1543353,ZION,0.004897959183673528,54.42397732569996,0.09519173129307806,24.29416012633309,24.541700000000002,0.48311430107849296
2013-05-01,24.59,24.62,24.07,24.18,1375716,ZION,-0.017871649065800188,47.85359517198372,0.07370321371563526,24.283287733348985,24.5315,0.48789185100145777
2013-05-02,24.29,24.7,24.12,24.645,1668337,ZION,0.019230769230769162,54.15295813132805,0.08727767504080629,24.31773652064908,24.5416,0.4944710045013535
2013-05-03,24.87,25.37,24.84,25.15,2521908,ZION,0.020490971799553614,59.82856968755225,0.12447111964278336,24.396999709158692,24.57,0.5109373613226855
2013-05-06,25.14,25.71,25.0001,25.69,1772723,ZION,0.02147117296222678,64.8407633937081,0.17646866693566698,24.52014259400072,24.602999999999998,0.5251489783710652
2013-05-07,25.74,26.15,25.74,25.96,1925340,ZION,0.010509926041261108,67.05419144625948,0.2173863646224543,24.657271870762557,24.6494,0.520495479915989
2013-05-08,25.9,26.01,25.63,25.99,1758251,ZION,0.0011556240369798854,67.30051675529896,0.23340274708851466,24.78419835926136,24.694000000000003,0.5104600884934185
2013-05-09,25.99,26.09,25.865,26.01,1225494,ZION,0.0007695267410543494,67.47510627746266,0.23180171364686486,24.90094137266504,24.732,0.4900700821724602
2013-05-10,26.07,26.165,25.83,26.15,838706,ZION,0.005382545174932529,68.73356333084715,0.22637215070297267,25.019899337173133,24.772000000000002,0.4789936477315702
2013-05-13,26.08,26.5,26.02,26.46,1729157,ZION,0.011854684512428326,71.37470014783625,0.22916062122663258,25.15705178125188,24.8204,0.4790655300364581
2013-05-14,26.41,27.07,26.41,27.06,1470492,ZION,0.0226757369614512,75.66021905508431,0.2549386387823315,25.338284944942178,24.8774,0.49198942074813967
2013-05-15,26.9,27.29,26.77,26.97,2332916,ZION,-0.003325942350332567,73.87365376193846,0.24915948799899212,25.493686378757207,24.926800000000004,0.4939901764089868
2013-05-16,26.88,27.12,26.79,26.85,2042275,ZION,-0.004449388209121108,71.45104489319907,0.2214214533108852,25.622859104589853,24.9622,0.48227659237977355
2013-05-17,27.13,27.4084,27.02,27.39,1683784,ZION,0.020111731843575287,75.36599277461333,0.2229890830574277,25.79115823748606,25.0048,0.487713978638361
