Time,AAPL,AMZN,BRK-B,GOOGL,JNJ,MSFT,NVDA,UNH,V,XOM
0,0.0,0.29600722,0.061589375,0.0,0.0,0.0,0.29600722,0.0,0.24696079,0.0994354
1,0.0,0.1904673,0.0,0.0,0.0,0.43401814,0.31820044,0.0,0.0,0.057314064
2,0.0,0.19984691,0.074159436,0.0,0.0,0.0,0.0,0.22971332,0.4962803,0.0
3,0.0,0.2665098,0.22810471,0.0,0.13780041,0.103360154,0.0,0.0,0.26422495,0.0
4,0.0,0.5297162,0.0,0.0,0.47028384,0.0,0.0,0.0,0.0,0.0
5,0.0,0.40587166,0.18825673,0.0,0.0,0.0,0.40587166,0.0,0.0,0.0
6,0.23311384,0.051355932,0.116365716,0.21886966,0.0,0.20437975,0.17591515,0.0,0.0,0.0
7,0.0,0.27598423,0.0,0.0,0.0,0.0,0.41042972,0.22388874,0.0,0.08969738
8,0.0,0.62439007,0.37560996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.25014547,0.42068464,0.15423971,0.0,0.0,0.0,0.0,0.0,0.17493017,0.0
10,0.07404557,0.25940236,0.0,0.0,0.03132961,0.0,0.2304525,0.0,0.28394866,0.120821305
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.20375282,0.0,0.0,0.0,0.11070524,0.1705091,0.20375282,0.0,0.20375282,0.107527204
13,0.056955665,0.2653986,0.20003222,0.0,0.0,0.0,0.16421908,0.0,0.17204803,0.14134642
14,0.26101515,0.16100943,0.0,0.0,0.0,0.015758272,0.119142,0.0,0.28402987,0.15904531
15,0.2587949,0.09833067,0.10294165,0.0,0.0,0.022342948,0.2587949,0.0,0.2587949,0.0
16,0.0,0.44695312,0.1444565,0.0,0.0,0.4085904,0.0,0.0,0.0,0.0
17,0.074281454,0.26585466,0.1281546,0.0,0.0,0.0,0.26585466,0.0,0.26585466,0.0
18,0.37501556,0.0,0.08545462,0.0,0.0,0.3910441,0.0,0.015220259,0.13326544,0.0
